round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.3484,0.3673,0.36423,0.2784,0.3484,0.3484,0.3484
2,0.4566,0.49167,0.4728,0.38377,0.4566,0.4566,0.4566
3,0.6528,0.71985,0.65742,0.61457,0.6528,0.6528,0.6528
4,0.7314,0.77291,0.73409,0.69828,0.7314,0.7314,0.7314
5,0.7498,0.8029,0.75094,0.71763,0.7498,0.7498,0.7498
6,0.8084,0.82959,0.8083,0.79559,0.8084,0.8084,0.8084
7,0.8023,0.84076,0.80276,0.79232,0.8023,0.8023,0.8023
8,0.8262,0.85172,0.82559,0.81643,0.8262,0.8262,0.8262
9,0.8468,0.84963,0.84644,0.84286,0.8468,0.8468,0.8468
10,0.8296,0.86534,0.82953,0.82136,0.8296,0.8296,0.8296
11,0.8721,0.87805,0.87237,0.86995,0.8721,0.8721,0.8721
12,0.8684,0.88197,0.8686,0.866,0.8684,0.8684,0.8684
13,0.89,0.89274,0.89007,0.88933,0.89,0.89,0.89
14,0.8949,0.89481,0.89496,0.8939,0.8949,0.8949,0.8949
15,0.8934,0.89647,0.8933,0.89252,0.8934,0.8934,0.8934
16,0.8965,0.89719,0.89631,0.89526,0.8965,0.8965,0.8965
17,0.894,0.89466,0.89419,0.8925,0.894,0.894,0.894
18,0.9042,0.90516,0.90427,0.90338,0.9042,0.9042,0.9042
19,0.9103,0.91,0.91007,0.90965,0.9103,0.9103,0.9103
20,0.9038,0.90522,0.90388,0.90288,0.9038,0.9038,0.9038
21,0.9033,0.90762,0.90288,0.90281,0.9033,0.9033,0.9033
22,0.8995,0.90585,0.8996,0.89893,0.8995,0.8995,0.8995
23,0.9014,0.90465,0.90138,0.90028,0.9014,0.9014,0.9014
24,0.9093,0.91142,0.90958,0.90861,0.9093,0.9093,0.9093
25,0.9093,0.91096,0.90983,0.90872,0.9093,0.9093,0.9093
26,0.9047,0.90718,0.90462,0.90328,0.9047,0.9047,0.9047
27,0.9146,0.9146,0.91472,0.9135,0.9146,0.9146,0.9146
28,0.9106,0.91243,0.91047,0.90969,0.9106,0.9106,0.9106
29,0.9117,0.91446,0.91165,0.91104,0.9117,0.9117,0.9117
30,0.9129,0.91502,0.9125,0.91209,0.9129,0.9129,0.9129
31,0.9163,0.91767,0.91632,0.91583,0.9163,0.9163,0.9163
32,0.9131,0.91512,0.91269,0.91208,0.9131,0.9131,0.9131
33,0.9127,0.91506,0.91255,0.91145,0.9127,0.9127,0.9127
34,0.9193,0.92088,0.91907,0.91862,0.9193,0.9193,0.9193
35,0.9213,0.92211,0.92111,0.92052,0.9213,0.9213,0.9213
36,0.9185,0.92126,0.9183,0.91753,0.9185,0.9185,0.9185
37,0.9203,0.92093,0.91995,0.91933,0.9203,0.9203,0.9203
38,0.927,0.92737,0.92699,0.92655,0.927,0.927,0.927
39,0.9245,0.92522,0.9241,0.92378,0.9245,0.9245,0.9245
40,0.922,0.92294,0.92185,0.92109,0.922,0.922,0.922
41,0.9272,0.92762,0.92702,0.92644,0.9272,0.9272,0.9272
42,0.9256,0.92554,0.92581,0.92463,0.9256,0.9256,0.9256
43,0.9228,0.92522,0.92265,0.92199,0.9228,0.9228,0.9228
44,0.9302,0.93054,0.92989,0.9296,0.9302,0.9302,0.9302
45,0.9287,0.93015,0.92845,0.92815,0.9287,0.9287,0.9287
46,0.926,0.92713,0.92584,0.9253,0.926,0.926,0.926
47,0.931,0.93174,0.93119,0.93058,0.931,0.931,0.931
48,0.9287,0.93031,0.92882,0.92839,0.9287,0.9287,0.9287
49,0.9325,0.93206,0.93261,0.93195,0.9325,0.9325,0.9325
50,0.929,0.92925,0.92899,0.92821,0.929,0.929,0.929
