round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.3447,0.3713,0.36065,0.27759,0.3447,0.3447,0.3447
1,1,0.3454,0.36213,0.36139,0.27624,0.3454,0.3454,0.3454
1,2,0.3521,0.28522,0.36745,0.28059,0.3521,0.3521,0.3521
1,3,0.3533,0.3977,0.36902,0.28049,0.3533,0.3533,0.3533
1,4,0.3487,0.36838,0.36463,0.27767,0.3487,0.3487,0.3487
1,5,0.3525,0.29663,0.36793,0.28043,0.3525,0.3525,0.3525
1,6,0.3444,0.34522,0.3602,0.27669,0.3444,0.3444,0.3444
1,7,0.3514,0.39459,0.36713,0.27946,0.3514,0.3514,0.3514
1,8,0.3475,0.35908,0.36361,0.27606,0.3475,0.3475,0.3475
1,9,0.3463,0.34644,0.36202,0.27785,0.3463,0.3463,0.3463
2,0,0.4584,0.4903,0.47445,0.38323,0.4584,0.4584,0.4584
2,1,0.4566,0.4898,0.47282,0.38298,0.4566,0.4566,0.4566
2,2,0.4567,0.48803,0.47276,0.38154,0.4567,0.4567,0.4567
2,3,0.4562,0.56757,0.47246,0.38597,0.4562,0.4562,0.4562
2,4,0.4535,0.48731,0.46962,0.37532,0.4535,0.4535,0.4535
2,5,0.4544,0.49226,0.4707,0.37896,0.4544,0.4544,0.4544
2,6,0.4547,0.56873,0.47101,0.38417,0.4547,0.4547,0.4547
2,7,0.4518,0.56083,0.46838,0.38884,0.4518,0.4518,0.4518
2,8,0.4552,0.48885,0.47142,0.38112,0.4552,0.4552,0.4552
2,9,0.4546,0.65392,0.47107,0.39435,0.4546,0.4546,0.4546
3,0,0.6558,0.72489,0.66004,0.61796,0.6558,0.6558,0.6558
3,1,0.6531,0.72231,0.6579,0.61459,0.6531,0.6531,0.6531
3,2,0.6538,0.72046,0.6582,0.615,0.6538,0.6538,0.6538
3,3,0.6518,0.72093,0.6566,0.61263,0.6518,0.6518,0.6518
3,4,0.6527,0.72711,0.65726,0.61532,0.6527,0.6527,0.6527
3,5,0.6533,0.72252,0.6584,0.61508,0.6533,0.6533,0.6533
3,6,0.6509,0.71912,0.65545,0.61133,0.6509,0.6509,0.6509
3,7,0.6514,0.71899,0.65602,0.61159,0.6514,0.6514,0.6514
3,8,0.6534,0.71907,0.65779,0.6141,0.6534,0.6534,0.6534
3,9,0.6519,0.72095,0.65674,0.6128,0.6519,0.6519,0.6519
4,0,0.736,0.77185,0.73831,0.70349,0.736,0.736,0.736
4,1,0.728,0.77174,0.73089,0.69432,0.728,0.728,0.728
4,2,0.7314,0.77439,0.73407,0.69816,0.7314,0.7314,0.7314
4,3,0.7341,0.7746,0.73655,0.70112,0.7341,0.7341,0.7341
4,4,0.7309,0.77171,0.73354,0.69694,0.7309,0.7309,0.7309
4,5,0.7268,0.77308,0.72973,0.69279,0.7268,0.7268,0.7268
4,6,0.7314,0.77337,0.73414,0.6983,0.7314,0.7314,0.7314
4,7,0.7321,0.771,0.73451,0.69888,0.7321,0.7321,0.7321
4,8,0.7296,0.77387,0.73245,0.69644,0.7296,0.7296,0.7296
4,9,0.7332,0.77407,0.7357,0.69965,0.7332,0.7332,0.7332
5,0,0.734,0.80257,0.73561,0.7001,0.734,0.734,0.734
5,1,0.7381,0.80516,0.73963,0.70479,0.7381,0.7381,0.7381
5,2,0.7461,0.79684,0.74732,0.7134,0.7461,0.7461,0.7461
5,3,0.7606,0.81033,0.76145,0.72943,0.7606,0.7606,0.7606
5,4,0.7535,0.80355,0.75451,0.72122,0.7535,0.7535,0.7535
5,5,0.7619,0.80892,0.76266,0.73095,0.7619,0.7619,0.7619
5,6,0.7517,0.80498,0.75274,0.71982,0.7517,0.7517,0.7517
5,7,0.7492,0.80148,0.75036,0.71691,0.7492,0.7492,0.7492
5,8,0.7539,0.80764,0.7549,0.72232,0.7539,0.7539,0.7539
5,9,0.7583,0.80978,0.75918,0.72685,0.7583,0.7583,0.7583
6,0,0.8085,0.82945,0.80841,0.79573,0.8085,0.8085,0.8085
6,1,0.8118,0.83036,0.81169,0.80089,0.8118,0.8118,0.8118
6,2,0.8116,0.83041,0.8115,0.80055,0.8116,0.8116,0.8116
6,3,0.8053,0.82993,0.80525,0.79063,0.8053,0.8053,0.8053
6,4,0.8073,0.82819,0.80716,0.79395,0.8073,0.8073,0.8073
6,5,0.8075,0.82907,0.80739,0.79433,0.8075,0.8075,0.8075
6,6,0.8052,0.82924,0.80516,0.79074,0.8052,0.8052,0.8052
6,7,0.8098,0.82983,0.8097,0.79779,0.8098,0.8098,0.8098
6,8,0.8088,0.82973,0.8087,0.79608,0.8088,0.8088,0.8088
6,9,0.8058,0.83085,0.80586,0.79218,0.8058,0.8058,0.8058
7,0,0.7991,0.84284,0.79947,0.78752,0.7991,0.7991,0.7991
7,1,0.8025,0.8407,0.80296,0.79281,0.8025,0.8025,0.8025
7,2,0.8035,0.84145,0.80401,0.79386,0.8035,0.8035,0.8035
7,3,0.8085,0.84232,0.80905,0.80088,0.8085,0.8085,0.8085
7,4,0.8034,0.84138,0.80391,0.79371,0.8034,0.8034,0.8034
7,5,0.8053,0.84143,0.80574,0.79654,0.8053,0.8053,0.8053
7,6,0.7977,0.84263,0.79809,0.78576,0.7977,0.7977,0.7977
7,7,0.8126,0.84355,0.81322,0.80628,0.8126,0.8126,0.8126
7,8,0.8041,0.8419,0.80461,0.79463,0.8041,0.8041,0.8041
7,9,0.7975,0.84218,0.79766,0.78522,0.7975,0.7975,0.7975
8,0,0.8254,0.85174,0.82492,0.81594,0.8254,0.8254,0.8254
8,1,0.8277,0.85218,0.82693,0.81804,0.8277,0.8277,0.8277
8,2,0.8286,0.85226,0.82767,0.81911,0.8286,0.8286,0.8286
8,3,0.826,0.85164,0.82549,0.81639,0.826,0.826,0.826
8,4,0.8272,0.85266,0.82682,0.81793,0.8272,0.8272,0.8272
8,5,0.8237,0.85212,0.82342,0.81411,0.8237,0.8237,0.8237
8,6,0.8259,0.85238,0.82547,0.81623,0.8259,0.8259,0.8259
8,7,0.8263,0.85194,0.82571,0.81642,0.8263,0.8263,0.8263
8,8,0.8269,0.85204,0.82623,0.81717,0.8269,0.8269,0.8269
8,9,0.8267,0.8523,0.82605,0.81691,0.8267,0.8267,0.8267
9,0,0.8461,0.84927,0.84581,0.84209,0.8461,0.8461,0.8461
9,1,0.8481,0.85072,0.84773,0.84425,0.8481,0.8481,0.8481
9,2,0.848,0.85055,0.84761,0.84411,0.848,0.848,0.848
9,3,0.8475,0.85033,0.84713,0.84358,0.8475,0.8475,0.8475
