round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98518,0.98314,0.98082,0.98197,0.98518,0.98518,0.98518
1,1,0.99931,0.99519,0.99963,0.9974,0.99931,0.99931,0.99931
1,2,0.98396,0.72258,0.73303,0.72759,0.98396,0.98396,0.98396
1,3,0.99281,0.65246,0.64549,0.64892,0.99281,0.99281,0.99281
1,4,0.99726,0.97911,0.98863,0.98382,0.99726,0.99726,0.99726
1,5,0.98238,0.6554,0.65748,0.65641,0.98238,0.98238,0.98238
1,6,0.99075,0.98185,0.98028,0.98106,0.99075,0.99075,0.99075
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.99684,0.99654,0.99654,0.99654,0.99684,0.99684,0.99684
1,9,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
2,0,0.98596,0.98081,0.98534,0.98304,0.98596,0.98596,0.98596
2,1,0.99931,0.99519,0.99963,0.9974,0.99931,0.99931,0.99931
2,2,0.98451,0.7192,0.72728,0.72313,0.98451,0.98451,0.98451
2,3,0.99281,0.64898,0.64926,0.64912,0.99281,0.99281,0.99281
2,4,0.99909,0.99952,0.98958,0.9945,0.99909,0.99909,0.99909
2,5,0.98238,0.9884,0.8228,0.87781,0.98238,0.98238,0.98238
2,6,0.99033,0.98302,0.98005,0.98152,0.99033,0.99033,0.99033
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,0.99789,0.99837,0.99702,0.99769,0.99789,0.99789,0.99789
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.98908,0.98527,0.98833,0.98679,0.98908,0.98908,0.98908
3,1,0.99862,0.99048,0.99926,0.99482,0.99862,0.99862,0.99862
3,2,0.98507,0.71663,0.7312,0.72362,0.98507,0.98507,0.98507
3,3,0.99281,0.64898,0.64926,0.64912,0.99281,0.99281,0.99281
3,4,0.99817,0.99905,0.97917,0.98888,0.99817,0.99817,0.99817
3,5,0.98678,0.99137,0.82577,0.88079,0.98678,0.98678,0.98678
3,6,0.99327,0.98693,0.9837,0.98531,0.99327,0.99327,0.99327
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.99736,0.99695,0.99729,0.99712,0.99736,0.99736,0.99736
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.98908,0.986,0.98754,0.98677,0.98908,0.98908,0.98908
4,1,0.99862,0.99048,0.99926,0.99482,0.99862,0.99862,0.99862
4,2,0.98562,0.72802,0.72126,0.72459,0.98562,0.98562,0.98562
4,3,0.99201,0.64516,0.64898,0.64706,0.99201,0.99201,0.99201
4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
