round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.83775,0.45826,0.36697,0.38893,0.83775,0.83775,0.83775
2,1,0.0703,0.19806,0.19806,0.19806,0.0703,0.0703,0.0703
2,2,0.16538,0.41205,0.23025,0.20942,0.16538,0.16538,0.16538
2,3,0.06235,0.17628,0.12779,0.05415,0.06235,0.06235,0.06235
2,4,0.03927,0.1307,0.12798,0.12932,0.03927,0.03927,0.03927
2,5,0.23348,0.14972,0.1324,0.11462,0.23348,0.23348,0.23348
2,6,0.67073,0.46379,0.46449,0.41673,0.67073,0.67073,0.67073
2,7,0.91339,0.25,0.22835,0.23868,0.91339,0.91339,0.91339
2,8,0.32051,0.14262,0.12944,0.13571,0.32051,0.32051,0.32051
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.8869,0.3926,0.35192,0.37114,0.8869,0.8869,0.8869
3,1,0.06961,0.14286,0.14008,0.14146,0.06961,0.06961,0.06961
3,2,0.36394,0.31368,0.23142,0.22505,0.36394,0.36394,0.36394
3,3,0.06954,0.12622,0.22008,0.02811,0.06954,0.06954,0.06954
3,4,0.23836,0.22336,0.15043,0.15235,0.23836,0.23836,0.23836
3,5,0.56388,0.27517,0.29464,0.19384,0.56388,0.56388,0.56388
3,6,0.5286,0.47347,0.33282,0.34857,0.5286,0.5286,0.5286
3,7,0.98425,0.25,0.24606,0.24802,0.98425,0.98425,0.98425
3,8,0.72746,0.2803,0.22441,0.24467,0.72746,0.72746,0.72746
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.90952,0.19704,0.1809,0.18862,0.90952,0.90952,0.90952
4,1,0.6816,0.19808,0.16483,0.17792,0.6816,0.6816,0.6816
4,2,0.8031,0.249,0.26328,0.24873,0.8031,0.8031,0.8031
4,3,0.07834,0.13333,0.22113,0.04018,0.07834,0.07834,0.07834
4,4,0.63927,0.19216,0.16029,0.17177,0.63927,0.63927,0.63927
4,5,0.74229,0.23439,0.27268,0.2154,0.74229,0.74229,0.74229
4,6,0.75526,0.32063,0.27274,0.28865,0.75526,0.75526,0.75526
4,7,0.96588,0.25,0.24147,0.24566,0.96588,0.96588,0.96588
4,8,0.51766,0.19789,0.12395,0.14,0.51766,0.51766,0.51766
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.92434,0.19708,0.18346,0.19002,0.92434,0.92434,0.92434
5,1,0.71744,0.22222,0.18743,0.20181,0.71744,0.71744,0.71744
5,2,0.80697,0.26461,0.36289,0.26347,0.80697,0.80697,0.80697
5,3,0.09992,0.14532,0.2237,0.0602,0.09992,0.09992,0.09992
5,4,0.779,0.19787,0.17291,0.1839,0.779,0.779,0.779
