round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.9084,0.90698,0.90696,0.90666,0.9084,0.9084,0.9084
2,0.9308,0.93,0.92991,0.92982,0.9308,0.9308,0.9308
3,0.9421,0.94151,0.94143,0.94136,0.9421,0.9421,0.9421
4,0.9519,0.95152,0.95139,0.95139,0.9519,0.9519,0.9519
5,0.9575,0.95731,0.95697,0.95706,0.9575,0.9575,0.9575
6,0.9606,0.96034,0.96017,0.9602,0.9606,0.9606,0.9606
7,0.9641,0.96384,0.96367,0.96371,0.9641,0.9641,0.9641
8,0.9654,0.96519,0.96505,0.96509,0.9654,0.9654,0.9654
9,0.968,0.96786,0.96758,0.96768,0.968,0.968,0.968
10,0.9696,0.96945,0.9693,0.96935,0.9696,0.9696,0.9696
11,0.9707,0.97058,0.97041,0.97048,0.9707,0.9707,0.9707
12,0.9717,0.97151,0.97141,0.97145,0.9717,0.9717,0.9717
13,0.9726,0.97248,0.9723,0.97238,0.9726,0.9726,0.9726
14,0.9733,0.97322,0.97297,0.97308,0.9733,0.9733,0.9733
15,0.974,0.9738,0.97378,0.97378,0.974,0.974,0.974
16,0.9749,0.97476,0.97466,0.9747,0.9749,0.9749,0.9749
17,0.9749,0.97474,0.97465,0.97469,0.9749,0.9749,0.9749
18,0.9761,0.97595,0.97588,0.97591,0.9761,0.9761,0.9761
19,0.9768,0.97676,0.97655,0.97664,0.9768,0.9768,0.9768
20,0.9758,0.9756,0.97559,0.97559,0.9758,0.9758,0.9758
21,0.9762,0.97608,0.97599,0.97602,0.9762,0.9762,0.9762
22,0.9768,0.97674,0.97654,0.97663,0.9768,0.9768,0.9768
23,0.977,0.97695,0.97675,0.97684,0.977,0.977,0.977
24,0.977,0.9769,0.9768,0.97683,0.977,0.977,0.977
25,0.9777,0.97768,0.97748,0.97757,0.9777,0.9777,0.9777
26,0.9772,0.97717,0.97699,0.97707,0.9772,0.9772,0.9772
27,0.9774,0.97732,0.97718,0.97724,0.9774,0.9774,0.9774
28,0.9776,0.97758,0.97738,0.97747,0.9776,0.9776,0.9776
29,0.978,0.97799,0.97778,0.97787,0.978,0.978,0.978
30,0.978,0.978,0.97781,0.9779,0.978,0.978,0.978
31,0.9778,0.9778,0.97762,0.9777,0.9778,0.9778,0.9778
32,0.9781,0.97808,0.9779,0.97798,0.9781,0.9781,0.9781
33,0.9784,0.97837,0.9782,0.97828,0.9784,0.9784,0.9784
34,0.9781,0.97809,0.97789,0.97798,0.9781,0.9781,0.9781
35,0.9786,0.97857,0.9784,0.97848,0.9786,0.9786,0.9786
36,0.9784,0.97837,0.97819,0.97827,0.9784,0.9784,0.9784
37,0.9787,0.97867,0.9785,0.97857,0.9787,0.9787,0.9787
38,0.9787,0.97867,0.97851,0.97858,0.9787,0.9787,0.9787
39,0.9785,0.97847,0.97829,0.97837,0.9785,0.9785,0.9785
40,0.9788,0.97878,0.9786,0.97868,0.9788,0.9788,0.9788
41,0.9788,0.97877,0.9786,0.97868,0.9788,0.9788,0.9788
42,0.9787,0.97867,0.97849,0.97857,0.9787,0.9787,0.9787
43,0.9784,0.97837,0.97821,0.97828,0.9784,0.9784,0.9784
44,0.9787,0.97866,0.97849,0.97856,0.9787,0.9787,0.9787
45,0.9785,0.97845,0.9783,0.97836,0.9785,0.9785,0.9785
46,0.9788,0.97876,0.9786,0.97867,0.9788,0.9788,0.9788
47,0.9788,0.97875,0.97858,0.97865,0.9788,0.9788,0.9788
48,0.9786,0.97855,0.97839,0.97846,0.9786,0.9786,0.9786
49,0.9788,0.97876,0.97859,0.97867,0.9788,0.9788,0.9788
50,0.9789,0.97885,0.97868,0.97876,0.9789,0.9789,0.9789
