round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.9081,0.90665,0.90663,0.90633,0.9081,0.9081,0.9081
1,1,0.9084,0.90698,0.90696,0.90666,0.9084,0.9084,0.9084
1,2,0.9083,0.90687,0.90686,0.90656,0.9083,0.9083,0.9083
1,3,0.9084,0.90698,0.90696,0.90666,0.9084,0.9084,0.9084
1,4,0.9084,0.90698,0.90696,0.90666,0.9084,0.9084,0.9084
1,5,0.9085,0.90708,0.90705,0.90676,0.9085,0.9085,0.9085
1,6,0.9084,0.90698,0.90696,0.90666,0.9084,0.9084,0.9084
1,7,0.9086,0.90718,0.90715,0.90686,0.9086,0.9086,0.9086
1,8,0.9086,0.90718,0.90715,0.90686,0.9086,0.9086,0.9086
1,9,0.9081,0.90664,0.90664,0.90634,0.9081,0.9081,0.9081
2,0,0.9305,0.9297,0.92961,0.92952,0.9305,0.9305,0.9305
2,1,0.9307,0.9299,0.92981,0.92971,0.9307,0.9307,0.9307
2,2,0.9307,0.9299,0.92981,0.92972,0.9307,0.9307,0.9307
2,3,0.9308,0.92999,0.92991,0.92981,0.9308,0.9308,0.9308
2,4,0.9308,0.92999,0.92991,0.92981,0.9308,0.9308,0.9308
2,5,0.9306,0.9298,0.92971,0.92962,0.9306,0.9306,0.9306
2,6,0.9306,0.92981,0.92971,0.92962,0.9306,0.9306,0.9306
2,7,0.9308,0.92999,0.92991,0.92982,0.9308,0.9308,0.9308
2,8,0.9306,0.92979,0.92971,0.92962,0.9306,0.9306,0.9306
2,9,0.9307,0.9299,0.92981,0.92971,0.9307,0.9307,0.9307
3,0,0.9423,0.9417,0.94164,0.94156,0.9423,0.9423,0.9423
3,1,0.9422,0.94161,0.94153,0.94146,0.9422,0.9422,0.9422
3,2,0.9422,0.94159,0.94154,0.94146,0.9422,0.9422,0.9422
3,3,0.9422,0.9416,0.94153,0.94146,0.9422,0.9422,0.9422
3,4,0.9422,0.94161,0.94153,0.94147,0.9422,0.9422,0.9422
3,5,0.9422,0.94161,0.94153,0.94147,0.9422,0.9422,0.9422
3,6,0.9423,0.9417,0.94164,0.94156,0.9423,0.9423,0.9423
3,7,0.9422,0.9416,0.94153,0.94146,0.9422,0.9422,0.9422
3,8,0.9422,0.9416,0.94153,0.94146,0.9422,0.9422,0.9422
3,9,0.9423,0.9417,0.94164,0.94156,0.9423,0.9423,0.9423
4,0,0.9519,0.95152,0.95139,0.95139,0.9519,0.9519,0.9519
4,1,0.9519,0.95152,0.95139,0.95139,0.9519,0.9519,0.9519
4,2,0.9519,0.95152,0.95139,0.95139,0.9519,0.9519,0.9519
4,3,0.9518,0.95143,0.95128,0.95129,0.9518,0.9518,0.9518
4,4,0.9519,0.95152,0.95139,0.95139,0.9519,0.9519,0.9519
4,5,0.9518,0.95143,0.95128,0.95129,0.9518,0.9518,0.9518
4,6,0.9519,0.95152,0.95139,0.95139,0.9519,0.9519,0.9519
4,7,0.9518,0.95143,0.95128,0.95129,0.9518,0.9518,0.9518
4,8,0.9518,0.95143,0.95128,0.95129,0.9518,0.9518,0.9518
4,9,0.9519,0.95152,0.95139,0.95139,0.9519,0.9519,0.9519
5,0,0.9575,0.95731,0.95697,0.95706,0.9575,0.9575,0.9575
5,1,0.9576,0.95741,0.95708,0.95717,0.9576,0.9576,0.9576
5,2,0.9575,0.95731,0.95697,0.95706,0.9575,0.9575,0.9575
5,3,0.9575,0.95731,0.95697,0.95706,0.9575,0.9575,0.9575
5,4,0.9576,0.95741,0.95708,0.95717,0.9576,0.9576,0.9576
5,5,0.9575,0.95731,0.95697,0.95706,0.9575,0.9575,0.9575
5,6,0.9574,0.95721,0.95688,0.95696,0.9574,0.9574,0.9574
5,7,0.9576,0.95741,0.95708,0.95717,0.9576,0.9576,0.9576
5,8,0.9574,0.95721,0.95689,0.95697,0.9574,0.9574,0.9574
5,9,0.9574,0.95721,0.95688,0.95697,0.9574,0.9574,0.9574
6,0,0.9606,0.96034,0.96017,0.9602,0.9606,0.9606,0.9606
6,1,0.9605,0.96024,0.96007,0.9601,0.9605,0.9605,0.9605
6,2,0.9604,0.96014,0.95997,0.96,0.9604,0.9604,0.9604
6,3,0.9605,0.96024,0.96006,0.96009,0.9605,0.9605,0.9605
6,4,0.9605,0.96024,0.96006,0.96009,0.9605,0.9605,0.9605
6,5,0.9605,0.96024,0.96006,0.96009,0.9605,0.9605,0.9605
6,6,0.9606,0.96034,0.96017,0.9602,0.9606,0.9606,0.9606
6,7,0.9605,0.96024,0.96006,0.96009,0.9605,0.9605,0.9605
6,8,0.9605,0.96024,0.96006,0.96009,0.9605,0.9605,0.9605
6,9,0.9606,0.96034,0.96017,0.9602,0.9606,0.9606,0.9606
7,0,0.9641,0.96384,0.96367,0.96371,0.9641,0.9641,0.9641
7,1,0.9641,0.96384,0.96367,0.96371,0.9641,0.9641,0.9641
7,2,0.9641,0.96384,0.96367,0.96371,0.9641,0.9641,0.9641
7,3,0.9641,0.96384,0.96367,0.96371,0.9641,0.9641,0.9641
7,4,0.9641,0.96384,0.96367,0.96371,0.9641,0.9641,0.9641
7,5,0.9641,0.96384,0.96367,0.96371,0.9641,0.9641,0.9641
7,6,0.9641,0.96384,0.96367,0.96371,0.9641,0.9641,0.9641
