round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.8925,0.8933,0.89523,0.89137,0.8925,0.8925,0.8925
1,1,0.89167,0.8922,0.89158,0.8912,0.89167,0.89167,0.89167
1,2,0.88833,0.89082,0.88967,0.88898,0.88833,0.88833,0.88833
1,3,0.88583,0.8847,0.88255,0.88281,0.88583,0.88583,0.88583
1,4,0.89,0.88824,0.8886,0.88763,0.89,0.89,0.89
1,5,0.8925,0.88915,0.89134,0.88949,0.8925,0.8925,0.8925
1,6,0.88083,0.87913,0.87809,0.8776,0.88083,0.88083,0.88083
1,7,0.90417,0.90169,0.90295,0.90028,0.90417,0.90417,0.90417
1,8,0.8825,0.88633,0.8823,0.88132,0.8825,0.8825,0.8825
1,9,0.90583,0.90979,0.90251,0.90306,0.90583,0.90583,0.90583
2,0,0.915,0.91894,0.91527,0.91557,0.915,0.915,0.915
2,1,0.91583,0.91744,0.91558,0.91573,0.91583,0.91583,0.91583
2,2,0.9075,0.91049,0.90882,0.90813,0.9075,0.9075,0.9075
2,3,0.91083,0.91083,0.9077,0.90856,0.91083,0.91083,0.91083
2,4,0.90417,0.90592,0.90263,0.90268,0.90417,0.90417,0.90417
2,5,0.91917,0.92001,0.91863,0.91869,0.91917,0.91917,0.91917
2,6,0.90917,0.90833,0.90828,0.90746,0.90917,0.90917,0.90917
2,7,0.93083,0.92897,0.92802,0.92809,0.93083,0.93083,0.93083
2,8,0.91583,0.91661,0.91516,0.91502,0.91583,0.91583,0.91583
2,9,0.93333,0.93084,0.9309,0.93037,0.93333,0.93333,0.93333
3,0,0.93917,0.93934,0.93975,0.93898,0.93917,0.93917,0.93917
3,1,0.92417,0.92512,0.9252,0.92447,0.92417,0.92417,0.92417
3,2,0.93083,0.93139,0.93204,0.93104,0.93083,0.93083,0.93083
3,3,0.93083,0.93135,0.92905,0.92974,0.93083,0.93083,0.93083
3,4,0.92417,0.92406,0.92347,0.92281,0.92417,0.92417,0.92417
3,5,0.93917,0.94046,0.93876,0.93906,0.93917,0.93917,0.93917
3,6,0.9275,0.92862,0.92681,0.9265,0.9275,0.9275,0.9275
3,7,0.94167,0.93971,0.94035,0.93922,0.94167,0.94167,0.94167
3,8,0.9275,0.92814,0.92671,0.92621,0.9275,0.9275,0.9275
3,9,0.94167,0.94149,0.94028,0.94046,0.94167,0.94167,0.94167
4,0,0.94167,0.94313,0.94198,0.94212,0.94167,0.94167,0.94167
4,1,0.93917,0.93967,0.93966,0.93933,0.93917,0.93917,0.93917
4,2,0.9425,0.94311,0.94324,0.94299,0.9425,0.9425,0.9425
4,3,0.93833,0.9386,0.93664,0.93753,0.93833,0.93833,0.93833
4,4,0.93917,0.93861,0.93852,0.93805,0.93917,0.93917,0.93917
4,5,0.94833,0.94769,0.94931,0.94809,0.94833,0.94833,0.94833
4,6,0.93417,0.93418,0.93254,0.9329,0.93417,0.93417,0.93417
4,7,0.94167,0.93924,0.94176,0.93952,0.94167,0.94167,0.94167
4,8,0.94333,0.94344,0.9427,0.94257,0.94333,0.94333,0.94333
4,9,0.94667,0.9446,0.9455,0.9448,0.94667,0.94667,0.94667
5,0,0.955,0.95472,0.95569,0.95499,0.955,0.955,0.955
5,1,0.94583,0.94688,0.946,0.94565,0.94583,0.94583,0.94583
5,2,0.94583,0.94644,0.94708,0.94652,0.94583,0.94583,0.94583
5,3,0.94417,0.94362,0.94272,0.94298,0.94417,0.94417,0.94417
5,4,0.94917,0.94975,0.94832,0.94864,0.94917,0.94917,0.94917
5,5,0.95417,0.95511,0.95437,0.95419,0.95417,0.95417,0.95417
5,6,0.9475,0.94677,0.94641,0.94642,0.9475,0.9475,0.9475
5,7,0.95167,0.94889,0.9511,0.94968,0.95167,0.95167,0.95167
5,8,0.94833,0.9497,0.94711,0.94785,0.94833,0.94833,0.94833
5,9,0.95333,0.95521,0.95008,0.95211,0.95333,0.95333,0.95333
6,0,0.95417,0.95585,0.95327,0.95414,0.95417,0.95417,0.95417
6,1,0.95667,0.95667,0.95682,0.95663,0.95667,0.95667,0.95667
6,2,0.95583,0.95654,0.95646,0.95646,0.95583,0.95583,0.95583
6,3,0.95,0.95049,0.94824,0.94901,0.95,0.95,0.95
6,4,0.94583,0.94543,0.94541,0.94493,0.94583,0.94583,0.94583
6,5,0.95833,0.95921,0.95754,0.95804,0.95833,0.95833,0.95833
6,6,0.94917,0.94898,0.9484,0.94842,0.94917,0.94917,0.94917
6,7,0.955,0.9524,0.954,0.95291,0.955,0.955,0.955
6,8,0.95417,0.95506,0.95318,0.95375,0.95417,0.95417,0.95417
6,9,0.96,0.96047,0.95853,0.95927,0.96,0.96,0.96
7,0,0.9575,0.95792,0.95738,0.95747,0.9575,0.9575,0.9575
7,1,0.9625,0.96333,0.96223,0.96243,0.9625,0.9625,0.9625
7,2,0.9575,0.95829,0.9582,0.95812,0.9575,0.9575,0.9575
7,3,0.955,0.95397,0.95524,0.95429,0.955,0.955,0.955
7,4,0.95417,0.95381,0.95376,0.95359,0.95417,0.95417,0.95417
7,5,0.95583,0.95708,0.95629,0.95588,0.95583,0.95583,0.95583
7,6,0.9525,0.95207,0.95208,0.95178,0.9525,0.9525,0.9525
7,7,0.95167,0.95014,0.95112,0.95,0.95167,0.95167,0.95167
