round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.09833,0.05905,0.0955,0.04503,0.09833,0.09833,0.09833
1,1,0.1075,0.10745,0.10439,0.04917,0.1075,0.1075,0.1075
1,2,0.0775,0.08378,0.08248,0.03542,0.0775,0.0775,0.0775
1,3,0.07917,0.02587,0.08782,0.03469,0.07917,0.07917,0.07917
1,4,0.09583,0.04994,0.0944,0.04128,0.09583,0.09583,0.09583
1,5,0.10083,0.02655,0.09163,0.03864,0.10083,0.10083,0.10083
1,6,0.08583,0.07114,0.08453,0.03356,0.08583,0.08583,0.08583
1,7,0.09,0.19162,0.08795,0.0387,0.09,0.09,0.09
1,8,0.08667,0.07022,0.09222,0.04079,0.08667,0.08667,0.08667
1,9,0.07917,0.11425,0.09692,0.03843,0.07917,0.07917,0.07917
2,0,0.91417,0.91416,0.91519,0.91401,0.91417,0.91417,0.91417
2,1,0.8975,0.89756,0.89714,0.89677,0.8975,0.8975,0.8975
2,2,0.9025,0.90362,0.90444,0.90326,0.9025,0.9025,0.9025
2,3,0.8975,0.89502,0.89623,0.8951,0.8975,0.8975,0.8975
2,4,0.89583,0.89423,0.89462,0.89377,0.89583,0.89583,0.89583
2,5,0.90583,0.90578,0.90505,0.90484,0.90583,0.90583,0.90583
2,6,0.89083,0.88884,0.88876,0.88808,0.89083,0.89083,0.89083
2,7,0.9125,0.90912,0.91026,0.90916,0.9125,0.9125,0.9125
2,8,0.9075,0.90637,0.90663,0.90634,0.9075,0.9075,0.9075
2,9,0.91917,0.91746,0.91669,0.91656,0.91917,0.91917,0.91917
3,0,0.93083,0.93103,0.93148,0.9308,0.93083,0.93083,0.93083
3,1,0.91833,0.91915,0.91854,0.91843,0.91833,0.91833,0.91833
3,2,0.92833,0.92872,0.92964,0.92899,0.92833,0.92833,0.92833
3,3,0.92583,0.92487,0.92476,0.92451,0.92583,0.92583,0.92583
3,4,0.91917,0.91809,0.91888,0.91797,0.91917,0.91917,0.91917
3,5,0.93,0.93079,0.93019,0.92971,0.93,0.93,0.93
3,6,0.91167,0.91006,0.91028,0.90968,0.91167,0.91167,0.91167
3,7,0.93667,0.93355,0.93477,0.93389,0.93667,0.93667,0.93667
3,8,0.92667,0.92623,0.92594,0.92573,0.92667,0.92667,0.92667
3,9,0.93917,0.93783,0.93653,0.93687,0.93917,0.93917,0.93917
4,0,0.94333,0.94395,0.94377,0.94324,0.94333,0.94333,0.94333
4,1,0.93833,0.93863,0.93869,0.93849,0.93833,0.93833,0.93833
4,2,0.93917,0.9398,0.94034,0.93994,0.93917,0.93917,0.93917
4,3,0.94083,0.93991,0.94052,0.93986,0.94083,0.94083,0.94083
4,4,0.93083,0.92981,0.93061,0.92976,0.93083,0.93083,0.93083
4,5,0.94333,0.94314,0.94376,0.94302,0.94333,0.94333,0.94333
4,6,0.93417,0.93326,0.93282,0.93256,0.93417,0.93417,0.93417
4,7,0.95,0.94666,0.94967,0.94782,0.95,0.95,0.95
4,8,0.93917,0.93913,0.93855,0.9384,0.93917,0.93917,0.93917
4,9,0.94583,0.94533,0.94334,0.944,0.94583,0.94583,0.94583
5,0,0.9525,0.95287,0.95323,0.95284,0.9525,0.9525,0.9525
5,1,0.94917,0.9498,0.94936,0.94942,0.94917,0.94917,0.94917
5,2,0.94917,0.94953,0.94986,0.94962,0.94917,0.94917,0.94917
5,3,0.9425,0.94227,0.94137,0.94147,0.9425,0.9425,0.9425
5,4,0.94333,0.94239,0.94333,0.94246,0.94333,0.94333,0.94333
5,5,0.95,0.95006,0.9501,0.94976,0.95,0.95,0.95
5,6,0.94583,0.94496,0.94465,0.94447,0.94583,0.94583,0.94583
5,7,0.95667,0.95355,0.95572,0.95431,0.95667,0.95667,0.95667
5,8,0.95,0.95005,0.94951,0.94958,0.95,0.95,0.95
5,9,0.95333,0.95246,0.95139,0.95168,0.95333,0.95333,0.95333
6,0,0.9575,0.9574,0.95799,0.95754,0.9575,0.9575,0.9575
6,1,0.955,0.95569,0.95497,0.95514,0.955,0.955,0.955
6,2,0.95667,0.95684,0.95752,0.95709,0.95667,0.95667,0.95667
6,3,0.94583,0.94554,0.94508,0.94495,0.94583,0.94583,0.94583
6,4,0.95333,0.95268,0.95288,0.95258,0.95333,0.95333,0.95333
6,5,0.95583,0.95634,0.95538,0.95546,0.95583,0.95583,0.95583
6,6,0.95583,0.95526,0.95492,0.95486,0.95583,0.95583,0.95583
6,7,0.96083,0.95835,0.9595,0.95881,0.96083,0.96083,0.96083
6,8,0.95667,0.95693,0.95614,0.95638,0.95667,0.95667,0.95667
6,9,0.96,0.96002,0.95809,0.95888,0.96,0.96,0.96
7,0,0.96167,0.9617,0.96263,0.96203,0.96167,0.96167,0.96167
7,1,0.96,0.96032,0.96004,0.96005,0.96,0.96,0.96
7,2,0.96083,0.96098,0.96153,0.96118,0.96083,0.96083,0.96083
7,3,0.95,0.94987,0.94926,0.94919,0.95,0.95,0.95
7,4,0.95917,0.95835,0.95875,0.95845,0.95917,0.95917,0.95917
7,5,0.96333,0.96374,0.96358,0.96339,0.96333,0.96333,0.96333
7,6,0.95833,0.9576,0.95752,0.95736,0.95833,0.95833,0.95833
7,7,0.9625,0.9602,0.96168,0.96079,0.9625,0.9625,0.9625
7,8,0.96,0.96031,0.95942,0.95969,0.96,0.96,0.96
7,9,0.96083,0.96062,0.95901,0.95966,0.96083,0.96083,0.96083
8,0,0.96583,0.96636,0.96656,0.96634,0.96583,0.96583,0.96583
8,1,0.96333,0.96393,0.96343,0.96359,0.96333,0.96333,0.96333
8,2,0.96333,0.96359,0.96383,0.96363,0.96333,0.96333,0.96333
8,3,0.95583,0.95502,0.95538,0.95488,0.95583,0.95583,0.95583
8,4,0.96417,0.96344,0.96388,0.96357,0.96417,0.96417,0.96417
8,5,0.96667,0.96676,0.96691,0.96652,0.96667,0.96667,0.96667
8,6,0.96083,0.96029,0.96012,0.95998,0.96083,0.96083,0.96083
8,7,0.96417,0.96203,0.9633,0.96253,0.96417,0.96417,0.96417
8,8,0.96333,0.96357,0.96276,0.963,0.96333,0.96333,0.96333
8,9,0.96667,0.96692,0.96566,0.96613,0.96667,0.96667,0.96667
9,0,0.96917,0.9697,0.97016,0.96983,0.96917,0.96917,0.96917
9,1,0.965,0.96534,0.96515,0.96519,0.965,0.965,0.965
9,2,0.96583,0.96637,0.9663,0.96622,0.96583,0.96583,0.96583
9,3,0.95917,0.959,0.95846,0.9585,0.95917,0.95917,0.95917
9,4,0.96583,0.96497,0.96567,0.96523,0.96583,0.96583,0.96583
9,5,0.96833,0.9684,0.9686,0.96818,0.96833,0.96833,0.96833
9,6,0.9625,0.96195,0.96175,0.9617,0.9625,0.9625,0.9625
9,7,0.96417,0.96218,0.96344,0.96268,0.96417,0.96417,0.96417
9,8,0.96833,0.96865,0.96782,0.96809,0.96833,0.96833,0.96833
9,9,0.97,0.97013,0.96972,0.96979,0.97,0.97,0.97
10,0,0.97,0.96992,0.97051,0.97011,0.97,0.97,0.97
10,1,0.96667,0.96728,0.96683,0.96683,0.96667,0.96667,0.96667
10,2,0.96917,0.96976,0.96975,0.96968,0.96917,0.96917,0.96917
10,3,0.9625,0.9621,0.96182,0.96179,0.9625,0.9625,0.9625
10,4,0.96917,0.96824,0.96885,0.96845,0.96917,0.96917,0.96917
10,5,0.96917,0.96919,0.96942,0.96901,0.96917,0.96917,0.96917
10,6,0.97,0.96982,0.96917,0.96931,0.97,0.97,0.97
10,7,0.9675,0.96537,0.96649,0.96583,0.9675,0.9675,0.9675
10,8,0.96667,0.96721,0.96586,0.96638,0.96667,0.96667,0.96667
10,9,0.97167,0.9723,0.9718,0.97186,0.97167,0.97167,0.97167
11,0,0.96917,0.96915,0.96994,0.9694,0.96917,0.96917,0.96917
11,1,0.9675,0.96803,0.96768,0.96765,0.9675,0.9675,0.9675
11,2,0.97,0.97044,0.97051,0.97037,0.97,0.97,0.97
11,3,0.96583,0.96562,0.96526,0.96528,0.96583,0.96583,0.96583
11,4,0.97167,0.97057,0.97143,0.97093,0.97167,0.97167,0.97167
11,5,0.97,0.97011,0.97032,0.96987,0.97,0.97,0.97
11,6,0.97167,0.97144,0.97096,0.97107,0.97167,0.97167,0.97167
11,7,0.97,0.96789,0.96998,0.96877,0.97,0.97,0.97
11,8,0.97,0.97031,0.96942,0.96969,0.97,0.97,0.97
11,9,0.97417,0.97507,0.97427,0.97454,0.97417,0.97417,0.97417
12,0,0.97,0.97008,0.97031,0.97011,0.97,0.97,0.97
12,1,0.96833,0.96904,0.9684,0.96851,0.96833,0.96833,0.96833
12,2,0.97167,0.9719,0.972,0.97188,0.97167,0.97167,0.97167
12,3,0.9675,0.96694,0.96733,0.96701,0.9675,0.9675,0.9675
12,4,0.97333,0.97234,0.97286,0.97255,0.97333,0.97333,0.97333
12,5,0.97167,0.97172,0.97142,0.97128,0.97167,0.97167,0.97167
12,6,0.97083,0.97069,0.97017,0.97033,0.97083,0.97083,0.97083
12,7,0.97,0.9678,0.96944,0.96851,0.97,0.97,0.97
12,8,0.97,0.97032,0.96924,0.96965,0.97,0.97,0.97
12,9,0.97333,0.97372,0.97318,0.97326,0.97333,0.97333,0.97333
13,0,0.97083,0.9708,0.97134,0.97096,0.97083,0.97083,0.97083
13,1,0.96917,0.96956,0.96934,0.96933,0.96917,0.96917,0.96917
13,2,0.9725,0.97306,0.97287,0.97288,0.9725,0.9725,0.9725
13,3,0.9675,0.96646,0.9679,0.967,0.9675,0.9675,0.9675
13,4,0.97417,0.97327,0.97391,0.97356,0.97417,0.97417,0.97417
13,5,0.97083,0.971,0.97072,0.97054,0.97083,0.97083,0.97083
13,6,0.97333,0.97299,0.97255,0.97265,0.97333,0.97333,0.97333
13,7,0.97,0.9678,0.96944,0.96851,0.97,0.97,0.97
13,8,0.97083,0.97118,0.97017,0.97048,0.97083,0.97083,0.97083
13,9,0.975,0.97555,0.97524,0.97524,0.975,0.975,0.975
14,0,0.97,0.97,0.9701,0.96996,0.97,0.97,0.97
14,1,0.97167,0.9723,0.97169,0.97185,0.97167,0.97167,0.97167
14,2,0.9725,0.97304,0.97298,0.97292,0.9725,0.9725,0.9725
14,3,0.9675,0.96623,0.96794,0.9669,0.9675,0.9675,0.9675
14,4,0.9775,0.97716,0.97728,0.9772,0.9775,0.9775,0.9775
14,5,0.97083,0.97111,0.97073,0.97057,0.97083,0.97083,0.97083
14,6,0.97667,0.97658,0.97608,0.97626,0.97667,0.97667,0.97667
14,7,0.97167,0.96958,0.97161,0.97044,0.97167,0.97167,0.97167
14,8,0.97167,0.97198,0.971,0.97133,0.97167,0.97167,0.97167
14,9,0.97667,0.97722,0.97636,0.97664,0.97667,0.97667,0.97667
15,0,0.97167,0.97171,0.97197,0.97164,0.97167,0.97167,0.97167
15,1,0.97167,0.97238,0.97176,0.97188,0.97167,0.97167,0.97167
15,2,0.97417,0.97473,0.97467,0.97458,0.97417,0.97417,0.97417
15,3,0.96917,0.96819,0.96947,0.9687,0.96917,0.96917,0.96917
15,4,0.975,0.97404,0.97475,0.97434,0.975,0.975,0.975
15,5,0.97167,0.97191,0.97146,0.97137,0.97167,0.97167,0.97167
15,6,0.97667,0.97655,0.97614,0.97628,0.97667,0.97667,0.97667
15,7,0.97083,0.9687,0.97038,0.96941,0.97083,0.97083,0.97083
15,8,0.9725,0.97287,0.97182,0.97218,0.9725,0.9725,0.9725
15,9,0.97667,0.97712,0.97658,0.97666,0.97667,0.97667,0.97667
16,0,0.97333,0.97317,0.97385,0.97336,0.97333,0.97333,0.97333
16,1,0.97083,0.97137,0.97096,0.97103,0.97083,0.97083,0.97083
16,2,0.97417,0.97474,0.97466,0.97459,0.97417,0.97417,0.97417
16,3,0.9675,0.96657,0.96778,0.96694,0.9675,0.9675,0.9675
