round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.2973,0.3662,0.31255,0.225,0.2973,0.2973,0.2973
2,0.3954,0.45357,0.41171,0.29957,0.3954,0.3954,0.3954
3,0.6099,0.70997,0.61544,0.56369,0.6099,0.6099,0.6099
4,0.6957,0.71537,0.69763,0.65455,0.6957,0.6957,0.6957
5,0.7213,0.69999,0.72282,0.68379,0.7213,0.7213,0.7213
6,0.7728,0.79274,0.77218,0.73971,0.7728,0.7728,0.7728
7,0.7518,0.80563,0.75283,0.72398,0.7518,0.7518,0.7518
8,0.7886,0.82503,0.78789,0.75914,0.7886,0.7886,0.7886
9,0.7763,0.79698,0.77583,0.76137,0.7763,0.7763,0.7763
10,0.7708,0.83912,0.77122,0.74362,0.7708,0.7708,0.7708
11,0.8357,0.85004,0.83584,0.828,0.8357,0.8357,0.8357
12,0.8171,0.85596,0.81669,0.79929,0.8171,0.8171,0.8171
13,0.8609,0.87033,0.86048,0.8582,0.8609,0.8609,0.8609
14,0.8767,0.87573,0.87666,0.87515,0.8767,0.8767,0.8767
15,0.8655,0.87718,0.86498,0.86172,0.8655,0.8655,0.8655
16,0.8723,0.87526,0.87189,0.86959,0.8723,0.8723,0.8723
17,0.879,0.88023,0.87909,0.87712,0.879,0.879,0.879
18,0.8858,0.88977,0.88569,0.88429,0.8858,0.8858,0.8858
19,0.8955,0.89508,0.89522,0.89461,0.8955,0.8955,0.8955
20,0.8863,0.89331,0.88622,0.8848,0.8863,0.8863,0.8863
21,0.887,0.89606,0.8865,0.88567,0.887,0.887,0.887
22,0.8753,0.89141,0.87515,0.87197,0.8753,0.8753,0.8753
23,0.8866,0.89567,0.8866,0.88466,0.8866,0.8866,0.8866
24,0.8968,0.90178,0.89714,0.89607,0.8968,0.8968,0.8968
25,0.8976,0.90124,0.89824,0.89716,0.8976,0.8976,0.8976
26,0.8948,0.89934,0.89482,0.8931,0.8948,0.8948,0.8948
27,0.9035,0.90441,0.90358,0.9022,0.9035,0.9035,0.9035
28,0.9043,0.90745,0.90415,0.90353,0.9043,0.9043,0.9043
29,0.9047,0.90827,0.9047,0.90404,0.9047,0.9047,0.9047
30,0.9048,0.90901,0.90423,0.90384,0.9048,0.9048,0.9048
31,0.9095,0.91272,0.90948,0.90904,0.9095,0.9095,0.9095
32,0.9079,0.90994,0.90748,0.90688,0.9079,0.9079,0.9079
33,0.9055,0.90976,0.90531,0.90426,0.9055,0.9055,0.9055
34,0.912,0.91424,0.91183,0.91124,0.912,0.912,0.912
35,0.9141,0.91541,0.91376,0.91319,0.9141,0.9141,0.9141
36,0.9079,0.91281,0.90767,0.90689,0.9079,0.9079,0.9079
37,0.9136,0.91487,0.91331,0.91262,0.9136,0.9136,0.9136
38,0.9195,0.92117,0.9193,0.91911,0.9195,0.9195,0.9195
39,0.9182,0.91949,0.9177,0.91748,0.9182,0.9182,0.9182
40,0.9181,0.91937,0.91793,0.91731,0.9181,0.9181,0.9181
41,0.9195,0.92052,0.91942,0.9187,0.9195,0.9195,0.9195
42,0.919,0.91967,0.91927,0.91813,0.919,0.919,0.919
43,0.9136,0.91767,0.91349,0.91273,0.9136,0.9136,0.9136
44,0.9229,0.92385,0.92259,0.92222,0.9229,0.9229,0.9229
45,0.9199,0.92311,0.91959,0.91929,0.9199,0.9199,0.9199
46,0.9211,0.92226,0.92099,0.92032,0.9211,0.9211,0.9211
47,0.9239,0.92484,0.92392,0.92349,0.9239,0.9239,0.9239
48,0.9236,0.92603,0.9235,0.92338,0.9236,0.9236,0.9236
49,0.9283,0.92783,0.92836,0.92771,0.9283,0.9283,0.9283
50,0.9231,0.92341,0.92312,0.92225,0.9231,0.9231,0.9231
