round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.2922,0.34155,0.30749,0.22345,0.2922,0.2922,0.2922
1,1,0.2952,0.33273,0.31067,0.22292,0.2952,0.2952,0.2952
1,2,0.301,0.34849,0.31568,0.22936,0.301,0.301,0.301
1,3,0.3031,0.37238,0.31825,0.22804,0.3031,0.3031,0.3031
1,4,0.2983,0.36022,0.31365,0.22496,0.2983,0.2983,0.2983
1,5,0.2993,0.37265,0.31394,0.22781,0.2993,0.2993,0.2993
1,6,0.2926,0.32894,0.30777,0.22399,0.2926,0.2926,0.2926
1,7,0.3025,0.3761,0.31767,0.22906,0.3025,0.3025,0.3025
1,8,0.2984,0.35018,0.314,0.22275,0.2984,0.2984,0.2984
1,9,0.2953,0.33244,0.31044,0.22589,0.2953,0.2953,0.2953
2,0,0.3961,0.4632,0.41199,0.29998,0.3961,0.3961,0.3961
2,1,0.3955,0.45332,0.41183,0.29904,0.3955,0.3955,0.3955
2,2,0.3956,0.45691,0.41154,0.2994,0.3956,0.3956,0.3956
2,3,0.3967,0.45355,0.41326,0.30228,0.3967,0.3967,0.3967
2,4,0.3937,0.4533,0.40965,0.29539,0.3937,0.3937,0.3937
2,5,0.3932,0.45817,0.40954,0.29511,0.3932,0.3932,0.3932
2,6,0.3961,0.46743,0.41271,0.30094,0.3961,0.3961,0.3961
2,7,0.3942,0.5278,0.41132,0.30015,0.3942,0.3942,0.3942
2,8,0.3952,0.45267,0.41148,0.29942,0.3952,0.3952,0.3952
2,9,0.394,0.51908,0.41104,0.3029,0.394,0.394,0.394
3,0,0.6111,0.71308,0.61641,0.56656,0.6111,0.6111,0.6111
3,1,0.6105,0.71186,0.61636,0.56456,0.6105,0.6105,0.6105
3,2,0.6114,0.71165,0.61671,0.56517,0.6114,0.6114,0.6114
3,3,0.6084,0.70973,0.61427,0.56184,0.6084,0.6084,0.6084
3,4,0.6043,0.71416,0.61001,0.55934,0.6043,0.6043,0.6043
3,5,0.6088,0.71427,0.61512,0.56268,0.6088,0.6088,0.6088
3,6,0.6105,0.70685,0.61592,0.56355,0.6105,0.6105,0.6105
3,7,0.6101,0.70666,0.61571,0.56354,0.6101,0.6101,0.6101
3,8,0.6106,0.70788,0.61592,0.56315,0.6106,0.6106,0.6106
3,9,0.6091,0.71014,0.61498,0.56282,0.6091,0.6091,0.6091
4,0,0.6884,0.71771,0.69011,0.64816,0.6884,0.6884,0.6884
4,1,0.6977,0.72808,0.69977,0.65593,0.6977,0.6977,0.6977
4,2,0.6926,0.72054,0.69457,0.65164,0.6926,0.6926,0.6926
4,3,0.6983,0.72518,0.70002,0.65746,0.6983,0.6983,0.6983
