round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.9455,0.94503,0.94482,0.94482,0.9455,0.9455,0.9455
2,0.9608,0.96049,0.96035,0.96039,0.9608,0.9608,0.9608
3,0.9656,0.96542,0.96516,0.96524,0.9656,0.9656,0.9656
4,0.9688,0.96863,0.96844,0.96851,0.9688,0.9688,0.9688
5,0.9715,0.97138,0.97118,0.97126,0.9715,0.9715,0.9715
6,0.9726,0.97244,0.97226,0.97234,0.9726,0.9726,0.9726
7,0.9735,0.97341,0.97314,0.97326,0.9735,0.9735,0.9735
8,0.9748,0.97468,0.97449,0.97457,0.9748,0.9748,0.9748
9,0.9756,0.97552,0.97534,0.97542,0.9756,0.9756,0.9756
10,0.976,0.97592,0.97572,0.97581,0.976,0.976,0.976
11,0.9764,0.97634,0.97613,0.97622,0.9764,0.9764,0.9764
12,0.9766,0.97655,0.97635,0.97644,0.9766,0.9766,0.9766
13,0.9769,0.97684,0.97665,0.97673,0.9769,0.9769,0.9769
14,0.9771,0.97704,0.97687,0.97694,0.9771,0.9771,0.9771
15,0.9778,0.97775,0.97757,0.97765,0.9778,0.9778,0.9778
16,0.9778,0.97775,0.97757,0.97765,0.9778,0.9778,0.9778
17,0.9778,0.97776,0.97757,0.97765,0.9778,0.9778,0.9778
18,0.9781,0.97805,0.97788,0.97795,0.9781,0.9781,0.9781
19,0.9779,0.97784,0.97766,0.97774,0.9779,0.9779,0.9779
20,0.9785,0.9785,0.97828,0.97838,0.9785,0.9785,0.9785
21,0.9783,0.97829,0.97808,0.97817,0.9783,0.9783,0.9783
22,0.9785,0.97846,0.97827,0.97836,0.9785,0.9785,0.9785
23,0.9786,0.97857,0.97839,0.97847,0.9786,0.9786,0.9786
24,0.9789,0.97889,0.97868,0.97878,0.9789,0.9789,0.9789
25,0.9791,0.9791,0.97889,0.97898,0.9791,0.9791,0.9791
26,0.979,0.979,0.97878,0.97888,0.979,0.979,0.979
27,0.9793,0.97929,0.97909,0.97918,0.9793,0.9793,0.9793
28,0.9794,0.9794,0.9792,0.97929,0.9794,0.9794,0.9794
29,0.9788,0.97877,0.97857,0.97866,0.9788,0.9788,0.9788
30,0.979,0.97897,0.97879,0.97887,0.979,0.979,0.979
31,0.9793,0.97929,0.97908,0.97917,0.9793,0.9793,0.9793
32,0.9795,0.97951,0.97929,0.97939,0.9795,0.9795,0.9795
33,0.9793,0.9793,0.9791,0.97919,0.9793,0.9793,0.9793
34,0.9793,0.97931,0.9791,0.9792,0.9793,0.9793,0.9793
35,0.9792,0.97921,0.979,0.97909,0.9792,0.9792,0.9792
36,0.9799,0.97992,0.97971,0.9798,0.9799,0.9799,0.9799
37,0.9796,0.97961,0.9794,0.97949,0.9796,0.9796,0.9796
38,0.9793,0.97931,0.97911,0.9792,0.9793,0.9793,0.9793
39,0.9794,0.9794,0.9792,0.97929,0.9794,0.9794,0.9794
40,0.9793,0.97931,0.97909,0.97919,0.9793,0.9793,0.9793
41,0.9793,0.9793,0.97911,0.97919,0.9793,0.9793,0.9793
42,0.9796,0.9796,0.97939,0.97948,0.9796,0.9796,0.9796
43,0.9797,0.9797,0.97949,0.97958,0.9797,0.9797,0.9797
44,0.9798,0.97981,0.9796,0.97969,0.9798,0.9798,0.9798
45,0.9795,0.97949,0.9793,0.97938,0.9795,0.9795,0.9795
46,0.9791,0.97909,0.97888,0.97898,0.9791,0.9791,0.9791
47,0.9794,0.9794,0.9792,0.97929,0.9794,0.9794,0.9794
48,0.9795,0.97951,0.97929,0.97939,0.9795,0.9795,0.9795
49,0.9793,0.97931,0.97909,0.97919,0.9793,0.9793,0.9793
50,0.9791,0.97911,0.97889,0.97899,0.9791,0.9791,0.9791
