round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.9364,0.93602,0.93585,0.9358,0.9364,0.9364,0.9364
1,1,0.9365,0.9357,0.93607,0.93578,0.9365,0.9365,0.9365
1,2,0.9359,0.93551,0.93483,0.93505,0.9359,0.9359,0.9359
1,3,0.9374,0.93717,0.93653,0.93662,0.9374,0.9374,0.9374
1,4,0.939,0.93841,0.93822,0.93818,0.939,0.939,0.939
1,5,0.9385,0.93782,0.93774,0.93771,0.9385,0.9385,0.9385
1,6,0.9336,0.93305,0.93297,0.93287,0.9336,0.9336,0.9336
1,7,0.9377,0.93705,0.93703,0.93691,0.9377,0.9377,0.9377
1,8,0.9343,0.93346,0.93371,0.93347,0.9343,0.9343,0.9343
1,9,0.936,0.93558,0.93484,0.93505,0.936,0.936,0.936
2,0,0.9533,0.95302,0.95276,0.95282,0.9533,0.9533,0.9533
2,1,0.9559,0.95565,0.95548,0.95546,0.9559,0.9559,0.9559
2,2,0.9536,0.9532,0.95275,0.95293,0.9536,0.9536,0.9536
2,3,0.9509,0.95047,0.95042,0.95038,0.9509,0.9509,0.9509
2,4,0.9534,0.95315,0.95267,0.95281,0.9534,0.9534,0.9534
2,5,0.9521,0.95182,0.95145,0.95157,0.9521,0.9521,0.9521
2,6,0.9494,0.94888,0.94884,0.94877,0.9494,0.9494,0.9494
2,7,0.9532,0.95282,0.95263,0.95267,0.9532,0.9532,0.9532
2,8,0.9515,0.95119,0.95085,0.95091,0.9515,0.9515,0.9515
2,9,0.9525,0.95211,0.95191,0.95195,0.9525,0.9525,0.9525
3,0,0.9603,0.96004,0.95985,0.95989,0.9603,0.9603,0.9603
3,1,0.9622,0.96188,0.96185,0.96181,0.9622,0.9622,0.9622
3,2,0.9604,0.96014,0.95971,0.95988,0.9604,0.9604,0.9604
3,3,0.9586,0.95828,0.95812,0.95814,0.9586,0.9586,0.9586
3,4,0.96,0.95965,0.9594,0.95946,0.96,0.96,0.96
3,5,0.9598,0.95948,0.9592,0.95929,0.9598,0.9598,0.9598
3,6,0.9575,0.95714,0.95697,0.957,0.9575,0.9575,0.9575
3,7,0.9588,0.95832,0.95837,0.95831,0.9588,0.9588,0.9588
3,8,0.9612,0.96089,0.96062,0.96069,0.9612,0.9612,0.9612
3,9,0.9595,0.95922,0.95893,0.95902,0.9595,0.9595,0.9595
4,0,0.9635,0.96326,0.96312,0.96315,0.9635,0.9635,0.9635
4,1,0.9669,0.96661,0.96661,0.96656,0.9669,0.9669,0.9669
4,2,0.9632,0.96291,0.96266,0.96276,0.9632,0.9632,0.9632
