round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.94,0.94121,0.93923,0.93953,0.94,0.94,0.94
1,1,0.92833,0.92818,0.92824,0.928,0.92833,0.92833,0.92833
1,2,0.92833,0.92872,0.92947,0.92893,0.92833,0.92833,0.92833
1,3,0.93167,0.93156,0.93083,0.93098,0.93167,0.93167,0.93167
1,4,0.9275,0.9267,0.92621,0.92596,0.9275,0.9275,0.9275
1,5,0.93583,0.93554,0.93666,0.93502,0.93583,0.93583,0.93583
1,6,0.93667,0.93625,0.93562,0.93557,0.93667,0.93667,0.93667
1,7,0.93833,0.93569,0.93702,0.93607,0.93833,0.93833,0.93833
1,8,0.93,0.92958,0.92931,0.92932,0.93,0.93,0.93
1,9,0.93583,0.93437,0.93372,0.93382,0.93583,0.93583,0.93583
2,0,0.95583,0.95575,0.95594,0.95572,0.95583,0.95583,0.95583
2,1,0.95083,0.95052,0.95123,0.95053,0.95083,0.95083,0.95083
2,2,0.955,0.95555,0.95621,0.95574,0.955,0.955,0.955
2,3,0.95333,0.95233,0.95272,0.95238,0.95333,0.95333,0.95333
2,4,0.9475,0.94736,0.94704,0.94668,0.9475,0.9475,0.9475
2,5,0.9525,0.95294,0.95239,0.95208,0.9525,0.9525,0.9525
2,6,0.95,0.94945,0.94884,0.94896,0.95,0.95,0.95
2,7,0.95167,0.94907,0.95072,0.94967,0.95167,0.95167,0.95167
2,8,0.94833,0.94863,0.94778,0.94798,0.94833,0.94833,0.94833
2,9,0.95,0.94865,0.94805,0.94813,0.95,0.95,0.95
3,0,0.96333,0.96329,0.96334,0.96315,0.96333,0.96333,0.96333
3,1,0.95917,0.95891,0.95944,0.95898,0.95917,0.95917,0.95917
3,2,0.95917,0.95954,0.95997,0.9596,0.95917,0.95917,0.95917
3,3,0.96,0.95971,0.95912,0.95929,0.96,0.96,0.96
3,4,0.955,0.95518,0.95418,0.95418,0.955,0.955,0.955
3,5,0.96167,0.96207,0.96172,0.96137,0.96167,0.96167,0.96167
3,6,0.96,0.95969,0.95902,0.95922,0.96,0.96,0.96
3,7,0.95917,0.95771,0.95894,0.95802,0.95917,0.95917,0.95917
3,8,0.96,0.96064,0.95919,0.95965,0.96,0.96,0.96
3,9,0.95833,0.95792,0.95673,0.95715,0.95833,0.95833,0.95833
4,0,0.96417,0.96421,0.96433,0.96414,0.96417,0.96417,0.96417
4,1,0.9625,0.96279,0.96269,0.96259,0.9625,0.9625,0.9625
4,2,0.965,0.96571,0.96562,0.96556,0.965,0.965,0.965
4,3,0.96667,0.96656,0.96594,0.96608,0.96667,0.96667,0.96667
4,4,0.96,0.96011,0.9592,0.95924,0.96,0.96,0.96
4,5,0.96417,0.96468,0.96445,0.96402,0.96417,0.96417,0.96417
4,6,0.96417,0.96418,0.96333,0.96362,0.96417,0.96417,0.96417
4,7,0.96333,0.96176,0.96358,0.96247,0.96333,0.96333,0.96333
4,8,0.96333,0.96388,0.96243,0.96289,0.96333,0.96333,0.96333
4,9,0.96167,0.96201,0.96045,0.96114,0.96167,0.96167,0.96167
5,0,0.96833,0.96823,0.96842,0.96822,0.96833,0.96833,0.96833
5,1,0.96583,0.96638,0.96598,0.96602,0.96583,0.96583,0.96583
5,2,0.96417,0.96478,0.96453,0.96455,0.96417,0.96417,0.96417
5,3,0.96583,0.96548,0.9651,0.96517,0.96583,0.96583,0.96583
5,4,0.96667,0.96662,0.96604,0.96609,0.96667,0.96667,0.96667
5,5,0.96833,0.9689,0.96864,0.96833,0.96833,0.96833,0.96833
5,6,0.96333,0.9634,0.9622,0.9626,0.96333,0.96333,0.96333
5,7,0.9675,0.96562,0.96777,0.96653,0.9675,0.9675,0.9675
5,8,0.96333,0.96369,0.96252,0.96289,0.96333,0.96333,0.96333
5,9,0.96333,0.96465,0.96208,0.96322,0.96333,0.96333,0.96333
6,0,0.97167,0.97123,0.9718,0.9714,0.97167,0.97167,0.97167
6,1,0.96917,0.96976,0.96914,0.96932,0.96917,0.96917,0.96917
6,2,0.96833,0.96872,0.9688,0.96871,0.96833,0.96833,0.96833
6,3,0.9675,0.96717,0.96655,0.96678,0.9675,0.9675,0.9675
6,4,0.96833,0.968,0.96755,0.9675,0.96833,0.96833,0.96833
6,5,0.9675,0.96774,0.96757,0.96729,0.9675,0.9675,0.9675
6,6,0.97,0.97008,0.96917,0.96944,0.97,0.97,0.97
6,7,0.96583,0.96374,0.96608,0.9647,0.96583,0.96583,0.96583
6,8,0.965,0.96537,0.96449,0.96469,0.965,0.965,0.965
6,9,0.96167,0.96269,0.96036,0.96138,0.96167,0.96167,0.96167
7,0,0.97333,0.97309,0.9734,0.97315,0.97333,0.97333,0.97333
7,1,0.96917,0.96967,0.96916,0.96926,0.96917,0.96917,0.96917
7,2,0.96833,0.96884,0.96873,0.96873,0.96833,0.96833,0.96833
7,3,0.9675,0.96748,0.96687,0.96696,0.9675,0.9675,0.9675
7,4,0.96833,0.96799,0.96756,0.96754,0.96833,0.96833,0.96833
7,5,0.9675,0.96802,0.96786,0.96751,0.9675,0.9675,0.9675
7,6,0.97083,0.97105,0.96994,0.97029,0.97083,0.97083,0.97083
7,7,0.9675,0.96553,0.96777,0.96648,0.9675,0.9675,0.9675
7,8,0.97083,0.97111,0.97045,0.97061,0.97083,0.97083,0.97083
7,9,0.9625,0.96362,0.96142,0.96238,0.9625,0.9625,0.9625
8,0,0.9725,0.97213,0.97273,0.97234,0.9725,0.9725,0.9725
8,1,0.97,0.97043,0.96987,0.97003,0.97,0.97,0.97
8,2,0.96833,0.96875,0.96865,0.96864,0.96833,0.96833,0.96833
8,3,0.9675,0.96738,0.96656,0.96683,0.9675,0.9675,0.9675
8,4,0.96917,0.96861,0.96814,0.96819,0.96917,0.96917,0.96917
8,5,0.96667,0.96693,0.96675,0.96651,0.96667,0.96667,0.96667
8,6,0.97083,0.97096,0.96995,0.97021,0.97083,0.97083,0.97083
8,7,0.97167,0.96987,0.97171,0.97065,0.97167,0.97167,0.97167
8,8,0.97083,0.97099,0.97054,0.97061,0.97083,0.97083,0.97083
8,9,0.96417,0.96529,0.96361,0.96436,0.96417,0.96417,0.96417
9,0,0.97417,0.97393,0.97455,0.97414,0.97417,0.97417,0.97417
9,1,0.96833,0.96876,0.96828,0.96838,0.96833,0.96833,0.96833
9,2,0.97,0.97037,0.97019,0.97019,0.97,0.97,0.97
9,3,0.96833,0.96842,0.96735,0.96775,0.96833,0.96833,0.96833
9,4,0.97333,0.97311,0.9728,0.97273,0.97333,0.97333,0.97333
9,5,0.96583,0.96632,0.96593,0.96572,0.96583,0.96583,0.96583
9,6,0.97,0.97016,0.96912,0.96946,0.97,0.97,0.97
9,7,0.97083,0.96906,0.97101,0.96989,0.97083,0.97083,0.97083
9,8,0.9725,0.97266,0.97214,0.97223,0.9725,0.9725,0.9725
9,9,0.965,0.96597,0.9644,0.96511,0.965,0.965,0.965
10,0,0.97333,0.97302,0.97347,0.97315,0.97333,0.97333,0.97333
10,1,0.97,0.97053,0.96987,0.97006,0.97,0.97,0.97
10,2,0.97,0.9703,0.97021,0.97013,0.97,0.97,0.97
10,3,0.96583,0.96582,0.96506,0.96528,0.96583,0.96583,0.96583
10,4,0.97333,0.97316,0.97269,0.97271,0.97333,0.97333,0.97333
10,5,0.96583,0.96632,0.96593,0.96572,0.96583,0.96583,0.96583
10,6,0.9725,0.97259,0.97159,0.9719,0.9725,0.9725,0.9725
10,7,0.9725,0.97073,0.97264,0.97155,0.9725,0.9725,0.9725
10,8,0.9725,0.97257,0.972,0.97215,0.9725,0.9725,0.9725
10,9,0.9675,0.96757,0.96702,0.9672,0.9675,0.9675,0.9675
11,0,0.97417,0.97397,0.9745,0.97415,0.97417,0.97417,0.97417
11,1,0.96917,0.9698,0.96912,0.96929,0.96917,0.96917,0.96917
11,2,0.96833,0.96883,0.96873,0.9687,0.96833,0.96833,0.96833
11,3,0.9675,0.96704,0.96652,0.96663,0.9675,0.9675,0.9675
11,4,0.97417,0.97389,0.97371,0.9736,0.97417,0.97417,0.97417
11,5,0.96583,0.96626,0.96593,0.96567,0.96583,0.96583,0.96583
11,6,0.9725,0.97271,0.9715,0.97189,0.9725,0.9725,0.9725
11,7,0.97333,0.97199,0.97328,0.9725,0.97333,0.97333,0.97333
11,8,0.97167,0.97182,0.97131,0.9714,0.97167,0.97167,0.97167
11,9,0.96417,0.96469,0.96358,0.96406,0.96417,0.96417,0.96417
12,0,0.97417,0.97397,0.9745,0.97415,0.97417,0.97417,0.97417
12,1,0.96917,0.96992,0.96907,0.96938,0.96917,0.96917,0.96917
12,2,0.97,0.9703,0.97021,0.97015,0.97,0.97,0.97
12,3,0.96917,0.96873,0.96861,0.96849,0.96917,0.96917,0.96917
12,4,0.97333,0.97292,0.9728,0.97268,0.97333,0.97333,0.97333
12,5,0.96583,0.96632,0.96593,0.96572,0.96583,0.96583,0.96583
12,6,0.9725,0.97279,0.97158,0.97197,0.9725,0.9725,0.9725
12,7,0.97583,0.97424,0.97574,0.97487,0.97583,0.97583,0.97583
