round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.09833,0.05905,0.0955,0.04503,0.09833,0.09833,0.09833
1,1,0.1075,0.10745,0.10439,0.04917,0.1075,0.1075,0.1075
1,2,0.0775,0.08378,0.08248,0.03542,0.0775,0.0775,0.0775
1,3,0.07917,0.02587,0.08782,0.03469,0.07917,0.07917,0.07917
1,4,0.09583,0.04994,0.0944,0.04128,0.09583,0.09583,0.09583
1,5,0.10083,0.02655,0.09163,0.03864,0.10083,0.10083,0.10083
1,6,0.08583,0.07114,0.08453,0.03356,0.08583,0.08583,0.08583
1,7,0.09,0.19162,0.08795,0.0387,0.09,0.09,0.09
1,8,0.08667,0.07022,0.09222,0.04079,0.08667,0.08667,0.08667
1,9,0.07917,0.11425,0.09692,0.03843,0.07917,0.07917,0.07917
2,0,0.94583,0.94667,0.94631,0.94589,0.94583,0.94583,0.94583
2,1,0.94083,0.94147,0.94098,0.94107,0.94083,0.94083,0.94083
2,2,0.9425,0.94302,0.94347,0.94319,0.9425,0.9425,0.9425
2,3,0.945,0.94416,0.94429,0.94385,0.945,0.945,0.945
2,4,0.93833,0.93746,0.93746,0.93715,0.93833,0.93833,0.93833
2,5,0.94583,0.94607,0.94504,0.94513,0.94583,0.94583,0.94583
2,6,0.94083,0.94007,0.93947,0.93927,0.94083,0.94083,0.94083
2,7,0.95083,0.94768,0.94974,0.94838,0.95083,0.95083,0.95083
2,8,0.9425,0.9424,0.94179,0.94177,0.9425,0.9425,0.9425
2,9,0.94917,0.94932,0.94677,0.94764,0.94917,0.94917,0.94917
3,0,0.96333,0.96379,0.9638,0.96368,0.96333,0.96333,0.96333
3,1,0.95833,0.95879,0.9583,0.95841,0.95833,0.95833,0.95833
3,2,0.95917,0.95924,0.95992,0.95948,0.95917,0.95917,0.95917
3,3,0.95,0.94914,0.94956,0.94909,0.95,0.95,0.95
3,4,0.95833,0.95755,0.95802,0.95764,0.95833,0.95833,0.95833
3,5,0.96333,0.96368,0.96305,0.96305,0.96333,0.96333,0.96333
3,6,0.95917,0.95861,0.95812,0.95812,0.95917,0.95917,0.95917
3,7,0.96167,0.95918,0.96044,0.95965,0.96167,0.96167,0.96167
3,8,0.96167,0.96196,0.96081,0.96121,0.96167,0.96167,0.96167
3,9,0.96167,0.96129,0.96009,0.96059,0.96167,0.96167,0.96167
4,0,0.96667,0.96681,0.96705,0.96684,0.96667,0.96667,0.96667
4,1,0.96667,0.96725,0.96679,0.96688,0.96667,0.96667,0.96667
4,2,0.96667,0.96704,0.96725,0.96708,0.96667,0.96667,0.96667
4,3,0.95917,0.95849,0.95876,0.95839,0.95917,0.95917,0.95917
4,4,0.96917,0.96819,0.96887,0.96846,0.96917,0.96917,0.96917
4,5,0.96833,0.96842,0.96861,0.96816,0.96833,0.96833,0.96833
4,6,0.965,0.96456,0.96406,0.96414,0.965,0.965,0.965
4,7,0.96667,0.9651,0.96576,0.96532,0.96667,0.96667,0.96667
4,8,0.96833,0.96867,0.96763,0.96796,0.96833,0.96833,0.96833
4,9,0.97083,0.971,0.96994,0.97034,0.97083,0.97083,0.97083
5,0,0.96833,0.9684,0.96869,0.96846,0.96833,0.96833,0.96833
5,1,0.96917,0.96978,0.96934,0.96938,0.96917,0.96917,0.96917
5,2,0.97,0.97047,0.97039,0.97037,0.97,0.97,0.97
5,3,0.96333,0.96239,0.96319,0.96257,0.96333,0.96333,0.96333
5,4,0.97167,0.97095,0.97142,0.97114,0.97167,0.97167,0.97167
5,5,0.97,0.97013,0.97018,0.96975,0.97,0.97,0.97
5,6,0.96833,0.96799,0.96742,0.96754,0.96833,0.96833,0.96833
5,7,0.97,0.96789,0.96974,0.96864,0.97,0.97,0.97
5,8,0.97333,0.97365,0.97255,0.97292,0.97333,0.97333,0.97333
5,9,0.975,0.97607,0.97477,0.97531,0.975,0.975,0.975
6,0,0.96917,0.9692,0.96946,0.96923,0.96917,0.96917,0.96917
6,1,0.97083,0.9713,0.97086,0.97094,0.97083,0.97083,0.97083
6,2,0.97333,0.97378,0.97372,0.97368,0.97333,0.97333,0.97333
6,3,0.96667,0.96596,0.96651,0.96609,0.96667,0.96667,0.96667
6,4,0.9725,0.97185,0.97246,0.97208,0.9725,0.9725,0.9725
6,5,0.9725,0.97247,0.97259,0.97221,0.9725,0.9725,0.9725
6,6,0.97417,0.97405,0.97314,0.97344,0.97417,0.97417,0.97417
6,7,0.97083,0.96876,0.97068,0.96955,0.97083,0.97083,0.97083
6,8,0.97333,0.97367,0.97254,0.97291,0.97333,0.97333,0.97333
6,9,0.97583,0.97678,0.9757,0.9761,0.97583,0.97583,0.97583
7,0,0.96917,0.96935,0.96946,0.96927,0.96917,0.96917,0.96917
7,1,0.97,0.97053,0.97004,0.97014,0.97,0.97,0.97
7,2,0.9725,0.97293,0.97307,0.97291,0.9725,0.9725,0.9725
7,3,0.96833,0.96744,0.96833,0.96771,0.96833,0.96833,0.96833
7,4,0.97417,0.9733,0.97396,0.97353,0.97417,0.97417,0.97417
7,5,0.97167,0.97173,0.97146,0.97123,0.97167,0.97167,0.97167
7,6,0.97583,0.97578,0.97491,0.97522,0.97583,0.97583,0.97583
7,7,0.97,0.96792,0.96984,0.96871,0.97,0.97,0.97
7,8,0.97417,0.97453,0.97345,0.97379,0.97417,0.97417,0.97417
7,9,0.97583,0.97667,0.97599,0.97619,0.97583,0.97583,0.97583
8,0,0.97,0.97006,0.97023,0.96997,0.97,0.97,0.97
8,1,0.97,0.97049,0.97004,0.9701,0.97,0.97,0.97
8,2,0.9725,0.97285,0.97307,0.97289,0.9725,0.9725,0.9725
8,3,0.96833,0.96776,0.96839,0.96789,0.96833,0.96833,0.96833
8,4,0.97417,0.9733,0.97396,0.97353,0.97417,0.97417,0.97417
8,5,0.9725,0.97256,0.97219,0.97209,0.9725,0.9725,0.9725
8,6,0.97833,0.97829,0.97751,0.97779,0.97833,0.97833,0.97833
8,7,0.97167,0.96973,0.97155,0.97048,0.97167,0.97167,0.97167
8,8,0.97417,0.97453,0.97345,0.97379,0.97417,0.97417,0.97417
8,9,0.9775,0.97813,0.9777,0.97778,0.9775,0.9775,0.9775
9,0,0.9725,0.97263,0.9728,0.9726,0.9725,0.9725,0.9725
9,1,0.97083,0.97148,0.97094,0.97104,0.97083,0.97083,0.97083
9,2,0.97417,0.97469,0.97461,0.97457,0.97417,0.97417,0.97417
9,3,0.97,0.96922,0.96985,0.96936,0.97,0.97,0.97
9,4,0.975,0.97426,0.97479,0.97444,0.975,0.975,0.975
9,5,0.9725,0.97242,0.97205,0.97201,0.9725,0.9725,0.9725
9,6,0.97917,0.97913,0.97841,0.97866,0.97917,0.97917,0.97917
9,7,0.9725,0.97062,0.97239,0.97134,0.9725,0.9725,0.9725
9,8,0.97417,0.97453,0.97345,0.97379,0.97417,0.97417,0.97417
9,9,0.97833,0.97904,0.97853,0.97865,0.97833,0.97833,0.97833
10,0,0.97333,0.97334,0.97381,0.97348,0.97333,0.97333,0.97333
10,1,0.97083,0.97148,0.97094,0.97104,0.97083,0.97083,0.97083
10,2,0.97417,0.97469,0.97461,0.97457,0.97417,0.97417,0.97417
10,3,0.96917,0.96824,0.96943,0.96867,0.96917,0.96917,0.96917
10,4,0.97583,0.97513,0.97563,0.97532,0.97583,0.97583,0.97583
10,5,0.97333,0.9732,0.97328,0.97301,0.97333,0.97333,0.97333
10,6,0.97833,0.9784,0.97759,0.97786,0.97833,0.97833,0.97833
10,7,0.9725,0.97045,0.97224,0.97118,0.9725,0.9725,0.9725
10,8,0.97417,0.97453,0.97345,0.97379,0.97417,0.97417,0.97417
10,9,0.97917,0.97983,0.97922,0.97937,0.97917,0.97917,0.97917
11,0,0.97333,0.97334,0.97381,0.97348,0.97333,0.97333,0.97333
11,1,0.97083,0.97158,0.97103,0.97112,0.97083,0.97083,0.97083
11,2,0.97417,0.97464,0.97469,0.97458,0.97417,0.97417,0.97417
11,3,0.97083,0.96983,0.97089,0.97015,0.97083,0.97083,0.97083
11,4,0.97917,0.9787,0.97878,0.97869,0.97917,0.97917,0.97917
11,5,0.97333,0.97321,0.97319,0.97302,0.97333,0.97333,0.97333
11,6,0.97833,0.97828,0.97773,0.9779,0.97833,0.97833,0.97833
11,7,0.9725,0.97043,0.97233,0.97123,0.9725,0.9725,0.9725
11,8,0.97333,0.97379,0.97258,0.97295,0.97333,0.97333,0.97333
11,9,0.9775,0.97823,0.97741,0.97762,0.9775,0.9775,0.9775
12,0,0.97333,0.97339,0.97381,0.97352,0.97333,0.97333,0.97333
12,1,0.9725,0.9732,0.97257,0.9727,0.9725,0.9725,0.9725
12,2,0.97583,0.97644,0.9763,0.9763,0.97583,0.97583,0.97583
12,3,0.97083,0.96983,0.97089,0.97018,0.97083,0.97083,0.97083
12,4,0.98083,0.98025,0.98054,0.98035,0.98083,0.98083,0.98083
12,5,0.97333,0.97321,0.97319,0.97302,0.97333,0.97333,0.97333
12,6,0.9775,0.9776,0.97685,0.97709,0.9775,0.9775,0.9775
12,7,0.9725,0.97009,0.97233,0.971,0.9725,0.9725,0.9725
12,8,0.975,0.97557,0.97423,0.97467,0.975,0.975,0.975
12,9,0.97833,0.97896,0.97834,0.97847,0.97833,0.97833,0.97833
13,0,0.9725,0.97246,0.97298,0.9726,0.9725,0.9725,0.9725
13,1,0.97333,0.97399,0.97342,0.97356,0.97333,0.97333,0.97333
13,2,0.975,0.97551,0.97536,0.97535,0.975,0.975,0.975
13,3,0.97167,0.97084,0.97174,0.97112,0.97167,0.97167,0.97167
13,4,0.98333,0.98309,0.98313,0.98307,0.98333,0.98333,0.98333
13,5,0.97333,0.97321,0.97319,0.97302,0.97333,0.97333,0.97333
13,6,0.9775,0.9775,0.97685,0.97706,0.9775,0.9775,0.9775
13,7,0.97333,0.97098,0.97317,0.97186,0.97333,0.97333,0.97333
13,8,0.97583,0.97652,0.97515,0.97562,0.97583,0.97583,0.97583
13,9,0.9775,0.97813,0.97704,0.97738,0.9775,0.9775,0.9775
14,0,0.97417,0.97407,0.97465,0.97424,0.97417,0.97417,0.97417
14,1,0.97333,0.97399,0.97342,0.97356,0.97333,0.97333,0.97333
14,2,0.97667,0.97717,0.97701,0.97697,0.97667,0.97667,0.97667
14,3,0.97167,0.97084,0.97174,0.97112,0.97167,0.97167,0.97167
14,4,0.985,0.98463,0.98466,0.98461,0.985,0.985,0.985
14,5,0.97333,0.97321,0.97319,0.97302,0.97333,0.97333,0.97333
14,6,0.98,0.97998,0.9793,0.97954,0.98,0.98,0.98
14,7,0.97417,0.97183,0.97401,0.9727,0.97417,0.97417,0.97417
14,8,0.97667,0.97734,0.97603,0.9765,0.97667,0.97667,0.97667
14,9,0.97917,0.9797,0.97872,0.97903,0.97917,0.97917,0.97917
15,0,0.97333,0.97339,0.97381,0.97352,0.97333,0.97333,0.97333
15,1,0.97417,0.97496,0.97419,0.97441,0.97417,0.97417,0.97417
15,2,0.9775,0.97789,0.97792,0.9778,0.9775,0.9775,0.9775
15,3,0.97167,0.97037,0.97173,0.97089,0.97167,0.97167,0.97167
15,4,0.98417,0.98376,0.98385,0.98377,0.98417,0.98417,0.98417
15,5,0.97333,0.97321,0.97319,0.97302,0.97333,0.97333,0.97333
15,6,0.97917,0.97914,0.97848,0.97871,0.97917,0.97917,0.97917
15,7,0.97417,0.97183,0.97401,0.9727,0.97417,0.97417,0.97417
15,8,0.97667,0.97734,0.97603,0.9765,0.97667,0.97667,0.97667
15,9,0.97917,0.97935,0.9789,0.97894,0.97917,0.97917,0.97917
16,0,0.97417,0.97421,0.97461,0.97434,0.97417,0.97417,0.97417
16,1,0.97417,0.97485,0.97419,0.97437,0.97417,0.97417,0.97417
16,2,0.97583,0.97636,0.97615,0.97615,0.97583,0.97583,0.97583
