round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.3681,0.34895,0.38173,0.27779,0.3681,0.3681,0.3681
2,0.5331,0.62241,0.54439,0.47168,0.5331,0.5331,0.5331
3,0.6724,0.66686,0.67583,0.62892,0.6724,0.6724,0.6724
4,0.7257,0.78569,0.72805,0.68998,0.7257,0.7257,0.7257
5,0.77,0.80733,0.77082,0.74151,0.77,0.77,0.77
6,0.7982,0.83029,0.79843,0.77836,0.7982,0.7982,0.7982
7,0.8252,0.84374,0.82537,0.81658,0.8252,0.8252,0.8252
8,0.8428,0.8548,0.84275,0.83705,0.8428,0.8428,0.8428
9,0.8576,0.86545,0.85754,0.8542,0.8576,0.8576,0.8576
10,0.8684,0.87458,0.86845,0.86611,0.8684,0.8684,0.8684
11,0.8762,0.88053,0.87629,0.87453,0.8762,0.8762,0.8762
12,0.8837,0.88588,0.88394,0.88249,0.8837,0.8837,0.8837
13,0.8894,0.89088,0.8896,0.88828,0.8894,0.8894,0.8894
14,0.8932,0.89453,0.89338,0.89214,0.8932,0.8932,0.8932
15,0.8962,0.89795,0.89625,0.89521,0.8962,0.8962,0.8962
16,0.8994,0.9006,0.89943,0.89844,0.8994,0.8994,0.8994
17,0.899,0.90013,0.89907,0.89801,0.899,0.899,0.899
18,0.9023,0.90338,0.90235,0.90138,0.9023,0.9023,0.9023
19,0.9043,0.90519,0.90431,0.9034,0.9043,0.9043,0.9043
20,0.906,0.90675,0.90602,0.90509,0.906,0.906,0.906
21,0.9075,0.90862,0.90742,0.9067,0.9075,0.9075,0.9075
22,0.9087,0.90952,0.90872,0.90783,0.9087,0.9087,0.9087
23,0.9094,0.91045,0.9093,0.90847,0.9094,0.9094,0.9094
24,0.9117,0.91235,0.9116,0.91077,0.9117,0.9117,0.9117
25,0.9112,0.91174,0.91111,0.9103,0.9112,0.9112,0.9112
26,0.9112,0.91195,0.91109,0.91026,0.9112,0.9112,0.9112
27,0.9136,0.91452,0.91349,0.91283,0.9136,0.9136,0.9136
28,0.9156,0.91628,0.91547,0.91479,0.9156,0.9156,0.9156
29,0.9161,0.91723,0.91594,0.91533,0.9161,0.9161,0.9161
30,0.9166,0.91701,0.91656,0.91571,0.9166,0.9166,0.9166
31,0.9173,0.918,0.91718,0.91649,0.9173,0.9173,0.9173
32,0.9194,0.92072,0.91927,0.91881,0.9194,0.9194,0.9194
33,0.9208,0.92149,0.92066,0.9201,0.9208,0.9208,0.9208
34,0.922,0.92277,0.92181,0.9213,0.922,0.922,0.922
35,0.921,0.9218,0.92093,0.92031,0.921,0.921,0.921
36,0.9231,0.92358,0.92296,0.92235,0.9231,0.9231,0.9231
37,0.9254,0.926,0.92521,0.92471,0.9254,0.9254,0.9254
38,0.9262,0.92671,0.92612,0.92552,0.9262,0.9262,0.9262
39,0.9267,0.92706,0.92659,0.92597,0.9267,0.9267,0.9267
40,0.9263,0.9269,0.92614,0.92558,0.9263,0.9263,0.9263
41,0.9295,0.93004,0.92938,0.92889,0.9295,0.9295,0.9295
42,0.9294,0.92971,0.9293,0.92874,0.9294,0.9294,0.9294
43,0.9305,0.93094,0.93034,0.92989,0.9305,0.9305,0.9305
44,0.9302,0.9307,0.92999,0.92956,0.9302,0.9302,0.9302
45,0.9312,0.93193,0.93115,0.93069,0.9312,0.9312,0.9312
46,0.9301,0.93098,0.92994,0.92949,0.9301,0.9301,0.9301
47,0.9319,0.93247,0.93187,0.93135,0.9319,0.9319,0.9319
48,0.9311,0.93165,0.93104,0.93052,0.9311,0.9311,0.9311
49,0.9332,0.93336,0.93303,0.93261,0.9332,0.9332,0.9332
50,0.9336,0.93402,0.93351,0.93313,0.9336,0.9336,0.9336
