round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.1816,0.03633,0.1948,0.06124,0.1816,0.1816,0.1816
1,1,0.2113,0.04245,0.1998,0.0699,0.2113,0.2113,0.2113
1,2,0.288,0.1094,0.29154,0.15051,0.288,0.288,0.288
1,3,0.1903,0.04264,0.19614,0.06892,0.1903,0.1903,0.1903
1,4,0.1972,0.04339,0.19855,0.07034,0.1972,0.1972,0.1972
1,5,0.2225,0.14119,0.22347,0.1167,0.2225,0.2225,0.2225
1,6,0.2853,0.12002,0.29443,0.15882,0.2853,0.2853,0.2853
1,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
1,8,0.1956,0.04516,0.19877,0.07218,0.1956,0.1956,0.1956
1,9,0.1026,0.02278,0.1133,0.0331,0.1026,0.1026,0.1026
2,0,0.184,0.03753,0.19722,0.06293,0.184,0.184,0.184
2,1,0.2113,0.04235,0.1998,0.0698,0.2113,0.2113,0.2113
2,2,0.2876,0.11556,0.29113,0.1539,0.2876,0.2876,0.2876
2,3,0.1914,0.14522,0.19728,0.07279,0.1914,0.1914,0.1914
2,4,0.1969,0.04496,0.19824,0.072,0.1969,0.1969,0.1969
2,5,0.2788,0.11861,0.28219,0.15426,0.2788,0.2788,0.2788
2,6,0.2864,0.11041,0.29564,0.15312,0.2864,0.2864,0.2864
2,7,0.1012,0.09603,0.10594,0.02883,0.1012,0.1012,0.1012
2,8,0.1957,0.04861,0.19886,0.07579,0.1957,0.1957,0.1957
2,9,0.2086,0.2327,0.21992,0.13901,0.2086,0.2086,0.2086
3,0,0.1858,0.13688,0.19914,0.06699,0.1858,0.1858,0.1858
3,1,0.2204,0.24266,0.20934,0.08772,0.2204,0.2204,0.2204
3,2,0.3147,0.3157,0.31825,0.1996,0.3147,0.3147,0.3147
3,3,0.2261,0.1484,0.23268,0.13071,0.2261,0.2261,0.2261
3,4,0.2275,0.24745,0.22955,0.12517,0.2275,0.2275,0.2275
3,5,0.336,0.22201,0.34063,0.2297,0.336,0.336,0.336
3,6,0.2868,0.11519,0.29608,0.15707,0.2868,0.2868,0.2868
3,7,0.3352,0.60212,0.34333,0.33733,0.3352,0.3352,0.3352
3,8,0.2013,0.14484,0.20459,0.08239,0.2013,0.2013,0.2013
3,9,0.4031,0.43497,0.4189,0.34923,0.4031,0.4031,0.4031
4,0,0.2172,0.36216,0.23142,0.12396,0.2172,0.2172,0.2172
4,1,0.2743,0.59439,0.26523,0.18218,0.2743,0.2743,0.2743
4,2,0.3311,0.42576,0.33506,0.23415,0.3311,0.3311,0.3311
4,3,0.2554,0.34416,0.26331,0.17219,0.2554,0.2554,0.2554
4,4,0.2747,0.4217,0.27902,0.20209,0.2747,0.2747,0.2747
4,5,0.3593,0.40507,0.36448,0.26179,0.3593,0.3593,0.3593
4,6,0.2932,0.38785,0.30242,0.16667,0.2932,0.2932,0.2932
4,7,0.5091,0.75978,0.51088,0.51808,0.5091,0.5091,0.5091
4,8,0.2131,0.15471,0.21662,0.11182,0.2131,0.2131,0.2131
4,9,0.6274,0.75015,0.63254,0.60693,0.6274,0.6274,0.6274
5,0,0.2467,0.55981,0.26071,0.17405,0.2467,0.2467,0.2467
5,1,0.3722,0.78854,0.36367,0.32776,0.3722,0.3722,0.3722
5,2,0.3569,0.52416,0.36159,0.27222,0.3569,0.3569,0.3569
5,3,0.3087,0.4629,0.31881,0.25214,0.3087,0.3087,0.3087
5,4,0.3207,0.53203,0.32635,0.27651,0.3207,0.3207,0.3207
5,5,0.3808,0.60249,0.3862,0.29426,0.3808,0.3808,0.3808
5,6,0.3201,0.47303,0.3291,0.21249,0.3201,0.3201,0.3201
5,7,0.5901,0.74893,0.58888,0.58966,0.5901,0.5901,0.5901
5,8,0.2176,0.38345,0.22122,0.1179,0.2176,0.2176,0.2176
5,9,0.7504,0.78027,0.75314,0.74654,0.7504,0.7504,0.7504
6,0,0.3069,0.75757,0.3207,0.26321,0.3069,0.3069,0.3069
6,1,0.4406,0.77549,0.43293,0.42902,0.4406,0.4406,0.4406
6,2,0.387,0.51804,0.39275,0.31077,0.387,0.387,0.387
6,3,0.3793,0.60515,0.38925,0.35951,0.3793,0.3793,0.3793
6,4,0.3705,0.63951,0.37642,0.34709,0.3705,0.3705,0.3705
6,5,0.4167,0.62377,0.42165,0.34873,0.4167,0.4167,0.4167
6,6,0.3402,0.57847,0.34912,0.24889,0.3402,0.3402,0.3402
6,7,0.6538,0.77782,0.65179,0.65312,0.6538,0.6538,0.6538
6,8,0.2332,0.59219,0.23719,0.14825,0.2332,0.2332,0.2332
6,9,0.7848,0.80396,0.78745,0.78412,0.7848,0.7848,0.7848
7,0,0.3587,0.77326,0.37113,0.33605,0.3587,0.3587,0.3587
7,1,0.4843,0.78232,0.47728,0.48835,0.4843,0.4843,0.4843
7,2,0.4037,0.62488,0.40996,0.33952,0.4037,0.4037,0.4037
7,3,0.4353,0.61751,0.44326,0.42976,0.4353,0.4353,0.4353
7,4,0.426,0.63464,0.43124,0.41502,0.426,0.426,0.426
7,5,0.4317,0.62805,0.43558,0.37341,0.4317,0.4317,0.4317
7,6,0.3626,0.67315,0.37108,0.2816,0.3626,0.3626,0.3626
7,7,0.6874,0.79026,0.6852,0.69037,0.6874,0.6874,0.6874
7,8,0.2519,0.79375,0.25563,0.18022,0.2519,0.2519,0.2519
7,9,0.7948,0.81369,0.79767,0.79529,0.7948,0.7948,0.7948
8,0,0.3532,0.76726,0.3658,0.33151,0.3532,0.3532,0.3532
8,1,0.5145,0.79405,0.50848,0.52569,0.5145,0.5145,0.5145
8,2,0.442,0.62032,0.44836,0.38379,0.442,0.442,0.442
8,3,0.4782,0.62789,0.48434,0.47634,0.4782,0.4782,0.4782
8,4,0.4346,0.63887,0.43973,0.43018,0.4346,0.4346,0.4346
8,5,0.4503,0.62683,0.4533,0.39968,0.4503,0.4503,0.4503
8,6,0.3817,0.78471,0.39002,0.31875,0.3817,0.3817,0.3817
8,7,0.714,0.80215,0.71187,0.72326,0.714,0.714,0.714
8,8,0.2715,0.80606,0.27493,0.21565,0.2715,0.2715,0.2715
8,9,0.8076,0.8262,0.81063,0.80797,0.8076,0.8076,0.8076
9,0,0.413,0.77784,0.42397,0.41033,0.413,0.413,0.413
9,1,0.5306,0.80131,0.52511,0.54782,0.5306,0.5306,0.5306
9,2,0.4428,0.62809,0.4488,0.39107,0.4428,0.4428,0.4428
9,3,0.5148,0.63451,0.51989,0.50778,0.5148,0.5148,0.5148
9,4,0.4547,0.64658,0.45963,0.45422,0.4547,0.4547,0.4547
9,5,0.4678,0.62919,0.47036,0.42233,0.4678,0.4678,0.4678
9,6,0.3963,0.7873,0.40365,0.34273,0.3963,0.3963,0.3963
9,7,0.7353,0.81327,0.73336,0.74557,0.7353,0.7353,0.7353
9,8,0.2884,0.81299,0.29125,0.2456,0.2884,0.2884,0.2884
9,9,0.8179,0.83751,0.82103,0.81837,0.8179,0.8179,0.8179
10,0,0.4306,0.78903,0.44212,0.43024,0.4306,0.4306,0.4306
10,1,0.5441,0.81331,0.53905,0.56343,0.5441,0.5441,0.5441
10,2,0.4515,0.63155,0.45778,0.40295,0.4515,0.4515,0.4515
10,3,0.538,0.75413,0.54273,0.5418,0.538,0.538,0.538
10,4,0.468,0.64726,0.47255,0.46757,0.468,0.468,0.468
10,5,0.4838,0.71978,0.48579,0.44114,0.4838,0.4838,0.4838
10,6,0.4265,0.78032,0.43297,0.38478,0.4265,0.4265,0.4265
10,7,0.7493,0.82051,0.74727,0.75708,0.7493,0.7493,0.7493
10,8,0.3221,0.82168,0.32437,0.29586,0.3221,0.3221,0.3221
10,9,0.8218,0.84249,0.8251,0.82193,0.8218,0.8218,0.8218
11,0,0.4355,0.791,0.44707,0.43504,0.4355,0.4355,0.4355
11,1,0.5612,0.82332,0.55654,0.5836,0.5612,0.5612,0.5612
11,2,0.4642,0.62835,0.47005,0.41963,0.4642,0.4642,0.4642
11,3,0.5783,0.77146,0.58173,0.58686,0.5783,0.5783,0.5783
11,4,0.4624,0.74945,0.46716,0.46437,0.4624,0.4624,0.4624
11,5,0.4883,0.72354,0.49048,0.4496,0.4883,0.4883,0.4883
11,6,0.4446,0.78852,0.45048,0.40879,0.4446,0.4446,0.4446
11,7,0.7576,0.82882,0.75574,0.76752,0.7576,0.7576,0.7576
11,8,0.3383,0.82714,0.33974,0.31724,0.3383,0.3383,0.3383
11,9,0.8281,0.84871,0.83142,0.82776,0.8281,0.8281,0.8281
12,0,0.4708,0.79511,0.48136,0.47786,0.4708,0.4708,0.4708
12,1,0.5815,0.82609,0.5776,0.60487,0.5815,0.5815,0.5815
12,2,0.4765,0.63472,0.48219,0.4352,0.4765,0.4765,0.4765
12,3,0.5801,0.77423,0.58366,0.59142,0.5801,0.5801,0.5801
12,4,0.4799,0.7392,0.48389,0.48234,0.4799,0.4799,0.4799
12,5,0.506,0.72576,0.50857,0.47334,0.506,0.506,0.506
12,6,0.4524,0.79467,0.45809,0.41957,0.4524,0.4524,0.4524
12,7,0.7674,0.83472,0.76537,0.77772,0.7674,0.7674,0.7674
12,8,0.3509,0.83149,0.35253,0.33929,0.3509,0.3509,0.3509
12,9,0.8322,0.85408,0.8355,0.83186,0.8322,0.8322,0.8322
13,0,0.4679,0.79868,0.47848,0.47446,0.4679,0.4679,0.4679
13,1,0.5911,0.82997,0.58735,0.61564,0.5911,0.5911,0.5911
13,2,0.4842,0.73288,0.48975,0.44295,0.4842,0.4842,0.4842
13,3,0.5898,0.77924,0.59247,0.60087,0.5898,0.5898,0.5898
13,4,0.4809,0.74537,0.48555,0.48501,0.4809,0.4809,0.4809
13,5,0.4989,0.72718,0.5013,0.46538,0.4989,0.4989,0.4989
13,6,0.4672,0.79564,0.47232,0.44089,0.4672,0.4672,0.4672
13,7,0.7678,0.83772,0.76612,0.77929,0.7678,0.7678,0.7678
13,8,0.362,0.83544,0.36315,0.35088,0.362,0.362,0.362
13,9,0.835,0.85816,0.83837,0.83412,0.835,0.835,0.835
14,0,0.4982,0.8034,0.50761,0.50867,0.4982,0.4982,0.4982
14,1,0.5967,0.83883,0.5934,0.62204,0.5967,0.5967,0.5967
14,2,0.4818,0.73563,0.48767,0.44059,0.4818,0.4818,0.4818
14,3,0.6112,0.79038,0.61343,0.62157,0.6112,0.6112,0.6112
14,4,0.4879,0.74716,0.49226,0.49133,0.4879,0.4879,0.4879
14,5,0.5069,0.77867,0.50891,0.47747,0.5069,0.5069,0.5069
14,6,0.4768,0.80241,0.48166,0.45298,0.4768,0.4768,0.4768
14,7,0.7867,0.84394,0.78506,0.79493,0.7867,0.7867,0.7867
14,8,0.3628,0.84017,0.36443,0.3551,0.3628,0.3628,0.3628
14,9,0.8381,0.86153,0.84136,0.83723,0.8381,0.8381,0.8381
15,0,0.4851,0.8054,0.49442,0.49439,0.4851,0.4851,0.4851
15,1,0.6038,0.84068,0.60061,0.62958,0.6038,0.6038,0.6038
15,2,0.4905,0.73703,0.49626,0.45365,0.4905,0.4905,0.4905
15,3,0.6219,0.7971,0.62393,0.63139,0.6219,0.6219,0.6219
15,4,0.497,0.85131,0.50119,0.5035,0.497,0.497,0.497
15,5,0.5191,0.79531,0.52119,0.49445,0.5191,0.5191,0.5191
15,6,0.4805,0.80229,0.4855,0.45891,0.4805,0.4805,0.4805
15,7,0.7823,0.84592,0.78065,0.79142,0.7823,0.7823,0.7823
15,8,0.369,0.83739,0.36988,0.36278,0.369,0.369,0.369
15,9,0.8392,0.86446,0.84235,0.8381,0.8392,0.8392,0.8392
16,0,0.505,0.80499,0.51363,0.5169,0.505,0.505,0.505
16,1,0.6149,0.84331,0.61179,0.64035,0.6149,0.6149,0.6149
16,2,0.4925,0.73656,0.4987,0.4568,0.4925,0.4925,0.4925
16,3,0.6296,0.807,0.63166,0.64052,0.6296,0.6296,0.6296
16,4,0.4885,0.85429,0.49269,0.49538,0.4885,0.4885,0.4885
16,5,0.523,0.79577,0.52517,0.49858,0.523,0.523,0.523
