round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.69267,0.36766,0.2368,0.27119,0.69267,0.69267,0.69267
2,1,0.07099,0.14014,0.14286,0.14148,0.07099,0.07099,0.07099
2,2,0.28485,0.3935,0.25978,0.23447,0.28485,0.28485,0.28485
2,3,0.06235,0.02031,0.277,0.03562,0.06235,0.06235,0.06235
2,4,0.04201,0.11948,0.1369,0.1276,0.04201,0.04201,0.04201
2,5,0.1674,0.15009,0.18583,0.08607,0.1674,0.1674,0.1674
2,6,0.75231,0.45712,0.3975,0.41448,0.75231,0.75231,0.75231
2,7,0.95013,0.25,0.23753,0.24361,0.95013,0.95013,0.95013
2,8,0.34001,0.28072,0.13636,0.13883,0.34001,0.34001,0.34001
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.85569,0.27278,0.24918,0.26003,0.85569,0.85569,0.85569
3,1,0.25844,0.24762,0.15022,0.16577,0.25844,0.25844,0.25844
3,2,0.75221,0.38986,0.42822,0.38632,0.75221,0.75221,0.75221
3,3,0.06315,0.02995,0.27875,0.04924,0.06315,0.06315,0.06315
3,4,0.25297,0.28261,0.16558,0.1886,0.25297,0.25297,0.25297
3,5,0.59692,0.30358,0.30426,0.23334,0.59692,0.59692,0.59692
3,6,0.76198,0.40452,0.34571,0.36485,0.76198,0.76198,0.76198
3,7,0.95013,0.33333,0.31671,0.32481,0.95013,0.95013,0.95013
3,8,0.39589,0.24766,0.12961,0.14248,0.39589,0.39589,0.39589
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.8869,0.24586,0.22134,0.23296,0.8869,0.8869,0.8869
4,1,0.71537,0.22115,0.18818,0.20159,0.71537,0.71537,0.71537
4,2,0.86228,0.2868,0.41412,0.29232,0.86228,0.86228,0.86228
4,3,0.06395,0.02745,0.24543,0.04482,0.06395,0.06395,0.06395
4,4,0.46941,0.21991,0.15836,0.17734,0.46941,0.46941,0.46941
4,5,0.663,0.2707,0.28551,0.23012,0.663,0.663,0.663
4,6,0.85156,0.36547,0.33034,0.345,0.85156,0.85156,0.85156
4,7,0.96063,0.25,0.24016,0.24498,0.96063,0.96063,0.96063
4,8,0.55403,0.21954,0.14375,0.16286,0.55403,0.55403,0.55403
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.92668,0.21725,0.20615,0.21153,0.92668,0.92668,0.92668
5,1,0.77464,0.22222,0.19527,0.20689,0.77464,0.77464,0.77464
5,2,0.901,0.29728,0.42305,0.30631,0.901,0.901,0.901
5,3,0.06555,0.14767,0.21961,0.05498,0.06555,0.06555,0.06555
5,4,0.56164,0.19787,0.15018,0.16726,0.56164,0.56164,0.56164
