round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.441,0.37603,0.45593,0.33642,0.441,0.441,0.441
2,0.6274,0.72714,0.63271,0.61101,0.6274,0.6274,0.6274
3,0.4717,0.55656,0.4658,0.41718,0.4717,0.4717,0.4717
4,0.1163,0.2144,0.11856,0.10409,0.1163,0.1163,0.1163
5,0.0975,0.10974,0.10011,0.01798,0.0975,0.0975,0.0975
6,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
8,0.1028,0.01028,0.1,0.01864,0.1028,0.1028,0.1028
9,0.0974,0.00974,0.1,0.01775,0.0974,0.0974,0.0974
10,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
11,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
12,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
13,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
14,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
15,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
16,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
17,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
18,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
19,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
20,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
21,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
22,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
23,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
24,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
25,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
26,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
27,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
28,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
29,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
30,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
31,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
32,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
33,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
34,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
35,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
36,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
37,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
38,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
39,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
40,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
41,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
42,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
43,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
44,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
45,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
46,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
47,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
48,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
49,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
50,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
