round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.184,0.03783,0.19725,0.0633,0.184,0.184,0.184
1,1,0.2113,0.04252,0.1998,0.06997,0.2113,0.2113,0.2113
1,2,0.2894,0.11206,0.29296,0.15254,0.2894,0.2894,0.2894
1,3,0.189,0.04588,0.19478,0.07213,0.189,0.189,0.189
1,4,0.1976,0.04225,0.19897,0.06912,0.1976,0.1976,0.1976
1,5,0.2833,0.10417,0.28685,0.14622,0.2833,0.2833,0.2833
1,6,0.2873,0.11806,0.29663,0.15902,0.2873,0.2873,0.2873
1,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
1,8,0.1957,0.04335,0.19888,0.07024,0.1957,0.1957,0.1957
1,9,0.1284,0.02726,0.13541,0.04375,0.1284,0.1284,0.1284
2,0,0.4137,0.6597,0.42864,0.38955,0.4137,0.4137,0.4137
2,1,0.4266,0.68744,0.41875,0.41078,0.4266,0.4266,0.4266
2,2,0.4179,0.50692,0.42545,0.34704,0.4179,0.4179,0.4179
2,3,0.4518,0.66458,0.45684,0.44589,0.4518,0.4518,0.4518
2,4,0.4281,0.66346,0.43499,0.3854,0.4281,0.4281,0.4281
2,5,0.4557,0.70944,0.45997,0.39677,0.4557,0.4557,0.4557
2,6,0.4213,0.56671,0.43015,0.36296,0.4213,0.4213,0.4213
2,7,0.5905,0.72901,0.59063,0.58484,0.5905,0.5905,0.5905
2,8,0.4376,0.72938,0.4382,0.42521,0.4376,0.4376,0.4376
2,9,0.7209,0.72731,0.72373,0.71433,0.7209,0.7209,0.7209
3,0,0.369,0.69334,0.37728,0.32469,0.369,0.369,0.369
3,1,0.4301,0.65518,0.42293,0.39342,0.4301,0.4301,0.4301
3,2,0.4379,0.73561,0.43802,0.40153,0.4379,0.4379,0.4379
3,3,0.4987,0.67034,0.49874,0.49092,0.4987,0.4987,0.4987
3,4,0.4686,0.59392,0.46986,0.43984,0.4686,0.4686,0.4686
3,5,0.4378,0.73842,0.43891,0.40272,0.4378,0.4378,0.4378
3,6,0.4234,0.58934,0.42709,0.37877,0.4234,0.4234,0.4234
3,7,0.6304,0.69776,0.62328,0.5806,0.6304,0.6304,0.6304
3,8,0.3443,0.54442,0.33913,0.27305,0.3443,0.3443,0.3443
3,9,0.5911,0.67438,0.59135,0.54038,0.5911,0.5911,0.5911
4,0,0.1831,0.07274,0.19623,0.073,0.1831,0.1831,0.1831
4,1,0.2228,0.17777,0.21279,0.1056,0.2228,0.2228,0.2228
4,2,0.2837,0.15631,0.28764,0.16534,0.2837,0.2837,0.2837
4,3,0.0982,0.00982,0.1,0.01789,0.0982,0.0982,0.0982
4,4,0.192,0.06535,0.19312,0.08956,0.192,0.192,0.192
4,5,0.3025,0.46404,0.30675,0.24125,0.3025,0.3025,0.3025
4,6,0.1798,0.16854,0.17821,0.106,0.1798,0.1798,0.1798
4,7,0.286,0.43457,0.28184,0.25408,0.286,0.286,0.286
4,8,0.1948,0.04267,0.19794,0.06938,0.1948,0.1948,0.1948
4,9,0.437,0.61686,0.44267,0.44808,0.437,0.437,0.437
5,0,0.0955,0.07079,0.1061,0.02766,0.0955,0.0955,0.0955
5,1,0.216,0.20746,0.20507,0.11518,0.216,0.216,0.216
5,2,0.1025,0.03762,0.10166,0.02182,0.1025,0.1025,0.1025
5,3,0.1328,0.15409,0.13766,0.07374,0.1328,0.1328,0.1328
