round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98596,0.97945,0.98693,0.98309,0.98596,0.98596,0.98596
1,1,0.99931,0.99519,0.99963,0.9974,0.99931,0.99931,0.99931
1,2,0.98341,0.71927,0.72564,0.72231,0.98341,0.98341,0.98341
1,3,0.99121,0.64463,0.64491,0.64477,0.99121,0.99121,0.99121
1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,0.98678,0.99089,0.8263,0.88079,0.98678,0.98678,0.98678
1,6,0.99243,0.9879,0.98479,0.98633,0.99243,0.99243,0.99243
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.99684,0.99621,0.99688,0.99654,0.99684,0.99684,0.99684
1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.98986,0.65762,0.66032,0.65894,0.98986,0.98986,0.98986
2,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
2,2,0.98396,0.72622,0.72458,0.72538,0.98396,0.98396,0.98396
2,3,0.99281,0.65613,0.64171,0.64872,0.99281,0.99281,0.99281
2,4,0.99635,0.49952,0.48911,0.4942,0.99635,0.99635,0.99635
2,5,0.98678,0.82579,0.8263,0.82603,0.98678,0.98678,0.98678
2,6,0.99033,0.73532,0.74125,0.73821,0.99033,0.99033,0.99033
2,7,0.99738,0.5,0.49869,0.49934,0.99738,0.99738,0.99738
2,8,0.99526,0.33254,0.33155,0.33204,0.99526,0.99526,0.99526
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.98206,0.65428,0.65083,0.65253,0.98206,0.98206,0.98206
3,1,0.99793,0.5,0.49944,0.49972,0.99793,0.99793,0.99793
3,2,0.974,0.40731,0.40429,0.40565,0.974,0.974,0.974
3,3,0.99121,0.49851,0.48085,0.48933,0.99121,0.99121,0.99121
3,4,0.99178,0.39555,0.39033,0.39292,0.99178,0.99178,0.99178
3,5,0.98678,0.74475,0.61913,0.66109,0.98678,0.98678,0.98678
3,6,0.99201,0.73974,0.73587,0.73779,0.99201,0.99201,0.99201
3,7,0.99213,0.33333,0.33071,0.33202,0.99213,0.99213,0.99213
3,8,0.99631,0.66463,0.66431,0.66447,0.99631,0.99631,0.99631
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.97036,0.96541,0.96243,0.96391,0.97036,0.97036,0.97036
4,1,0.99862,0.99048,0.99926,0.99482,0.99862,0.99862,0.99862
4,2,0.95907,0.46732,0.47099,0.46903,0.95907,0.95907,0.95907
4,3,0.93365,0.31122,0.33333,0.3219,0.93365,0.93365,0.93365
4,4,0.99635,0.9981,0.95833,0.97731,0.99635,0.99635,0.99635
