round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.84789,0.38688,0.33744,0.36041,0.84789,0.84789,0.84789
2,1,0.07099,0.14014,0.14286,0.14148,0.07099,0.07099,0.07099
2,2,0.50885,0.38868,0.35905,0.32738,0.50885,0.50885,0.50885
2,3,0.06155,0.02616,0.27526,0.04399,0.06155,0.06155,0.06155
2,4,0.0411,0.13975,0.13393,0.13678,0.0411,0.0411,0.0411
2,5,0.44493,0.17248,0.259,0.18691,0.44493,0.44493,0.44493
2,6,0.80782,0.46482,0.41769,0.43393,0.80782,0.80782,0.80782
2,7,0.94488,0.25,0.23622,0.24291,0.94488,0.94488,0.94488
2,8,0.33368,0.28436,0.13409,0.13889,0.33368,0.33368,0.33368
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.78627,0.16259,0.16608,0.15924,0.78627,0.78627,0.78627
3,1,0.5093,0.22222,0.16154,0.18141,0.5093,0.5093,0.5093
3,2,0.65985,0.25204,0.34249,0.2467,0.65985,0.65985,0.65985
3,3,0.3701,0.17516,0.28216,0.13253,0.3701,0.3701,0.3701
3,4,0.68584,0.24444,0.19651,0.21645,0.68584,0.68584,0.68584
3,5,0.78855,0.27961,0.25693,0.25797,0.78855,0.78855,0.78855
3,6,0.8423,0.28834,0.24833,0.26583,0.8423,0.8423,0.8423
3,7,0.90289,0.2,0.18058,0.18979,0.90289,0.90289,0.90289
3,8,0.35582,0.19935,0.09614,0.10508,0.35582,0.35582,0.35582
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.35959,0.1239,0.05735,0.07498,0.35959,0.35959,0.35959
4,1,0.9173,0.33241,0.26918,0.29555,0.9173,0.9173,0.9173
4,2,0.04259,0.25508,0.07925,0.08723,0.04259,0.04259,0.04259
4,3,0.76978,0.24843,0.13141,0.16007,0.76978,0.76978,0.76978
4,4,0.75434,0.33333,0.15799,0.19382,0.75434,0.75434,0.75434
4,5,0.35903,0.29935,0.12801,0.15828,0.35903,0.35903,0.35903
4,6,0.36207,0.22729,0.12271,0.13344,0.36207,0.36207,0.36207
4,7,0.17585,0.16667,0.02931,0.04985,0.17585,0.17585,0.17585
4,8,0.35213,0.19574,0.06292,0.0922,0.35213,0.35213,0.35213
4,9,0.33333,0.16667,0.33333,0.22222,0.33333,0.33333,0.33333
5,0,0.14977,0.20921,0.07017,0.09028,0.14977,0.14977,0.14977
5,1,0.04755,0.125,0.08374,0.10029,0.04755,0.04755,0.04755
5,2,0.07633,0.3408,0.1251,0.14041,0.07633,0.07633,0.07633
5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,0.00091,0.125,0.0026,0.0051,0.00091,0.00091,0.00091
