round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.52421,0.52519,0.52437,0.52038,0.52421,0.52421,0.52421
1,1,0.52214,0.52321,0.52194,0.51544,0.52214,0.52214,0.52214
1,2,0.52086,0.52093,0.52089,0.52066,0.52086,0.52086,0.52086
1,3,0.5225,0.52413,0.52226,0.51296,0.5225,0.5225,0.5225
1,4,0.51536,0.51633,0.51555,0.50954,0.51536,0.51536,0.51536
1,5,0.52336,0.52335,0.52333,0.52323,0.52336,0.52336,0.52336
1,6,0.52179,0.52197,0.52185,0.52114,0.52179,0.52179,0.52179
1,7,0.52164,0.52311,0.52184,0.51508,0.52164,0.52164,0.52164
1,8,0.52936,0.52935,0.52934,0.52929,0.52936,0.52936,0.52936
1,9,0.521,0.52174,0.52114,0.51776,0.521,0.521,0.521
