round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.51929,0.51796,0.51777,0.51706,0.51929,0.51929,0.51929
1,1,0.51714,0.51658,0.51646,0.51586,0.51714,0.51714,0.51714
1,2,0.52071,0.52042,0.52038,0.52026,0.52071,0.52071,0.52071
1,3,0.50929,0.5092,0.50919,0.50913,0.50929,0.50929,0.50929
1,4,0.51429,0.51479,0.5147,0.51374,0.51429,0.51429,0.51429
1,5,0.50929,0.50937,0.50938,0.50926,0.50929,0.50929,0.50929
1,6,0.52393,0.52502,0.52438,0.5211,0.52393,0.52393,0.52393
1,7,0.53821,0.53845,0.53833,0.53792,0.53821,0.53821,0.53821
1,8,0.51393,0.51425,0.51405,0.51232,0.51393,0.51393,0.51393
1,9,0.53179,0.53271,0.53231,0.53056,0.53179,0.53179,0.53179
2,0,0.50893,0.51201,0.5116,0.50585,0.50893,0.50893,0.50893
2,1,0.54643,0.54659,0.54497,0.54171,0.54643,0.54643,0.54643
2,2,0.52857,0.52821,0.52807,0.5277,0.52857,0.52857,0.52857
2,3,0.53071,0.53395,0.53157,0.52274,0.53071,0.53071,0.53071
2,4,0.52179,0.52158,0.52072,0.51642,0.52179,0.52179,0.52179
2,5,0.51429,0.51461,0.5146,0.51428,0.51429,0.51429,0.51429
2,6,0.53571,0.53567,0.53565,0.53561,0.53571,0.53571,0.53571
2,7,0.52964,0.53132,0.52907,0.52077,0.52964,0.52964,0.52964
2,8,0.53286,0.53285,0.53285,0.53285,0.53286,0.53286,0.53286
3,0,0.50893,0.51201,0.5116,0.50585,0.50893,0.50893,0.50893
3,1,0.54643,0.54659,0.54497,0.54171,0.54643,0.54643,0.54643
3,2,0.52857,0.52821,0.52807,0.5277,0.52857,0.52857,0.52857
3,3,0.53071,0.53395,0.53157,0.52274,0.53071,0.53071,0.53071
3,4,0.52179,0.52158,0.52072,0.51642,0.52179,0.52179,0.52179
3,5,0.51429,0.51461,0.5146,0.51428,0.51429,0.51429,0.51429
3,6,0.53571,0.53567,0.53565,0.53561,0.53571,0.53571,0.53571
3,7,0.52964,0.53132,0.52907,0.52077,0.52964,0.52964,0.52964
3,8,0.53286,0.53285,0.53285,0.53285,0.53286,0.53286,0.53286
3,9,0.53786,0.53945,0.53856,0.53553,0.53786,0.53786,0.53786
