round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.51393,0.5269,0.52077,0.4881,0.51393,0.51393,0.51393
1,1,0.49857,0.50248,0.50201,0.47527,0.49857,0.49857,0.49857
1,2,0.50714,0.50482,0.5037,0.47488,0.50714,0.50714,0.50714
1,3,0.52429,0.52899,0.5228,0.49666,0.52429,0.52429,0.52429
1,4,0.50893,0.50815,0.50657,0.48265,0.50893,0.50893,0.50893
1,5,0.49821,0.49085,0.49293,0.46486,0.49821,0.49821,0.49821
1,6,0.50357,0.50286,0.5022,0.47246,0.50357,0.50357,0.50357
1,7,0.50821,0.50943,0.50716,0.47612,0.50821,0.50821,0.50821
1,8,0.50893,0.51055,0.50845,0.483,0.50893,0.50893,0.50893
1,9,0.50857,0.51451,0.51089,0.47719,0.50857,0.50857,0.50857
2,0,0.48393,0.47828,0.47994,0.47152,0.48393,0.48393,0.48393
2,1,0.49643,0.49328,0.49395,0.48221,0.49643,0.49643,0.49643
2,2,0.49786,0.49994,0.49995,0.48792,0.49786,0.49786,0.49786
2,3,0.49107,0.49123,0.49206,0.4793,0.49107,0.49107,0.49107
2,4,0.48321,0.48332,0.48482,0.47217,0.48321,0.48321,0.48321
2,5,0.48321,0.48519,0.48647,0.47347,0.48321,0.48321,0.48321
2,6,0.50321,0.50471,0.50418,0.48925,0.50321,0.50321,0.50321
2,7,0.5075,0.50885,0.50812,0.4974,0.5075,0.5075,0.5075
2,8,0.48857,0.48776,0.4889,0.47657,0.48857,0.48857,0.48857
2,9,0.49464,0.49261,0.49326,0.48249,0.49464,0.49464,0.49464
3,0,0.48393,0.47828,0.47994,0.47152,0.48393,0.48393,0.48393
3,1,0.49643,0.49328,0.49395,0.48221,0.49643,0.49643,0.49643
3,2,0.49786,0.49994,0.49995,0.48792,0.49786,0.49786,0.49786
3,3,0.49107,0.49123,0.49206,0.4793,0.49107,0.49107,0.49107
3,4,0.48321,0.48332,0.48482,0.47217,0.48321,0.48321,0.48321
3,5,0.48321,0.48519,0.48647,0.47347,0.48321,0.48321,0.48321
3,6,0.50321,0.50471,0.50418,0.48925,0.50321,0.50321,0.50321
3,7,0.5075,0.50885,0.50812,0.4974,0.5075,0.5075,0.5075
3,8,0.48857,0.48776,0.4889,0.47657,0.48857,0.48857,0.48857
3,9,0.49464,0.49261,0.49326,0.48249,0.49464,0.49464,0.49464
