round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.49529,0.49331,0.49487,0.46377,0.49529,0.49529,0.49529
2,0.53129,0.53129,0.53126,0.53113,0.53129,0.53129,0.53129
3,0.55929,0.56127,0.55913,0.55532,0.55929,0.55929,0.55929
4,0.57879,0.57899,0.57882,0.57858,0.57879,0.57879,0.57879
5,0.58614,0.58678,0.58621,0.58549,0.58614,0.58614,0.58614
6,0.58864,0.58864,0.58864,0.58864,0.58864,0.58864,0.58864
7,0.598,0.59954,0.5981,0.59659,0.598,0.598,0.598
8,0.59064,0.59105,0.59058,0.59009,0.59064,0.59064,0.59064
9,0.60114,0.60133,0.60118,0.601,0.60114,0.60114,0.60114
10,0.59414,0.60857,0.59445,0.58064,0.59414,0.59414,0.59414
11,0.59886,0.6007,0.59874,0.59685,0.59886,0.59886,0.59886
12,0.60664,0.60853,0.60675,0.60506,0.60664,0.60664,0.60664
13,0.60493,0.6058,0.60485,0.604,0.60493,0.60493,0.60493
14,0.60293,0.60305,0.6029,0.60276,0.60293,0.60293,0.60293
15,0.61364,0.61492,0.61373,0.61267,0.61364,0.61364,0.61364
16,0.61529,0.61613,0.61536,0.61467,0.61529,0.61529,0.61529
17,0.6155,0.62236,0.6157,0.61028,0.6155,0.6155,0.6155
18,0.60493,0.60658,0.60482,0.60325,0.60493,0.60493,0.60493
19,0.61464,0.61586,0.61455,0.61352,0.61464,0.61464,0.61464
20,0.61979,0.62025,0.61984,0.61948,0.61979,0.61979,0.61979
21,0.62171,0.62514,0.62185,0.61927,0.62171,0.62171,0.62171
22,0.62293,0.62582,0.62306,0.6209,0.62293,0.62293,0.62293
23,0.60857,0.61028,0.60846,0.6069,0.60857,0.60857,0.60857
24,0.62179,0.62181,0.62177,0.62175,0.62179,0.62179,0.62179
25,0.62129,0.62131,0.62127,0.62125,0.62129,0.62129,0.62129
26,0.62793,0.62865,0.62799,0.62747,0.62793,0.62793,0.62793
27,0.63157,0.6383,0.63176,0.62723,0.63157,0.63157,0.63157
28,0.60836,0.61534,0.60814,0.60206,0.60836,0.60836,0.60836
29,0.59393,0.61416,0.59356,0.57459,0.59393,0.59393,0.59393
30,0.62043,0.64683,0.62079,0.60297,0.62043,0.62043,0.62043
31,0.63193,0.63195,0.63194,0.63192,0.63193,0.63193,0.63193
32,0.62936,0.64399,0.62963,0.61998,0.62936,0.62936,0.62936
33,0.62371,0.62579,0.6236,0.62202,0.62371,0.62371,0.62371
34,0.63321,0.64121,0.63342,0.62816,0.63321,0.63321,0.63321
35,0.625,0.62654,0.6249,0.62375,0.625,0.625,0.625
36,0.63914,0.64126,0.63925,0.63789,0.63914,0.63914,0.63914
37,0.63907,0.64029,0.63915,0.63836,0.63907,0.63907,0.63907
38,0.63936,0.64178,0.63947,0.63792,0.63936,0.63936,0.63936
39,0.64321,0.64537,0.64332,0.64198,0.64321,0.64321,0.64321
40,0.64164,0.64398,0.64175,0.64029,0.64164,0.64164,0.64164
41,0.639,0.64023,0.63908,0.63829,0.639,0.639,0.639
42,0.62136,0.62809,0.62116,0.61608,0.62136,0.62136,0.62136
43,0.64136,0.64138,0.64137,0.64135,0.64136,0.64136,0.64136
44,0.64171,0.64994,0.64191,0.63692,0.64171,0.64171,0.64171
45,0.63243,0.63556,0.6323,0.63015,0.63243,0.63243,0.63243
46,0.61279,0.63633,0.61314,0.59574,0.61279,0.61279,0.61279
47,0.60886,0.62349,0.60856,0.59654,0.60886,0.60886,0.60886
48,0.64986,0.65088,0.64993,0.64933,0.64986,0.64986,0.64986
49,0.63714,0.63993,0.63702,0.6352,0.63714,0.63714,0.63714
50,0.60779,0.63539,0.6074,0.58624,0.60779,0.60779,0.60779
