round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.50579,0.50634,0.50599,0.49892,0.50579,0.50579,0.50579
1,1,0.51214,0.5135,0.51184,0.49657,0.51214,0.51214,0.51214
1,2,0.50621,0.5068,0.50642,0.49923,0.50621,0.50621,0.50621
1,3,0.50364,0.50364,0.50364,0.50364,0.50364,0.50364,0.50364
1,4,0.50093,0.50168,0.50132,0.47311,0.50093,0.50093,0.50093
1,5,0.52721,0.52881,0.527,0.51958,0.52721,0.52721,0.52721
1,6,0.54157,0.54983,0.54191,0.52278,0.54157,0.54157,0.54157
1,7,0.54557,0.54906,0.54579,0.53798,0.54557,0.54557,0.54557
1,8,0.53286,0.53933,0.5332,0.51408,0.53286,0.53286,0.53286
1,9,0.5035,0.50374,0.50316,0.48323,0.5035,0.5035,0.5035
2,0,0.55686,0.56052,0.55706,0.55052,0.55686,0.55686,0.55686
2,1,0.52064,0.52134,0.52078,0.51754,0.52064,0.52064,0.52064
2,2,0.52986,0.54041,0.52941,0.49529,0.52986,0.52986,0.52986
2,3,0.54479,0.54738,0.54498,0.53903,0.54479,0.54479,0.54479
2,4,0.55021,0.56836,0.55065,0.51929,0.55021,0.55021,0.55021
2,5,0.52193,0.52445,0.52164,0.50761,0.52193,0.52193,0.52193
2,6,0.5275,0.52751,0.52747,0.5273,0.5275,0.5275,0.5275
2,7,0.52129,0.52157,0.52137,0.5202,0.52129,0.52129,0.52129
2,8,0.52186,0.52305,0.52204,0.51663,0.52186,0.52186,0.52186
2,9,0.52257,0.52336,0.52271,0.51929,0.52257,0.52257,0.52257
3,0,0.53993,0.5498,0.5403,0.51708,0.53993,0.53993,0.53993
3,1,0.50057,0.49997,0.49998,0.43348,0.50057,0.50057,0.50057
3,2,0.56757,0.57276,0.5678,0.56017,0.56757,0.56757,0.56757
3,3,0.576,0.57933,0.57617,0.57182,0.576,0.576,0.576
3,4,0.5695,0.57668,0.56976,0.55968,0.5695,0.5695,0.5695
3,5,0.56979,0.5713,0.56966,0.56723,0.56979,0.56979,0.56979
3,6,0.50743,0.50989,0.50696,0.46776,0.50743,0.50743,0.50743
3,7,0.56321,0.57285,0.56352,0.54891,0.56321,0.56321,0.56321
3,8,0.539,0.54258,0.53874,0.52824,0.539,0.539,0.539
3,9,0.51579,0.52426,0.51526,0.46599,0.51579,0.51579,0.51579
4,0,0.57814,0.57848,0.57819,0.57778,0.57814,0.57814,0.57814
4,1,0.55221,0.55756,0.55247,0.54222,0.55221,0.55221,0.55221
4,2,0.53671,0.54178,0.537,0.52324,0.53671,0.53671,0.53671
4,3,0.54764,0.55294,0.54736,0.53528,0.54764,0.54764,0.54764
4,4,0.54514,0.5498,0.54487,0.53348,0.54514,0.54514,0.54514
4,5,0.57743,0.57899,0.57754,0.57554,0.57743,0.57743,0.57743
4,6,0.55621,0.55864,0.55603,0.55115,0.55621,0.55621,0.55621
4,7,0.56786,0.5741,0.5681,0.55904,0.56786,0.56786,0.56786
4,8,0.57436,0.57468,0.57441,0.57399,0.57436,0.57436,0.57436
4,9,0.53536,0.54341,0.53498,0.51145,0.53536,0.53536,0.53536
5,0,0.56114,0.57361,0.56149,0.54247,0.56114,0.56114,0.56114
5,1,0.58164,0.58164,0.58163,0.58163,0.58164,0.58164,0.58164
5,2,0.56029,0.56195,0.56042,0.55761,0.56029,0.56029,0.56029
5,3,0.55943,0.5799,0.55986,0.53016,0.55943,0.55943,0.55943
5,4,0.53357,0.54229,0.53317,0.5068,0.53357,0.53357,0.53357
5,5,0.52521,0.5367,0.52472,0.48276,0.52521,0.52521,0.52521
