round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48357,0.48618,0.48695,0.47789,0.48357,0.48357,0.48357
1,1,0.52536,0.52554,0.52278,0.5108,0.52536,0.52536,0.52536
1,2,0.51,0.50885,0.50842,0.5031,0.51,0.51,0.51
1,3,0.52679,0.52682,0.52681,0.52679,0.52679,0.52679,0.52679
1,4,0.51286,0.51306,0.51047,0.48618,0.51286,0.51286,0.51286
1,5,0.535,0.54026,0.53778,0.52892,0.535,0.535,0.535
1,6,0.55036,0.55728,0.54929,0.53358,0.55036,0.55036,0.55036
1,7,0.54607,0.54936,0.54547,0.53666,0.54607,0.54607,0.54607
1,8,0.53571,0.54139,0.5353,0.51778,0.53571,0.53571,0.53571
1,9,0.50286,0.50116,0.50096,0.48025,0.50286,0.50286,0.50286
2,0,0.55571,0.56062,0.55848,0.5528,0.55571,0.55571,0.55571
2,1,0.52643,0.5292,0.52802,0.52231,0.52643,0.52643,0.52643
2,2,0.51607,0.52674,0.51973,0.4841,0.51607,0.51607,0.51607
2,3,0.57893,0.58235,0.57821,0.57325,0.57893,0.57893,0.57893
2,4,0.54821,0.5603,0.54557,0.51745,0.54821,0.54821,0.54821
2,5,0.51071,0.51628,0.51445,0.49833,0.51071,0.51071,0.51071
2,6,0.535,0.53535,0.53519,0.53456,0.535,0.535,0.535
2,7,0.53429,0.53458,0.53401,0.53222,0.53429,0.53429,0.53429
2,8,0.52321,0.5243,0.52296,0.51646,0.52321,0.52321,0.52321
2,9,0.53857,0.54052,0.53936,0.5356,0.53857,0.53857,0.53857
3,0,0.55571,0.5748,0.56174,0.53815,0.55571,0.55571,0.55571
3,1,0.51357,0.51538,0.50821,0.44598,0.51357,0.51357,0.51357
3,2,0.57393,0.57707,0.57213,0.56615,0.57393,0.57393,0.57393
3,3,0.5725,0.57481,0.57186,0.56796,0.5725,0.5725,0.5725
3,4,0.565,0.56975,0.56339,0.55409,0.565,0.565,0.565
3,5,0.55464,0.5572,0.55617,0.5532,0.55464,0.55464,0.55464
3,6,0.50571,0.51016,0.50725,0.46838,0.50571,0.50571,0.50571
3,7,0.57214,0.58286,0.57135,0.55637,0.57214,0.57214,0.57214
3,8,0.53536,0.53822,0.53564,0.5275,0.53536,0.53536,0.53536
3,9,0.51357,0.51755,0.51066,0.4589,0.51357,0.51357,0.51357
4,0,0.595,0.59511,0.59518,0.59495,0.595,0.595,0.595
4,1,0.5525,0.55971,0.55478,0.54406,0.5525,0.5525,0.5525
4,2,0.53964,0.54206,0.53723,0.52479,0.53964,0.53964,0.53964
4,3,0.53571,0.54149,0.5368,0.52272,0.53571,0.53571,0.53571
4,4,0.54429,0.55029,0.54588,0.53479,0.54429,0.54429,0.54429
4,5,0.55893,0.55854,0.55738,0.55591,0.55893,0.55893,0.55893
4,6,0.55143,0.55435,0.55202,0.54683,0.55143,0.55143,0.55143
4,7,0.58107,0.58765,0.58046,0.57203,0.58107,0.58107,0.58107
4,8,0.56929,0.56946,0.56922,0.5689,0.56929,0.56929,0.56929
4,9,0.53429,0.54057,0.53218,0.50776,0.53429,0.53429,0.53429
5,0,0.57464,0.59438,0.58025,0.56046,0.57464,0.57464,0.57464
5,1,0.59107,0.59091,0.59083,0.59082,0.59107,0.59107,0.59107
5,2,0.57214,0.57284,0.57102,0.56892,0.57214,0.57214,0.57214
5,3,0.56429,0.58319,0.56269,0.53488,0.56429,0.56429,0.56429
5,4,0.52036,0.52855,0.52277,0.49604,0.52036,0.52036,0.52036
5,5,0.5025,0.51283,0.50875,0.46304,0.5025,0.5025,0.5025
5,6,0.54643,0.55946,0.54502,0.51637,0.54643,0.54643,0.54643
5,7,0.5875,0.59498,0.58688,0.57823,0.5875,0.5875,0.5875
5,8,0.52821,0.54249,0.52882,0.4873,0.52821,0.52821,0.52821
5,9,0.57464,0.59358,0.57663,0.55537,0.57464,0.57464,0.57464
6,0,0.53929,0.54558,0.53131,0.4956,0.53929,0.53929,0.53929
6,1,0.57393,0.57885,0.57556,0.57008,0.57393,0.57393,0.57393
6,2,0.59929,0.59917,0.59896,0.59889,0.59929,0.59929,0.59929
6,3,0.58429,0.59102,0.58511,0.57776,0.58429,0.58429,0.58429
6,4,0.58679,0.59739,0.58487,0.5722,0.58679,0.58679,0.58679
6,5,0.5675,0.56728,0.56728,0.56728,0.5675,0.5675,0.5675
6,6,0.58,0.58,0.58,0.57999,0.58,0.58,0.58
6,7,0.56679,0.60275,0.5655,0.52292,0.56679,0.56679,0.56679
6,8,0.57929,0.57941,0.57924,0.57904,0.57929,0.57929,0.57929
6,9,0.52536,0.53578,0.52253,0.47528,0.52536,0.52536,0.52536
7,0,0.59071,0.59685,0.59348,0.58808,0.59071,0.59071,0.59071
7,1,0.54393,0.55168,0.54024,0.51525,0.54393,0.54393,0.54393
7,2,0.59036,0.59231,0.58902,0.58607,0.59036,0.59036,0.59036
7,3,0.57429,0.59943,0.57262,0.54269,0.57429,0.57429,0.57429
7,4,0.59214,0.59333,0.59138,0.58966,0.59214,0.59214,0.59214
7,5,0.57607,0.57626,0.57628,0.57607,0.57607,0.57607,0.57607
7,6,0.58036,0.59376,0.57924,0.56294,0.58036,0.58036,0.58036
7,7,0.585,0.59965,0.58416,0.56784,0.585,0.585,0.585
7,8,0.58607,0.58961,0.58628,0.58227,0.58607,0.58607,0.58607
7,9,0.58036,0.58578,0.57906,0.57139,0.58036,0.58036,0.58036
8,0,0.60857,0.61265,0.61062,0.60741,0.60857,0.60857,0.60857
8,1,0.58071,0.59649,0.57722,0.55699,0.58071,0.58071,0.58071
8,2,0.57893,0.57976,0.57942,0.57864,0.57893,0.57893,0.57893
8,3,0.61893,0.6214,0.61935,0.61747,0.61893,0.61893,0.61893
8,4,0.57,0.57466,0.57117,0.5654,0.57,0.57,0.57
8,5,0.55214,0.55818,0.55483,0.54673,0.55214,0.55214,0.55214
8,6,0.525,0.538,0.52657,0.48722,0.525,0.525,0.525
