round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.51393,0.5269,0.52077,0.4881,0.51393,0.51393,0.51393
1,1,0.49857,0.50248,0.50201,0.47527,0.49857,0.49857,0.49857
1,2,0.50714,0.50482,0.5037,0.47488,0.50714,0.50714,0.50714
1,3,0.52429,0.52899,0.5228,0.49666,0.52429,0.52429,0.52429
1,4,0.50893,0.50815,0.50657,0.48265,0.50893,0.50893,0.50893
1,5,0.49821,0.49085,0.49293,0.46486,0.49821,0.49821,0.49821
1,6,0.50357,0.50286,0.5022,0.47246,0.50357,0.50357,0.50357
1,7,0.50821,0.50943,0.50716,0.47612,0.50821,0.50821,0.50821
1,8,0.50893,0.51055,0.50845,0.483,0.50893,0.50893,0.50893
1,9,0.50857,0.51451,0.51089,0.47719,0.50857,0.50857,0.50857
2,0,0.47036,0.4537,0.46368,0.43601,0.47036,0.47036,0.47036
2,1,0.5125,0.51134,0.50873,0.48049,0.5125,0.5125,0.5125
2,2,0.49786,0.50157,0.50122,0.47018,0.49786,0.49786,0.49786
2,3,0.49,0.48889,0.49158,0.45804,0.49,0.49,0.49
2,4,0.4875,0.48698,0.49014,0.45588,0.4875,0.4875,0.4875
2,5,0.48464,0.48695,0.48994,0.45633,0.48464,0.48464,0.48464
2,6,0.49393,0.49367,0.49544,0.45669,0.49393,0.49393,0.49393
2,7,0.49964,0.50081,0.50063,0.47197,0.49964,0.49964,0.49964
2,8,0.48821,0.48554,0.48872,0.45878,0.48821,0.48821,0.48821
2,9,0.50679,0.50594,0.5045,0.4736,0.50679,0.50679,0.50679
3,0,0.52286,0.52243,0.52243,0.52243,0.52286,0.52286,0.52286
3,1,0.53321,0.53308,0.53308,0.53308,0.53321,0.53321,0.53321
3,2,0.52571,0.52586,0.52585,0.52571,0.52571,0.52571,0.52571
3,3,0.54214,0.5422,0.54219,0.54213,0.54214,0.54214,0.54214
3,4,0.53321,0.53364,0.53353,0.53295,0.53321,0.53321,0.53321
3,5,0.52143,0.52172,0.52172,0.52143,0.52143,0.52143,0.52143
