round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,1,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,2,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,3,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,4,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,5,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,6,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,7,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,8,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,9,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,0,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,1,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,2,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,3,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,4,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,5,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,6,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,7,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,8,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,9,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,0,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,1,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,2,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,3,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,4,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,5,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,6,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,7,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,8,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,9,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
4,0,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
4,1,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
4,2,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
4,3,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
4,4,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
4,5,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
4,6,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
4,7,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
