round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.51021,0.53144,0.51091,0.41512,0.51021,0.51021,0.51021
2,0.496,0.49601,0.49601,0.49599,0.496,0.496,0.496
3,0.49429,0.4932,0.49399,0.47897,0.49429,0.49429,0.49429
4,0.49971,0.49966,0.49966,0.49927,0.49971,0.49971,0.49971
5,0.50129,0.50136,0.50135,0.50063,0.50129,0.50129,0.50129
6,0.50314,0.50323,0.50285,0.48807,0.50314,0.50314,0.50314
7,0.51314,0.51319,0.51317,0.51299,0.51314,0.51314,0.51314
8,0.51993,0.51998,0.51996,0.51981,0.51993,0.51993,0.51993
9,0.52571,0.52772,0.52593,0.51803,0.52571,0.52571,0.52571
10,0.52907,0.53146,0.52882,0.51889,0.52907,0.52907,0.52907
11,0.5475,0.54759,0.54753,0.54737,0.5475,0.5475,0.5475
12,0.55121,0.55376,0.55102,0.54534,0.55121,0.55121,0.55121
13,0.55993,0.56388,0.55971,0.55252,0.55993,0.55993,0.55993
14,0.58829,0.58864,0.58834,0.58796,0.58829,0.58829,0.58829
15,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005,0.6005
16,0.59,0.60241,0.5897,0.57674,0.59,0.59,0.59
17,0.62779,0.62849,0.62772,0.6272,0.62779,0.62779,0.62779
18,0.62979,0.67208,0.63021,0.60598,0.62979,0.62979,0.62979
19,0.66329,0.67652,0.66352,0.65705,0.66329,0.66329,0.66329
20,0.67029,0.67029,0.67028,0.67028,0.67029,0.67029,0.67029
21,0.67586,0.69189,0.6761,0.66913,0.67586,0.67586,0.67586
22,0.68836,0.68859,0.68839,0.68828,0.68836,0.68836,0.68836
23,0.64629,0.69607,0.64672,0.6227,0.64629,0.64629,0.64629
24,0.69336,0.69336,0.69335,0.69335,0.69336,0.69336,0.69336
25,0.69221,0.6928,0.69217,0.69195,0.69221,0.69221,0.69221
26,0.69971,0.70305,0.69982,0.69855,0.69971,0.69971,0.69971
27,0.59007,0.68349,0.58946,0.52951,0.59007,0.59007,0.59007
28,0.6935,0.69589,0.6934,0.69249,0.6935,0.6935,0.6935
29,0.70186,0.70189,0.70187,0.70185,0.70186,0.70186,0.70186
30,0.69871,0.69939,0.69866,0.69842,0.69871,0.69871,0.69871
31,0.69229,0.70869,0.69252,0.68629,0.69229,0.69229,0.69229
32,0.70464,0.70475,0.70466,0.70462,0.70464,0.70464,0.70464
33,0.68821,0.70761,0.68848,0.68095,0.68821,0.68821,0.68821
34,0.70479,0.70484,0.7048,0.70477,0.70479,0.70479,0.70479
35,0.70336,0.70499,0.70343,0.70281,0.70336,0.70336,0.70336
36,0.63929,0.70064,0.63976,0.60987,0.63929,0.63929,0.63929
37,0.70421,0.70504,0.70427,0.70395,0.70421,0.70421,0.70421
38,0.64793,0.7012,0.64837,0.62337,0.64793,0.64793,0.64793
39,0.70429,0.70447,0.70431,0.70423,0.70429,0.70429,0.70429
40,0.69321,0.70547,0.69342,0.68872,0.69321,0.69321,0.69321
41,0.65907,0.68987,0.65872,0.64436,0.65907,0.65907,0.65907
42,0.70221,0.70262,0.70217,0.70204,0.70221,0.70221,0.70221
43,0.68679,0.69652,0.68659,0.68272,0.68679,0.68679,0.68679
44,0.69486,0.70516,0.69505,0.69111,0.69486,0.69486,0.69486
45,0.66214,0.69078,0.66181,0.64869,0.66214,0.66214,0.66214
46,0.705,0.70518,0.70502,0.70495,0.705,0.705,0.705
47,0.70521,0.7053,0.70523,0.7052,0.70521,0.70521,0.70521
48,0.68579,0.69688,0.68558,0.68114,0.68579,0.68579,0.68579
49,0.64429,0.68788,0.64387,0.62199,0.64429,0.64429,0.64429
50,0.65021,0.68882,0.64983,0.63102,0.65021,0.65021,0.65021
