round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49336,0.49308,0.49359,0.48396,0.49336,0.49336,0.49336
1,1,0.50007,0.5001,0.5001,0.49999,0.50007,0.50007,0.50007
1,2,0.4945,0.49411,0.49479,0.47957,0.4945,0.4945,0.4945
1,3,0.49771,0.49737,0.49751,0.49071,0.49771,0.49771,0.49771
1,4,0.49271,0.49273,0.49279,0.49165,0.49271,0.49271,0.49271
1,5,0.49993,0.50014,0.50013,0.49281,0.49993,0.49993,0.49993
1,6,0.49907,0.49928,0.49937,0.48392,0.49907,0.49907,0.49907
1,7,0.49521,0.49501,0.49548,0.4832,0.49521,0.49521,0.49521
1,8,0.49314,0.49284,0.49338,0.48355,0.49314,0.49314,0.49314
1,9,0.497,0.49658,0.49679,0.48922,0.497,0.497,0.497
2,0,0.49393,0.49374,0.49383,0.49216,0.49393,0.49393,0.49393
2,1,0.49621,0.49621,0.49641,0.48976,0.49621,0.49621,0.49621
2,2,0.49414,0.49253,0.49379,0.47163,0.49414,0.49414,0.49414
2,3,0.49486,0.49489,0.49495,0.49338,0.49486,0.49486,0.49486
2,4,0.49586,0.49583,0.49583,0.49575,0.49586,0.49586,0.49586
2,5,0.49436,0.49419,0.49426,0.4927,0.49436,0.49436,0.49436
2,6,0.49671,0.49663,0.497,0.4828,0.49671,0.49671,0.49671
2,7,0.49543,0.4945,0.49514,0.48028,0.49543,0.49543,0.49543
2,8,0.49457,0.4946,0.49465,0.49347,0.49457,0.49457,0.49457
2,9,0.496,0.49602,0.49616,0.49155,0.496,0.496,0.496
3,0,0.4945,0.49387,0.49428,0.48582,0.4945,0.4945,0.4945
3,1,0.49843,0.49637,0.49788,0.43995,0.49843,0.49843,0.49843
3,2,0.49507,0.49217,0.49459,0.45238,0.49507,0.49507,0.49507
3,3,0.49407,0.49408,0.49419,0.49183,0.49407,0.49407,0.49407
3,4,0.49429,0.49432,0.49436,0.49336,0.49429,0.49429,0.49429
3,5,0.50093,0.50073,0.50019,0.38841,0.50093,0.50093,0.50093
3,6,0.49557,0.49557,0.49574,0.49062,0.49557,0.49557,0.49557
3,7,0.49471,0.49327,0.49437,0.47306,0.49471,0.49471,0.49471
3,8,0.49736,0.49732,0.49766,0.48087,0.49736,0.49736,0.49736
3,9,0.49786,0.49685,0.49748,0.47147,0.49786,0.49786,0.49786
4,0,0.49571,0.49295,0.49523,0.45108,0.49571,0.49571,0.49571
4,1,0.49793,0.49802,0.49811,0.49203,0.49793,0.49793,0.49793
4,2,0.50121,0.50116,0.50115,0.50051,0.50121,0.50121,0.50121
4,3,0.4975,0.49741,0.49785,0.47541,0.4975,0.4975,0.4975
4,4,0.4965,0.49537,0.49615,0.47414,0.4965,0.4965,0.4965
4,5,0.49629,0.49628,0.49649,0.48947,0.49629,0.49629,0.49629
4,6,0.49793,0.49724,0.49761,0.48021,0.49793,0.49793,0.49793
4,7,0.49657,0.49588,0.4963,0.48335,0.49657,0.49657,0.49657
4,8,0.49779,0.49783,0.49784,0.49727,0.49779,0.49779,0.49779
4,9,0.49821,0.49826,0.49827,0.4977,0.49821,0.49821,0.49821
5,0,0.50136,0.50144,0.50143,0.50054,0.50136,0.50136,0.50136
5,1,0.50164,0.5022,0.50194,0.48662,0.50164,0.50164,0.50164
5,2,0.50143,0.50199,0.50173,0.4852,0.50143,0.50143,0.50143
5,3,0.4985,0.49734,0.49805,0.46199,0.4985,0.4985,0.4985
5,4,0.50193,0.50305,0.50234,0.47135,0.50193,0.50193,0.50193
5,5,0.499,0.49866,0.49876,0.48903,0.499,0.499,0.499
5,6,0.49993,0.49955,0.49961,0.48228,0.49993,0.49993,0.49993
5,7,0.50036,0.50049,0.50048,0.49795,0.50036,0.50036,0.50036
5,8,0.50321,0.50316,0.50313,0.50189,0.50321,0.50321,0.50321
5,9,0.49879,0.49894,0.49902,0.48909,0.49879,0.49879,0.49879
6,0,0.50643,0.50653,0.50649,0.50578,0.50643,0.50643,0.50643
6,1,0.50236,0.53152,0.50152,0.34626,0.50236,0.50236,0.50236
6,2,0.50729,0.50731,0.5073,0.50725,0.50729,0.50729,0.50729
6,3,0.50293,0.50403,0.50238,0.44597,0.50293,0.50293,0.50293
6,4,0.5015,0.50137,0.50127,0.49222,0.5015,0.5015,0.5015
6,5,0.50207,0.50217,0.50165,0.47033,0.50207,0.50207,0.50207
6,6,0.5075,0.50748,0.50744,0.50678,0.5075,0.5075,0.5075
6,7,0.50721,0.50719,0.50718,0.50705,0.50721,0.50721,0.50721
6,8,0.50414,0.50448,0.50381,0.48487,0.50414,0.50414,0.50414
6,9,0.50586,0.50588,0.50571,0.50236,0.50586,0.50586,0.50586
7,0,0.51186,0.51358,0.51214,0.4987,0.51186,0.51186,0.51186
7,1,0.51,0.51057,0.51017,0.50536,0.51,0.51,0.51
7,2,0.50864,0.5096,0.50833,0.49174,0.50864,0.50864,0.50864
7,3,0.50343,0.51391,0.50266,0.37694,0.50343,0.50343,0.50343
7,4,0.50686,0.50973,0.50729,0.47406,0.50686,0.50686,0.50686
7,5,0.50721,0.51181,0.50772,0.46081,0.50721,0.50721,0.50721
7,6,0.506,0.50786,0.50553,0.46622,0.506,0.506,0.506
7,7,0.50771,0.5088,0.50737,0.48665,0.50771,0.50771,0.50771
7,8,0.50857,0.51321,0.50905,0.46686,0.50857,0.50857,0.50857
7,9,0.5125,0.51254,0.51242,0.5113,0.5125,0.5125,0.5125
8,0,0.50329,0.53163,0.50246,0.35377,0.50329,0.50329,0.50329
8,1,0.51957,0.51962,0.51951,0.51887,0.51957,0.51957,0.51957
8,2,0.51314,0.51862,0.51359,0.47814,0.51314,0.51314,0.51314
8,3,0.51157,0.51509,0.51113,0.47707,0.51157,0.51157,0.51157
8,4,0.51586,0.51778,0.51612,0.50441,0.51586,0.51586,0.51586
8,5,0.50829,0.51474,0.50769,0.44116,0.50829,0.50829,0.50829
8,6,0.51779,0.52094,0.5181,0.50104,0.51779,0.51779,0.51779
8,7,0.51514,0.52008,0.51555,0.48636,0.51514,0.51514,0.51514
8,8,0.51729,0.52093,0.51763,0.49765,0.51729,0.51729,0.51729
8,9,0.51771,0.5201,0.51799,0.50488,0.51771,0.51771,0.51771
9,0,0.52664,0.52694,0.52654,0.52484,0.52664,0.52664,0.52664
9,1,0.519,0.52091,0.51872,0.50592,0.519,0.519,0.519
9,2,0.52193,0.52805,0.52232,0.49638,0.52193,0.52193,0.52193
9,3,0.51893,0.52068,0.51866,0.50676,0.51893,0.51893,0.51893
9,4,0.50721,0.51837,0.50653,0.41203,0.50721,0.50721,0.50721
9,5,0.51336,0.61919,0.51416,0.3765,0.51336,0.51336,0.51336
9,6,0.52079,0.56947,0.5215,0.42129,0.52079,0.52079,0.52079
9,7,0.52414,0.52505,0.52396,0.51887,0.52414,0.52414,0.52414
9,8,0.52286,0.54046,0.52341,0.467,0.52286,0.52286,0.52286
9,9,0.52471,0.52564,0.52454,0.51944,0.52471,0.52471,0.52471
10,0,0.536,0.53606,0.53595,0.53565,0.536,0.536,0.536
10,1,0.51864,0.5302,0.5181,0.46473,0.51864,0.51864,0.51864
10,2,0.50829,0.53288,0.50753,0.39033,0.50829,0.50829,0.50829
10,3,0.51664,0.53054,0.51605,0.45125,0.51664,0.51664,0.51664
10,4,0.53514,0.53729,0.53534,0.52907,0.53514,0.53514,0.53514
10,5,0.51086,0.5294,0.51016,0.41472,0.51086,0.51086,0.51086
10,6,0.50107,0.51048,0.50022,0.33871,0.50107,0.50107,0.50107
10,7,0.53871,0.53872,0.53872,0.53871,0.53871,0.53871,0.53871
10,8,0.52307,0.59951,0.52382,0.41163,0.52307,0.52307,0.52307
10,9,0.53414,0.53672,0.53436,0.52664,0.53414,0.53414,0.53414
11,0,0.53514,0.53926,0.53486,0.52159,0.53514,0.53514,0.53514
11,1,0.54421,0.54544,0.54407,0.54067,0.54421,0.54421,0.54421
11,2,0.54164,0.5826,0.54224,0.47822,0.54164,0.54164,0.54164
11,3,0.538,0.5424,0.53772,0.52475,0.538,0.538,0.538
11,4,0.52679,0.53804,0.52631,0.487,0.52679,0.52679,0.52679
11,5,0.54521,0.5502,0.54548,0.53439,0.54521,0.54521,0.54521
11,6,0.54236,0.5511,0.5427,0.52293,0.54236,0.54236,0.54236
11,7,0.54743,0.55095,0.54765,0.54008,0.54743,0.54743,0.54743
11,8,0.54264,0.55922,0.54309,0.50946,0.54264,0.54264,0.54264
11,9,0.50907,0.54271,0.5083,0.38466,0.50907,0.50907,0.50907
12,0,0.55036,0.57724,0.55086,0.50865,0.55036,0.55036,0.55036
12,1,0.51529,0.54728,0.51457,0.41343,0.51529,0.51529,0.51529
12,2,0.53029,0.54929,0.52975,0.47828,0.53029,0.53029,0.53029
12,3,0.51329,0.54968,0.51254,0.40088,0.51329,0.51329,0.51329
12,4,0.55364,0.5705,0.55406,0.52621,0.55364,0.55364,0.55364
12,5,0.538,0.60999,0.53869,0.4491,0.538,0.538,0.538
12,6,0.513,0.54615,0.51227,0.40298,0.513,0.513,0.513
12,7,0.55007,0.55431,0.54983,0.54048,0.55007,0.55007,0.55007
12,8,0.55264,0.55426,0.55249,0.54889,0.55264,0.55264,0.55264
12,9,0.51371,0.54956,0.51298,0.40313,0.51371,0.51371,0.51371
13,0,0.52736,0.5544,0.52675,0.45816,0.52736,0.52736,0.52736
13,1,0.51793,0.56393,0.5172,0.4096,0.51793,0.51793,0.51793
13,2,0.50071,0.48952,0.49986,0.33643,0.50071,0.50071,0.50071
13,3,0.50493,0.66303,0.50577,0.34832,0.50493,0.50493,0.50493
13,4,0.56514,0.5913,0.5656,0.53245,0.56514,0.56514,0.56514
13,5,0.51064,0.56215,0.50986,0.37967,0.51064,0.51064,0.51064
13,6,0.52864,0.55518,0.52804,0.4622,0.52864,0.52864,0.52864
13,7,0.5745,0.57833,0.57469,0.56957,0.5745,0.5745,0.5745
13,8,0.53679,0.56026,0.53624,0.48522,0.53679,0.53679,0.53679
13,9,0.57064,0.57072,0.57061,0.57045,0.57064,0.57064,0.57064
14,0,0.52536,0.56633,0.52468,0.43651,0.52536,0.52536,0.52536
14,1,0.51057,0.57623,0.50977,0.37353,0.51057,0.51057,0.51057
14,2,0.58957,0.60099,0.58986,0.57806,0.58957,0.58957,0.58957
14,3,0.58079,0.60019,0.58116,0.56006,0.58079,0.58079,0.58079
14,4,0.56921,0.62031,0.56977,0.51896,0.56921,0.56921,0.56921
