round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49357,0.49699,0.49718,0.48712,0.49357,0.49357,0.49357
1,1,0.50071,0.50078,0.50078,0.50071,0.50071,0.50071,0.50071
1,2,0.49107,0.4868,0.4885,0.47267,0.49107,0.49107,0.49107
1,3,0.49786,0.49847,0.49854,0.49249,0.49786,0.49786,0.49786
1,4,0.49036,0.48969,0.4898,0.48867,0.49036,0.49036,0.49036
1,5,0.51464,0.5128,0.51217,0.50716,0.51464,0.51464,0.51464
1,6,0.51321,0.51395,0.5122,0.49698,0.51321,0.51321,0.51321
1,7,0.49464,0.4935,0.49403,0.48373,0.49464,0.49464,0.49464
1,8,0.495,0.49441,0.49474,0.48726,0.495,0.495,0.495
1,9,0.50071,0.49955,0.49958,0.49251,0.50071,0.50071,0.50071
2,0,0.48679,0.48474,0.48497,0.48368,0.48679,0.48679,0.48679
2,1,0.49679,0.49834,0.49841,0.49217,0.49679,0.49679,0.49679
2,2,0.49643,0.49927,0.4994,0.47529,0.49643,0.49643,0.49643
2,3,0.50214,0.50173,0.5017,0.49954,0.50214,0.50214,0.50214
2,4,0.48714,0.48718,0.48718,0.48714,0.48714,0.48714,0.48714
2,5,0.51393,0.51577,0.51547,0.51228,0.51393,0.51393,0.51393
2,6,0.50857,0.50856,0.50763,0.49445,0.50857,0.50857,0.50857
2,7,0.49179,0.49157,0.4925,0.47775,0.49179,0.49179,0.49179
2,8,0.49464,0.49454,0.49456,0.49393,0.49464,0.49464,0.49464
2,9,0.50929,0.51023,0.50999,0.50677,0.50929,0.50929,0.50929
3,0,0.48821,0.48357,0.4846,0.47793,0.48821,0.48821,0.48821
3,1,0.50571,0.50099,0.50056,0.44293,0.50571,0.50571,0.50571
3,2,0.49821,0.50324,0.50222,0.45774,0.49821,0.49821,0.49821
3,3,0.50071,0.50018,0.50018,0.49696,0.50071,0.50071,0.50071
3,4,0.49071,0.49008,0.49018,0.48917,0.49071,0.49071,0.49071
3,5,0.49536,0.51804,0.50483,0.38927,0.49536,0.49536,0.49536
3,6,0.50679,0.50647,0.5062,0.50133,0.50679,0.50679,0.50679
3,7,0.4925,0.49214,0.49333,0.47297,0.4925,0.4925,0.4925
3,8,0.5025,0.50241,0.50214,0.48801,0.5025,0.5025,0.5025
3,9,0.49607,0.49241,0.49397,0.46765,0.49607,0.49607,0.49607
4,0,0.49536,0.48239,0.48758,0.45038,0.49536,0.49536,0.49536
4,1,0.49679,0.49822,0.49828,0.4929,0.49679,0.49679,0.49679
4,2,0.50286,0.50327,0.50326,0.50264,0.50286,0.50286,0.50286
4,3,0.49714,0.49465,0.49571,0.47015,0.49714,0.49714,0.49714
4,4,0.495,0.49655,0.49706,0.47667,0.495,0.495,0.495
4,5,0.51214,0.51026,0.5098,0.50536,0.51214,0.51214,0.51214
4,6,0.50571,0.50759,0.50669,0.49126,0.50571,0.50571,0.50571
4,7,0.49286,0.49283,0.49353,0.48049,0.49286,0.49286,0.49286
4,8,0.49821,0.49817,0.49817,0.49798,0.49821,0.49821,0.49821
4,9,0.50464,0.50484,0.50484,0.50451,0.50464,0.50464,0.50464
5,0,0.49321,0.4941,0.49412,0.49306,0.49321,0.49321,0.49321
5,1,0.49393,0.49617,0.49662,0.48008,0.49393,0.49393,0.49393
5,2,0.49714,0.49357,0.49447,0.47742,0.49714,0.49714,0.49714
5,3,0.49929,0.5012,0.5009,0.46651,0.49929,0.49929,0.49929
5,4,0.50714,0.50594,0.50456,0.47528,0.50714,0.50714,0.50714
5,5,0.51607,0.5212,0.51935,0.50684,0.51607,0.51607,0.51607
5,6,0.51179,0.51441,0.51276,0.49782,0.51179,0.51179,0.51179
5,7,0.505,0.50481,0.50473,0.50285,0.505,0.505,0.505
5,8,0.50143,0.50157,0.50155,0.4998,0.50143,0.50143,0.50143
5,9,0.51036,0.51217,0.51147,0.50375,0.51036,0.51036,0.51036
6,0,0.49536,0.49621,0.49622,0.49523,0.49536,0.49536,0.49536
6,1,0.50821,0.51164,0.50054,0.34769,0.50821,0.50821,0.50821
6,2,0.51143,0.51114,0.51112,0.51103,0.51143,0.51143,0.51143
6,3,0.50714,0.51517,0.50917,0.45421,0.50714,0.50714,0.50714
6,4,0.50143,0.50286,0.5027,0.49491,0.50143,0.50143,0.50143
6,5,0.50286,0.51178,0.50861,0.47012,0.50286,0.50286,0.50286
6,6,0.51214,0.51232,0.51229,0.51189,0.51214,0.51214,0.51214
6,7,0.5025,0.50258,0.50258,0.50238,0.5025,0.5025,0.5025
6,8,0.50714,0.50879,0.50755,0.48926,0.50714,0.50714,0.50714
6,9,0.50429,0.50362,0.50352,0.50049,0.50429,0.50429,0.50429
7,0,0.5125,0.51843,0.51679,0.5034,0.5125,0.5125,0.5125
7,1,0.51536,0.51714,0.51667,0.51259,0.51536,0.51536,0.51536
7,2,0.50714,0.51134,0.50979,0.49104,0.50714,0.50714,0.50714
7,3,0.50286,0.52843,0.50573,0.38108,0.50286,0.50286,0.50286
7,4,0.51679,0.51886,0.51409,0.48267,0.51679,0.51679,0.51679
7,5,0.51929,0.51955,0.51277,0.46973,0.51929,0.51929,0.51929
7,6,0.51929,0.52919,0.52082,0.48298,0.51929,0.51929,0.51929
7,7,0.50679,0.50911,0.50764,0.48662,0.50679,0.50679,0.50679
7,8,0.5075,0.51014,0.50689,0.46432,0.5075,0.5075,0.5075
7,9,0.50714,0.50673,0.50666,0.50557,0.50714,0.50714,0.50714
8,0,0.51857,0.56836,0.5048,0.36113,0.51857,0.51857,0.51857
8,1,0.51143,0.51076,0.51066,0.50983,0.51143,0.51143,0.51143
