round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
1,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
1,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
1,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
1,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536
1,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107
1,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
1,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
1,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
1,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
2,0,0.495,0.51657,0.50627,0.40977,0.495,0.495,0.495
2,1,0.50143,0.52466,0.50791,0.40402,0.50143,0.50143,0.50143
2,2,0.51964,0.54091,0.51383,0.42032,0.51964,0.51964,0.51964
2,3,0.5125,0.52933,0.50988,0.41379,0.5125,0.5125,0.5125
2,4,0.51571,0.53259,0.5114,0.41867,0.51571,0.51571,0.51571
2,5,0.52286,0.54297,0.51373,0.41853,0.52286,0.52286,0.52286
2,6,0.515,0.53642,0.51269,0.41903,0.515,0.515,0.515
2,7,0.50643,0.51253,0.50474,0.4144,0.50643,0.50643,0.50643
2,8,0.51179,0.53217,0.51091,0.41457,0.51179,0.51179,0.51179
2,9,0.5075,0.52971,0.51117,0.41896,0.5075,0.5075,0.5075
3,0,0.48536,0.48522,0.48521,0.48517,0.48536,0.48536,0.48536
3,1,0.49643,0.49628,0.49628,0.49628,0.49643,0.49643,0.49643
3,2,0.50107,0.50088,0.50088,0.50086,0.50107,0.50107,0.50107
3,3,0.50036,0.50025,0.50025,0.50015,0.50036,0.50036,0.50036
3,4,0.49107,0.49094,0.49095,0.49093,0.49107,0.49107,0.49107
3,5,0.51571,0.51587,0.51587,0.51571,0.51571,0.51571,0.51571
3,6,0.50036,0.50027,0.50027,0.5002,0.50036,0.50036,0.50036
3,7,0.49821,0.49821,0.49821,0.49821,0.49821,0.49821,0.49821
3,8,0.495,0.49501,0.49501,0.49498,0.495,0.495,0.495
3,9,0.49857,0.49853,0.49853,0.49853,0.49857,0.49857,0.49857
4,0,0.48571,0.47881,0.48105,0.46905,0.48571,0.48571,0.48571
4,1,0.49143,0.48731,0.48877,0.47495,0.49143,0.49143,0.49143
4,2,0.49643,0.49869,0.49884,0.48295,0.49643,0.49643,0.49643
4,3,0.49607,0.49677,0.49709,0.48361,0.49607,0.49607,0.49607
4,4,0.49143,0.49235,0.49308,0.47995,0.49143,0.49143,0.49143
4,5,0.50536,0.51102,0.50949,0.48966,0.50536,0.50536,0.50536
4,6,0.5025,0.50377,0.5034,0.49031,0.5025,0.5025,0.5025
4,7,0.49286,0.49277,0.49357,0.47892,0.49286,0.49286,0.49286
4,8,0.50071,0.50121,0.50107,0.48649,0.50071,0.50071,0.50071
4,9,0.49321,0.49065,0.49167,0.47807,0.49321,0.49321,0.49321
5,0,0.49,0.48885,0.48891,0.48861,0.49,0.49,0.49
5,1,0.4925,0.49177,0.49183,0.49121,0.4925,0.4925,0.4925
5,2,0.50214,0.50242,0.50242,0.50207,0.50214,0.50214,0.50214
5,3,0.495,0.49507,0.49508,0.49496,0.495,0.495,0.495
5,4,0.49143,0.4916,0.49161,0.49136,0.49143,0.49143,0.49143
5,5,0.51857,0.51965,0.51952,0.5181,0.51857,0.51857,0.51857
5,6,0.50286,0.50301,0.503,0.50261,0.50286,0.50286,0.50286
5,7,0.49464,0.49476,0.49478,0.49418,0.49464,0.49464,0.49464
5,8,0.49893,0.49901,0.49901,0.4982,0.49893,0.49893,0.49893
5,9,0.49321,0.49289,0.49292,0.49255,0.49321,0.49321,0.49321
6,0,0.49071,0.49148,0.4915,0.49062,0.49071,0.49071,0.49071
6,1,0.50571,0.50617,0.50615,0.50552,0.50571,0.50571,0.50571
6,2,0.50321,0.50258,0.50256,0.5018,0.50321,0.50321,0.50321
6,3,0.50929,0.50905,0.50895,0.50776,0.50929,0.50929,0.50929
6,4,0.4975,0.49702,0.49704,0.49633,0.4975,0.4975,0.4975
6,5,0.51571,0.51518,0.51514,0.51505,0.51571,0.51571,0.51571
