round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
2,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
3,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
4,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
5,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
6,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
7,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
8,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
9,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
10,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
11,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
12,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
13,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
14,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
15,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
16,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
17,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
18,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
19,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
20,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
21,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
22,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
23,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
24,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
25,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
26,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
27,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
28,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
29,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
30,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
31,0.85878,0.4294,0.49999,0.46201,0.85878,0.85878,0.85878
32,0.85878,0.4294,0.49999,0.46201,0.85878,0.85878,0.85878
33,0.8588,0.67941,0.50006,0.46216,0.8588,0.8588,0.8588
34,0.85878,0.4294,0.49999,0.46201,0.85878,0.85878,0.85878
35,0.85882,0.76275,0.50013,0.46231,0.85882,0.85882,0.85882
36,0.8588,0.67941,0.50006,0.46216,0.8588,0.8588,0.8588
37,0.85884,0.74194,0.50032,0.46274,0.85884,0.85884,0.85884
38,0.85886,0.78658,0.50033,0.46274,0.85886,0.85886,0.85886
39,0.85878,0.66475,0.50046,0.46314,0.85878,0.85878,0.85878
40,0.8588,0.67945,0.50042,0.46301,0.8588,0.8588,0.8588
41,0.85878,0.66757,0.50058,0.46342,0.85878,0.85878,0.85878
42,0.85882,0.69263,0.50061,0.46344,0.85882,0.85882,0.85882
43,0.85882,0.68876,0.50084,0.464,0.85882,0.85882,0.85882
44,0.85882,0.68876,0.50084,0.464,0.85882,0.85882,0.85882
45,0.85882,0.68668,0.50108,0.46456,0.85882,0.85882,0.85882
46,0.85882,0.68758,0.50096,0.46428,0.85882,0.85882,0.85882
47,0.8588,0.67955,0.50119,0.46483,0.8588,0.8588,0.8588
48,0.8588,0.67954,0.50113,0.46469,0.8588,0.8588,0.8588
49,0.85886,0.69431,0.50164,0.46583,0.85886,0.85886,0.85886
50,0.85886,0.69554,0.50152,0.46555,0.85886,0.85886,0.85886
51,0.85886,0.69193,0.50194,0.46652,0.85886,0.85886,0.85886
52,0.85884,0.68824,0.50181,0.46624,0.85884,0.85884,0.85884
53,0.85886,0.69024,0.50223,0.46721,0.85886,0.85886,0.85886
54,0.85886,0.69085,0.50211,0.46694,0.85886,0.85886,0.85886
55,0.85888,0.69285,0.50242,0.46764,0.85888,0.85888,0.85888
56,0.8589,0.69681,0.50238,0.4675,0.8589,0.8589,0.8589
57,0.85898,0.70685,0.50284,0.4685,0.85898,0.85898,0.85898
58,0.85898,0.70752,0.50278,0.46836,0.85898,0.85898,0.85898
59,0.85892,0.69573,0.50304,0.46903,0.85892,0.85892,0.85892
60,0.85892,0.69718,0.5028,0.46848,0.85892,0.85892,0.85892
61,0.85896,0.69869,0.50348,0.47,0.85896,0.85896,0.85896
62,0.85892,0.69479,0.50322,0.46944,0.85892,0.85892,0.85892
63,0.85902,0.703,0.50399,0.47112,0.85902,0.85902,0.85902
64,0.859,0.70218,0.50374,0.47057,0.859,0.859,0.859
65,0.85904,0.70336,0.5043,0.47181,0.85904,0.85904,0.85904
66,0.85904,0.7041,0.50418,0.47153,0.85904,0.85904,0.85904
67,0.85912,0.70816,0.50488,0.47306,0.85912,0.85912,0.85912
68,0.85902,0.70061,0.50441,0.47207,0.85902,0.85902,0.85902
69,0.85914,0.70496,0.50578,0.47509,0.85914,0.85914,0.85914
70,0.85921,0.71382,0.50522,0.47376,0.85921,0.85921,0.85921
71,0.859,0.6937,0.50588,0.47544,0.859,0.859,0.859
72,0.85914,0.70615,0.50555,0.47455,0.85914,0.85914,0.85914
73,0.859,0.69256,0.50641,0.47664,0.859,0.859,0.859
74,0.85908,0.69978,0.50587,0.47534,0.85908,0.85908,0.85908
75,0.85904,0.69413,0.50691,0.47772,0.85904,0.85904,0.85904
76,0.85902,0.6944,0.50619,0.47612,0.85902,0.85902,0.85902
77,0.85908,0.69492,0.50771,0.47946,0.85908,0.85908,0.85908
78,0.85908,0.69646,0.507,0.47787,0.85908,0.85908,0.85908
79,0.85908,0.69369,0.50842,0.48104,0.85908,0.85908,0.85908
80,0.85904,0.69303,0.50751,0.47905,0.85904,0.85904,0.85904
81,0.85925,0.69965,0.50946,0.48319,0.85925,0.85925,0.85925
82,0.85906,0.69304,0.50817,0.4805,0.85906,0.85906,0.85906
83,0.85935,0.70264,0.51024,0.48479,0.85935,0.85935,0.85935
84,0.85929,0.70197,0.50931,0.48282,0.85929,0.85929,0.85929
85,0.85931,0.6993,0.51104,0.48658,0.85931,0.85931,0.85931
86,0.85939,0.70442,0.51026,0.48481,0.85939,0.85939,0.85939
87,0.85925,0.69641,0.51137,0.48732,0.85925,0.85925,0.85925
88,0.85933,0.69999,0.51112,0.48671,0.85933,0.85933,0.85933
89,0.85925,0.69565,0.51196,0.48859,0.85925,0.85925,0.85925
90,0.85931,0.69861,0.51146,0.48747,0.85931,0.85931,0.85931
91,0.85929,0.69618,0.5127,0.49013,0.85929,0.85929,0.85929
92,0.85933,0.69844,0.51207,0.48875,0.85933,0.85933,0.85933
93,0.85923,0.69377,0.51308,0.49098,0.85923,0.85923,0.85923
94,0.85931,0.69716,0.51247,0.48963,0.85931,0.85931,0.85931
95,0.85923,0.6933,0.51361,0.49211,0.85923,0.85923,0.85923
96,0.85923,0.694,0.51284,0.49048,0.85923,0.85923,0.85923
97,0.85921,0.69238,0.51402,0.49297,0.85921,0.85921,0.85921
98,0.85931,0.69597,0.51348,0.49177,0.85931,0.85931,0.85931
99,0.85933,0.69523,0.51486,0.49465,0.85933,0.85933,0.85933
