round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
1,1,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
1,2,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
1,3,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
1,4,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
1,5,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
1,6,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
1,7,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
1,8,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
1,9,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
2,0,0.827,0.57903,0.54511,0.55106,0.827,0.827,0.827
2,1,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
2,2,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
2,3,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
2,4,0.84236,0.57749,0.52405,0.51968,0.84236,0.84236,0.84236
2,5,0.85774,0.65506,0.51298,0.49188,0.85774,0.85774,0.85774
2,6,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
2,7,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
2,8,0.84294,0.57177,0.52053,0.51369,0.84294,0.84294,0.84294
2,9,0.85433,0.51307,0.50072,0.46827,0.85433,0.85433,0.85433
3,0,0.85882,0.76275,0.50013,0.46231,0.85882,0.85882,0.85882
3,1,0.85852,0.54481,0.50019,0.46278,0.85852,0.85852,0.85852
3,2,0.83206,0.49546,0.49869,0.48106,0.83206,0.83206,0.83206
3,3,0.82628,0.56835,0.53679,0.54052,0.82628,0.82628,0.82628
3,4,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
3,5,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
3,6,0.85214,0.54869,0.50503,0.47952,0.85214,0.85214,0.85214
3,7,0.82624,0.56677,0.53557,0.53895,0.82624,0.82624,0.82624
3,8,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
3,9,0.82239,0.57199,0.5439,0.54935,0.82239,0.82239,0.82239
4,0,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
4,1,0.62226,0.51856,0.53498,0.49258,0.62226,0.62226,0.62226
4,2,0.85184,0.6184,0.52577,0.51943,0.85184,0.85184,0.85184
4,3,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
4,4,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
4,5,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
4,6,0.8149,0.59314,0.57721,0.58341,0.8149,0.8149,0.8149
4,7,0.83664,0.47852,0.49523,0.47168,0.83664,0.83664,0.83664
4,8,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
4,9,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
5,0,0.85858,0.6009,0.50058,0.46364,0.85858,0.85858,0.85858
5,1,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
5,2,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
5,3,0.85878,0.59607,0.50005,0.46216,0.85878,0.85878,0.85878
5,4,0.85722,0.60123,0.50419,0.4733,0.85722,0.85722,0.85722
5,5,0.85866,0.48495,0.49998,0.46212,0.85866,0.85866,0.85866
5,6,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
5,7,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
5,8,0.85774,0.55332,0.50093,0.46533,0.85774,0.85774,0.85774
5,9,0.8588,0.4294,0.5,0.46202,0.8588,0.8588,0.8588
