round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
1,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
1,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
1,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
1,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
1,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
1,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
1,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
1,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
1,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
2,0,0.82624,0.5698,0.53807,0.54218,0.82624,0.82624,0.82624
2,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
2,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
2,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
2,4,0.83949,0.57675,0.5225,0.51631,0.83949,0.83949,0.83949
2,5,0.85866,0.68888,0.51467,0.49431,0.85866,0.85866,0.85866
2,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
2,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
2,8,0.83537,0.54403,0.5124,0.5007,0.83537,0.83537,0.83537
2,9,0.86288,0.53832,0.50205,0.47248,0.86288,0.86288,0.86288
3,0,0.85906,0.92952,0.50071,0.46351,0.85906,0.85906,0.85906
3,1,0.85083,0.63985,0.50077,0.4617,0.85083,0.85083,0.85083
3,2,0.83206,0.49258,0.49797,0.47893,0.83206,0.83206,0.83206
3,3,0.82574,0.56714,0.53493,0.53797,0.82574,0.82574,0.82574
3,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
3,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
3,6,0.85043,0.55463,0.5047,0.47695,0.85043,0.85043,0.85043
3,7,0.83015,0.56488,0.53489,0.53839,0.83015,0.83015,0.83015
3,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
3,9,0.82463,0.55551,0.535,0.53872,0.82463,0.82463,0.82463
4,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
4,1,0.61614,0.51618,0.52922,0.49137,0.61614,0.61614,0.61614
4,2,0.84903,0.60262,0.52258,0.51431,0.84903,0.84903,0.84903
4,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
4,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
4,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
4,6,0.81369,0.59801,0.58102,0.58762,0.81369,0.81369,0.81369
4,7,0.8432,0.48132,0.49615,0.47286,0.8432,0.8432,0.8432
4,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
4,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
5,0,0.85836,0.54058,0.5003,0.4633,0.85836,0.85836,0.85836
5,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
5,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
5,3,0.85736,0.42872,0.49994,0.4616,0.85736,0.85736,0.85736
5,4,0.85274,0.56683,0.50291,0.47021,0.85274,0.85274,0.85274
5,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
5,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
5,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
5,8,0.85395,0.58153,0.50171,0.46601,0.85395,0.85395,0.85395
5,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
6,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
6,1,0.85073,0.42545,0.49988,0.45967,0.85073,0.85073,0.85073
6,2,0.85766,0.59558,0.50024,0.46239,0.85766,0.85766,0.85766
6,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
6,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
6,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
6,6,0.85575,0.67798,0.50087,0.4632,0.85575,0.85575,0.85575
6,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
6,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
6,9,0.86639,0.43324,0.49994,0.46421,0.86639,0.86639,0.86639
7,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
7,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
7,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
7,3,0.85184,0.61769,0.5208,0.50964,0.85184,0.85184,0.85184
7,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
7,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
7,6,0.85314,0.50685,0.50021,0.46442,0.85314,0.85314,0.85314
7,7,0.84943,0.52576,0.50469,0.48503,0.84943,0.84943,0.84943
7,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
7,9,0.85425,0.58411,0.52124,0.51492,0.85425,0.85425,0.85425
8,0,0.85786,0.54062,0.5006,0.46454,0.85786,0.85786,0.85786
8,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
8,2,0.85635,0.60943,0.50448,0.4735,0.85635,0.85635,0.85635
8,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
8,4,0.85405,0.42749,0.49935,0.46064,0.85405,0.85405,0.85405
8,5,0.85214,0.59577,0.51413,0.49749,0.85214,0.85214,0.85214
8,6,0.85565,0.67409,0.50746,0.47845,0.85565,0.85565,0.85565
8,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
8,8,0.84551,0.50475,0.50052,0.47133,0.84551,0.84551,0.84551
8,9,0.86499,0.48585,0.49977,0.46528,0.86499,0.86499,0.86499
9,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
9,1,0.85063,0.62566,0.50149,0.46362,0.85063,0.85063,0.85063
9,2,0.85766,0.42887,0.49994,0.46169,0.85766,0.85766,0.85766
9,3,0.84802,0.55053,0.50742,0.48615,0.84802,0.84802,0.84802
9,4,0.85525,0.92762,0.50035,0.46168,0.85525,0.85525,0.85525
9,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
9,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
9,7,0.85866,0.49715,0.49985,0.46756,0.85866,0.85866,0.85866
9,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
9,9,0.85113,0.5729,0.52071,0.5151,0.85113,0.85113,0.85113
10,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
10,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
10,2,0.85103,0.57335,0.50933,0.48815,0.85103,0.85103,0.85103
10,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
10,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
10,5,0.85746,0.61881,0.50362,0.47124,0.85746,0.85746,0.85746
10,6,0.85395,0.64209,0.5137,0.49315,0.85395,0.85395,0.85395
10,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
10,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
10,9,0.86609,0.43322,0.49977,0.46412,0.86609,0.86609,0.86609
11,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
11,1,0.85073,0.42545,0.49988,0.45967,0.85073,0.85073,0.85073
11,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
11,3,0.85525,0.5773,0.50341,0.47178,0.85525,0.85525,0.85525
11,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
11,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
11,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
11,7,0.85726,0.52658,0.50213,0.47384,0.85726,0.85726,0.85726
11,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
11,9,0.85736,0.595,0.52017,0.51187,0.85736,0.85736,0.85736
12,0,0.85766,0.51279,0.50019,0.46378,0.85766,0.85766,0.85766
12,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
12,2,0.85525,0.57689,0.50384,0.47309,0.85525,0.85525,0.85525
12,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
12,4,0.85405,0.49423,0.49993,0.462,0.85405,0.85405,0.85405
12,5,0.85264,0.60139,0.51472,0.49833,0.85264,0.85264,0.85264
12,6,0.85565,0.65023,0.5011,0.46386,0.85565,0.85565,0.85565
12,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
12,8,0.85324,0.4537,0.49929,0.46108,0.85324,0.85324,0.85324
12,9,0.86438,0.55543,0.50196,0.47088,0.86438,0.86438,0.86438
13,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
13,1,0.85063,0.42544,0.49982,0.45964,0.85063,0.85063,0.85063
13,2,0.85686,0.47431,0.49977,0.46215,0.85686,0.85686,0.85686
13,3,0.84953,0.53921,0.50448,0.47904,0.84953,0.84953,0.84953
13,4,0.85525,0.92762,0.50035,0.46168,0.85525,0.85525,0.85525
13,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
13,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
13,7,0.84822,0.5179,0.50338,0.48329,0.84822,0.84822,0.84822
13,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
13,9,0.84712,0.56929,0.5238,0.52123,0.84712,0.84712,0.84712
14,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
14,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
14,2,0.85304,0.58278,0.50814,0.48424,0.85304,0.85304,0.85304
14,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
14,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
14,5,0.85615,0.58485,0.50404,0.47343,0.85615,0.85615,0.85615
14,6,0.85455,0.64735,0.51116,0.48739,0.85455,0.85455,0.85455
14,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
14,8,0.85485,0.42747,0.49994,0.46087,0.85485,0.85485,0.85485
14,9,0.86609,0.58333,0.50072,0.46635,0.86609,0.86609,0.86609
15,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
15,1,0.85053,0.55051,0.50032,0.46095,0.85053,0.85053,0.85053
15,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
15,3,0.85505,0.57199,0.50329,0.4717,0.85505,0.85505,0.85505
15,4,0.85535,0.92766,0.50069,0.46239,0.85535,0.85535,0.85535
15,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
15,6,0.85555,0.42786,0.49988,0.46108,0.85555,0.85555,0.85555
15,7,0.85856,0.51256,0.50072,0.46959,0.85856,0.85856,0.85856
15,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
15,9,0.85756,0.59779,0.52092,0.51312,0.85756,0.85756,0.85756
16,0,0.85876,0.59613,0.50024,0.46271,0.85876,0.85876,0.85876
16,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
16,2,0.85465,0.59059,0.50643,0.47931,0.85465,0.85465,0.85465
16,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
16,4,0.85425,0.52762,0.50034,0.46274,0.85425,0.85425,0.85425
16,5,0.85445,0.60615,0.51133,0.49039,0.85445,0.85445,0.85445
16,6,0.85565,0.62794,0.50052,0.46248,0.85565,0.85565,0.85565
16,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
16,8,0.85244,0.47579,0.49939,0.46219,0.85244,0.85244,0.85244
16,9,0.86408,0.57653,0.5037,0.47502,0.86408,0.86408,0.86408
17,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
17,1,0.85053,0.42544,0.49976,0.45961,0.85053,0.85053,0.85053
17,2,0.85726,0.50031,0.5,0.46227,0.85726,0.85726,0.85726
17,3,0.85354,0.55575,0.50359,0.47375,0.85354,0.85354,0.85354
17,4,0.85505,0.59427,0.50023,0.46162,0.85505,0.85505,0.85505
17,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
17,6,0.85545,0.42785,0.49982,0.46105,0.85545,0.85545,0.85545
17,7,0.84692,0.52527,0.5054,0.48795,0.84692,0.84692,0.84692
17,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
17,9,0.84873,0.57294,0.52378,0.52078,0.84873,0.84873,0.84873
18,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
18,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
18,2,0.85314,0.58873,0.50908,0.48613,0.85314,0.85314,0.85314
18,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
18,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
18,5,0.85485,0.58791,0.50683,0.48067,0.85485,0.85485,0.85485
18,6,0.85535,0.66559,0.50989,0.48403,0.85535,0.85535,0.85535
18,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
18,8,0.85475,0.42746,0.49988,0.46084,0.85475,0.85475,0.85475
18,9,0.86629,0.63338,0.50116,0.46715,0.86629,0.86629,0.86629
19,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
19,1,0.85053,0.61315,0.50143,0.46359,0.85053,0.85053,0.85053
19,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
19,3,0.85415,0.52319,0.501,0.46741,0.85415,0.85415,0.85415
19,4,0.85545,0.9277,0.50104,0.46311,0.85545,0.85545,0.85545
19,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
19,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
19,7,0.85655,0.53466,0.50326,0.47686,0.85655,0.85655,0.85655
19,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
19,9,0.85304,0.58254,0.52245,0.51737,0.85304,0.85304,0.85304
20,0,0.85896,0.92947,0.50036,0.46277,0.85896,0.85896,0.85896
20,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
20,2,0.85224,0.58253,0.50944,0.48753,0.85224,0.85224,0.85224
20,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
20,4,0.85455,0.55264,0.50051,0.46283,0.85455,0.85455,0.85455
20,5,0.85565,0.62852,0.51351,0.49401,0.85565,0.85565,0.85565
20,6,0.85575,0.6782,0.5026,0.46728,0.85575,0.85575,0.85575
20,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
20,8,0.85304,0.50155,0.50003,0.46305,0.85304,0.85304,0.85304
20,9,0.86519,0.59576,0.50306,0.47259,0.86519,0.86519,0.86519
21,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
21,1,0.85033,0.52549,0.5002,0.46089,0.85033,0.85033,0.85033
21,2,0.85726,0.42884,0.49971,0.46157,0.85726,0.85726,0.85726
21,3,0.85455,0.53676,0.50153,0.46822,0.85455,0.85455,0.85455
21,4,0.85525,0.72769,0.50092,0.46305,0.85525,0.85525,0.85525
21,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
21,6,0.85525,0.42784,0.49971,0.46099,0.85525,0.85525,0.85525
21,7,0.84792,0.52518,0.50505,0.48669,0.84792,0.84792,0.84792
21,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
21,9,0.85033,0.57765,0.52407,0.52082,0.85033,0.85033,0.85033
22,0,0.85896,0.92947,0.50036,0.46277,0.85896,0.85896,0.85896
22,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
22,2,0.85294,0.59055,0.50985,0.48786,0.85294,0.85294,0.85294
22,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
22,4,0.85505,0.42757,0.49994,0.46093,0.85505,0.85505,0.85505
22,5,0.85505,0.61351,0.51139,0.49007,0.85505,0.85505,0.85505
22,6,0.85565,0.67561,0.51007,0.48417,0.85565,0.85565,0.85565
22,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
22,8,0.85395,0.4274,0.49941,0.46061,0.85395,0.85395,0.85395
22,9,0.86509,0.58634,0.50269,0.47184,0.86509,0.86509,0.86509
23,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
23,1,0.85053,0.60418,0.50115,0.46293,0.85053,0.85053,0.85053
23,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
23,3,0.85405,0.50877,0.50036,0.46605,0.85405,0.85405,0.85405
23,4,0.85505,0.64196,0.5008,0.46299,0.85505,0.85505,0.85505
23,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
23,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
23,7,0.85264,0.53215,0.5047,0.48284,0.85264,0.85264,0.85264
23,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
23,9,0.85324,0.58413,0.52288,0.51803,0.85324,0.85324,0.85324
24,0,0.85896,0.92947,0.50036,0.46277,0.85896,0.85896,0.85896
24,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
24,2,0.85204,0.58317,0.50991,0.48863,0.85204,0.85204,0.85204
24,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
24,4,0.85455,0.5276,0.50022,0.46215,0.85455,0.85455,0.85455
24,5,0.85565,0.62852,0.51351,0.49401,0.85565,0.85565,0.85565
24,6,0.85605,0.69099,0.50972,0.48308,0.85605,0.85605,0.85605
24,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
24,8,0.85314,0.47287,0.49952,0.46173,0.85314,0.85314,0.85314
24,9,0.86569,0.58341,0.50144,0.46843,0.86569,0.86569,0.86569
25,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
25,1,0.85023,0.51639,0.50014,0.46086,0.85023,0.85023,0.85023
25,2,0.85756,0.42887,0.49988,0.46166,0.85756,0.85756,0.85756
25,3,0.85655,0.52877,0.50035,0.46345,0.85655,0.85655,0.85655
25,4,0.85525,0.71344,0.50121,0.46373,0.85525,0.85525,0.85525
25,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
25,6,0.85565,0.42787,0.49994,0.46111,0.85565,0.85565,0.85565
25,7,0.84913,0.52592,0.50482,0.48548,0.84913,0.84913,0.84913
25,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
25,9,0.85043,0.57804,0.52412,0.52088,0.85043,0.85043,0.85043
26,0,0.85886,0.67947,0.5003,0.46274,0.85886,0.85886,0.85886
26,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
26,2,0.85324,0.59287,0.50973,0.48739,0.85324,0.85324,0.85324
26,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
26,4,0.85505,0.59427,0.50023,0.46162,0.85505,0.85505,0.85505
26,5,0.85545,0.62636,0.51369,0.49451,0.85545,0.85545,0.85545
26,6,0.85555,0.67502,0.51493,0.49456,0.85555,0.85555,0.85555
26,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
26,8,0.85364,0.42738,0.49924,0.46052,0.85364,0.85364,0.85364
26,9,0.86489,0.57828,0.50257,0.47177,0.86489,0.86489,0.86489
27,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
27,1,0.85063,0.62566,0.50149,0.46362,0.85063,0.85063,0.85063
27,2,0.85766,0.42887,0.49994,0.46169,0.85766,0.85766,0.85766
27,3,0.85525,0.51702,0.50047,0.46509,0.85525,0.85525,0.85525
27,4,0.85525,0.70554,0.5015,0.46441,0.85525,0.85525,0.85525
27,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
27,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
27,7,0.85003,0.52991,0.50535,0.4859,0.85003,0.85003,0.85003
27,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
27,9,0.85224,0.58227,0.52358,0.51948,0.85224,0.85224,0.85224
28,0,0.85896,0.92947,0.50036,0.46277,0.85896,0.85896,0.85896
28,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
28,2,0.85204,0.58451,0.5102,0.48923,0.85204,0.85204,0.85204
28,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
28,4,0.85465,0.53872,0.50028,0.46218,0.85465,0.85465,0.85465
28,5,0.85545,0.6296,0.51487,0.49689,0.85545,0.85545,0.85545
28,6,0.85645,0.70017,0.51372,0.49137,0.85645,0.85645,0.85645
28,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
28,8,0.85324,0.47504,0.49958,0.46176,0.85324,0.85324,0.85324
28,9,0.86599,0.6099,0.50162,0.46852,0.86599,0.86599,0.86599
29,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
29,1,0.85023,0.5409,0.50042,0.46152,0.85023,0.85023,0.85023
29,2,0.85766,0.42887,0.49994,0.46169,0.85766,0.85766,0.85766
29,3,0.85666,0.51208,0.50012,0.46279,0.85666,0.85666,0.85666
29,4,0.85515,0.67779,0.50173,0.46506,0.85515,0.85515,0.85515
29,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
29,6,0.85565,0.42787,0.49994,0.46111,0.85565,0.85565,0.85565
29,7,0.84923,0.52777,0.50519,0.48612,0.84923,0.84923,0.84923
29,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
29,9,0.85144,0.58142,0.52439,0.52103,0.85144,0.85144,0.85144
30,0,0.85886,0.67947,0.5003,0.46274,0.85886,0.85886,0.85886
30,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
30,2,0.85314,0.58873,0.50908,0.48613,0.85314,0.85314,0.85314
30,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
30,4,0.85505,0.59427,0.50023,0.46162,0.85505,0.85505,0.85505
30,5,0.85635,0.63991,0.51392,0.49436,0.85635,0.85635,0.85635
30,6,0.85555,0.67603,0.51753,0.4999,0.85555,0.85555,0.85555
30,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
30,8,0.85374,0.48996,0.49987,0.46191,0.85374,0.85374,0.85374
30,9,0.86559,0.61101,0.50298,0.47202,0.86559,0.86559,0.86559
31,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
31,1,0.85053,0.62013,0.50171,0.46424,0.85053,0.85053,0.85053
31,2,0.85766,0.42887,0.49994,0.46169,0.85766,0.85766,0.85766
31,3,0.85605,0.50374,0.50006,0.46329,0.85605,0.85605,0.85605
31,4,0.85515,0.67779,0.50173,0.46506,0.85515,0.85515,0.85515
31,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
31,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
31,7,0.84983,0.53725,0.50708,0.48935,0.84983,0.84983,0.84983
31,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
31,9,0.85154,0.58121,0.52412,0.52058,0.85154,0.85154,0.85154
32,0,0.85896,0.92947,0.50036,0.46277,0.85896,0.85896,0.85896
32,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
32,2,0.85224,0.58662,0.51032,0.48932,0.85224,0.85224,0.85224
32,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
32,4,0.85465,0.499,0.49999,0.4615,0.85465,0.85465,0.85465
