round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.8147,0.55294,0.53372,0.53684,0.8147,0.8147,0.8147
1,1,0.81359,0.57192,0.54415,0.54923,0.81359,0.81359,0.81359
1,2,0.82112,0.57746,0.54929,0.55565,0.82112,0.82112,0.82112
1,3,0.81941,0.56672,0.54064,0.54527,0.81941,0.81941,0.81941
1,4,0.8158,0.56652,0.54146,0.54611,0.8158,0.8158,0.8158
1,5,0.82132,0.57026,0.54293,0.54812,0.82132,0.82132,0.82132
1,6,0.81861,0.57925,0.55149,0.55808,0.81861,0.81861,0.81861
1,7,0.82303,0.56533,0.54188,0.54687,0.82303,0.82303,0.82303
1,8,0.81429,0.55867,0.5357,0.53905,0.81429,0.81429,0.81429
1,9,0.82383,0.55613,0.53612,0.54004,0.82383,0.82383,0.82383
2,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
2,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
2,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
2,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
2,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
2,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
2,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
2,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
2,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
2,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
3,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
3,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
3,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
3,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
3,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
3,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
3,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
3,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
3,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
3,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
4,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
4,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
4,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
4,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
4,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
4,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
4,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
4,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
4,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
4,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
5,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
5,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
5,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
5,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
5,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
5,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
5,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
5,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
5,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
5,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
6,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
6,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
6,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
6,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
6,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
6,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
6,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
6,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
6,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
6,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
7,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
7,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
7,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
7,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
7,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
7,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
7,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
7,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
7,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
7,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
8,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
8,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
8,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
8,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
8,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
8,5,0.85836,0.42918,0.5,0.46189,0.85836,0.85836,0.85836
8,6,0.85575,0.42788,0.5,0.46113,0.85575,0.85575,0.85575
8,7,0.86318,0.43159,0.5,0.46328,0.86318,0.86318,0.86318
8,8,0.85495,0.42747,0.5,0.4609,0.85495,0.85495,0.85495
8,9,0.86649,0.43325,0.5,0.46424,0.86649,0.86649,0.86649
9,0,0.85886,0.42943,0.5,0.46204,0.85886,0.85886,0.85886
9,1,0.85093,0.42547,0.5,0.45973,0.85093,0.85093,0.85093
9,2,0.85776,0.42888,0.5,0.46172,0.85776,0.85776,0.85776
9,3,0.85746,0.42873,0.5,0.46163,0.85746,0.85746,0.85746
9,4,0.85515,0.42757,0.5,0.46096,0.85515,0.85515,0.85515
