round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
3,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
4,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
5,0.49921,0.58292,0.50007,0.33324,0.49921,0.49921,0.49921
6,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
7,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
8,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
9,0.50614,0.68694,0.50698,0.35034,0.50614,0.50614,0.50614
10,0.47543,0.47498,0.47533,0.47352,0.47543,0.47543,0.47543
11,0.47614,0.47575,0.47605,0.47449,0.47614,0.47614,0.47614
12,0.47571,0.47534,0.47562,0.47416,0.47571,0.47571,0.47571
13,0.47536,0.47491,0.47526,0.47349,0.47536,0.47536,0.47536
14,0.47564,0.47524,0.47555,0.47395,0.47564,0.47564,0.47564
15,0.47593,0.47548,0.47583,0.47401,0.47593,0.47593,0.47593
16,0.47621,0.4759,0.47613,0.47494,0.47621,0.47621,0.47621
17,0.47671,0.47645,0.47664,0.47562,0.47671,0.47671,0.47671
18,0.47529,0.47474,0.47517,0.47295,0.47529,0.47529,0.47529
19,0.47636,0.47588,0.47625,0.47428,0.47636,0.47636,0.47636
20,0.47836,0.4781,0.47828,0.47725,0.47836,0.47836,0.47836
21,0.47757,0.47722,0.47748,0.47604,0.47757,0.47757,0.47757
22,0.47664,0.47627,0.47655,0.47505,0.47664,0.47664,0.47664
23,0.47586,0.47547,0.47576,0.47424,0.47586,0.47586,0.47586
24,0.47714,0.47687,0.47706,0.476,0.47714,0.47714,0.47714
25,0.47529,0.47473,0.47517,0.47292,0.47529,0.47529,0.47529
26,0.47664,0.47622,0.47654,0.47483,0.47664,0.47664,0.47664
27,0.47743,0.47704,0.47733,0.47572,0.47743,0.47743,0.47743
28,0.47764,0.47726,0.47755,0.47596,0.47764,0.47764,0.47764
29,0.47736,0.47695,0.47726,0.47557,0.47736,0.47736,0.47736
30,0.47807,0.47752,0.47795,0.4755,0.47807,0.47807,0.47807
31,0.48007,0.47993,0.48002,0.47949,0.48007,0.48007,0.48007
32,0.48029,0.48009,0.48022,0.47939,0.48029,0.48029,0.48029
33,0.47786,0.47745,0.47776,0.476,0.47786,0.47786,0.47786
34,0.47843,0.47797,0.47832,0.4763,0.47843,0.47843,0.47843
35,0.47957,0.47904,0.47945,0.47696,0.47957,0.47957,0.47957
36,0.48043,0.48027,0.48037,0.47976,0.48043,0.48043,0.48043
37,0.48164,0.48141,0.48157,0.48053,0.48164,0.48164,0.48164
38,0.48286,0.4825,0.48275,0.4809,0.48286,0.48286,0.48286
39,0.48043,0.48033,0.48038,0.48004,0.48043,0.48043,0.48043
40,0.48414,0.48395,0.48407,0.48317,0.48414,0.48414,0.48414
41,0.48414,0.48396,0.48407,0.48323,0.48414,0.48414,0.48414
42,0.485,0.48481,0.48493,0.48397,0.485,0.485,0.485
43,0.48814,0.48784,0.48803,0.486,0.48814,0.48814,0.48814
44,0.48864,0.48854,0.48859,0.48812,0.48864,0.48864,0.48864
45,0.48979,0.48973,0.48975,0.48956,0.48979,0.48979,0.48979
46,0.49336,0.49319,0.49327,0.4919,0.49336,0.49336,0.49336
47,0.49464,0.49445,0.49454,0.4926,0.49464,0.49464,0.49464
48,0.49764,0.49743,0.4975,0.49418,0.49764,0.49764,0.49764
49,0.50171,0.50162,0.50159,0.49891,0.50171,0.50171,0.50171
50,0.50507,0.50506,0.50494,0.50215,0.50507,0.50507,0.50507
